Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,4.97,6.75,4.68,6.28,8.92,4.83,8.39,7.77,7.81,5.24,5.43,6.75,9.75,7.38,7.69,12.03
P/VP,0.75,0.98,0.72,0.77,0.67,0.63,0.96,0.99,1.10,0.78,0.77,0.94,1.32,1.16,1.15,1.49
P/EBIT,,,,,,,,,,,,,,,,
PSR,0.65,1.06,0.92,0.88,0.49,0.96,1.08,1.30,1.58,0.52,0.83,1.15,1.67,1.44,1.68,2.48
P/Ativos,0.07,0.10,0.07,0.07,0.07,0.07,0.11,0.11,0.12,0.08,0.08,0.10,0.16,0.17,0.16,0.25
LPA,3.92,3.48,3.27,2.34,1.32,2.16,1.71,1.71,1.66,1.52,1.27,1.08,0.93,0.96,0.83,0.62
VPA,26.07,24.00,21.28,19.09,17.53,16.52,14.98,13.42,11.83,10.26,8.95,7.77,6.86,6.13,5.51,4.98
EBIT por ação,,,,,,,,,,,,,,,,
Ativo por ação,282.87,244.41,232.03,201.73,176.97,151.42,133.76,117.55,104.92,97.95,84.75,70.55,55.07,42.92,40.09,30.15
Receita líquida por ação,30.19,22.24,16.66,16.72,24.13,10.86,13.25,10.22,8.19,15.26,8.29,6.31,5.42,4.96,3.77,2.99
Margem bruta,0.2011,0.2469,0.3576,0.2386,0.0196,0.2717,0.155,0.25579999999999997,0.501,0.0179,0.2225,0.26649999999999996,0.2954,0.3823,0.4451,0.4844
Margem líquida,0.12990000000000002,0.1565,0.1963,0.1398,0.0546,0.1989,0.129,0.1674,0.2028,0.0993,0.1531,0.1707,0.171,0.1945,0.21899999999999997,0.20629999999999998
Margem EBIT,,,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,,,
Margem operacional,0.152,0.18059999999999998,0.2756,0.1843,-0.018000000000000002,0.2379,0.1414,0.2224,0.3517,0.0711,0.2096,0.2473,0.2532,0.32420000000000004,0.36979999999999996,0.2901
ROE,0.1505,0.145,0.1537,0.1225,0.0751,0.1308,0.11410000000000001,0.1275,0.1405,0.1478,0.1419,0.13849999999999998,0.1349,0.1574,0.15,0.1241
ROA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02
Giro do ativo,0.11,0.09,0.07,0.08,0.14,0.07,0.10,0.09,0.08,0.16,0.10,0.09,0.10,0.12,0.09,0.10
EBITDA,,,,,,,,,,,,,,,,
Liquidez corrente,,,,,,1.02,1.20,1.18,1.26,1.17,1.10,1.12,1.19,1.10,1.15,1.15
Liquidez seca,,,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,,,
Capital de giro,,,,,,396000000.0,4190000000.0,3438000000.0,4057000000.0,2601000000.0,1339000000.0,1284000000.0,1552000000.0,679000000.0,846000000.0,669000000.0
Endividamento geral,,,,,,,,,,,,,,,,
