Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,12.97,15.51,12.70,16.74,20.79,20.01,22.59,29.30,-,-,-,-,-,-,-,-
P/VP,2.92,3.16,2.65,3.52,3.52,2.14,1.88,1.56,-,-,-,-,-,-,-,-
P/EBIT,9.77,12.21,9.62,12.49,15.41,16.81,19.71,25.59,-,-,-,-,-,-,-,-
PSR,5.38,6.46,5.31,7.67,9.26,8.26,8.81,10.34,-,-,-,-,-,-,-,-
P/Ativos,1.21,1.30,1.13,1.50,1.86,1.36,1.25,1.01,-,-,-,-,-,-,-,-
LPA,0.79,0.76,0.78,0.87,0.77,0.50,0.38,0.24,-,-,-,-,-,-,-,-
VPA,3.53,3.74,3.74,4.13,4.52,4.68,4.61,4.48,-,-,-,-,-,-,-,-
EBIT por ação,1.06,0.97,1.03,1.16,1.03,0.60,0.44,0.27,-,-,-,-,-,-,-,-
Ativo por ação,8.49,9.07,8.77,9.68,8.54,7.38,6.94,6.93,-,-,-,-,-,-,-,-
Receita líquida por ação,1.92,1.83,1.86,1.90,1.72,1.21,0.99,0.68,-,-,-,-,-,-,-,-
Margem bruta,0.8998,0.9001,0.8992,0.8989,0.8987,0.8983,0.9028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8992,0.8981999999999999
Margem líquida,0.41490000000000005,0.4165,0.418,0.4585,0.445,0.41259999999999997,0.39020000000000005,0.353,0.6231,0.9941,0.4816,0.5083,0.5203,0.5505,0.542,0.5273
Margem EBIT,0.5508,0.5291,0.5517,0.6144,0.6006,0.4915,0.447,0.40399999999999997,0.47159999999999996,1.0369,0.7084999999999999,0.7087,0.7027,0.6865000000000001,0.6173,0.5575
Margem EBITDA,0.6227,0.639,0.6562,0.7172,0.7123,0.6481,0.6251,0.5988,0.514,1.0869,0.7672,0.7648999999999999,0.7481,0.7259,0.6433,0.5829
Margem operacional,0.5608,0.5602,0.5727,0.6334000000000001,0.5914,0.5077,0.43689999999999996,0.42950000000000005,0.5371,1.2664,0.8109999999999999,0.7937000000000001,0.8039000000000001,0.8338,0.7542,0.7093
ROE,0.22519999999999998,0.20370000000000002,0.2084,0.2104,0.1693,0.10679999999999999,0.0834,0.0533,0.0758,0.1201,0.051500000000000004,0.055999999999999994,0.0553,0.054400000000000004,0.058899999999999994,0.045599999999999995
ROA,0.09,0.08,0.09,0.09,0.09,0.07,0.06,0.03,0.05,0.08,0.04,0.04,0.04,0.04,0.05,0.04
Giro do ativo,0.23,0.20,0.21,0.20,0.20,0.16,0.14,0.10,0.07,0.08,0.08,0.08,0.09,0.08,0.09,0.08
EBITDA,6475000000.0,6339000000.0,6634000000.0,7378000000.0,6643000000.0,4262000000.0,3345000000.0,2199000000.0,1192000000.0,2409000000.0,1557000000.0,1626000000.0,1544000000.0,1382000000.0,1358000000.0,975000000.0
Liquidez corrente,1.86,1.55,1.84,1.63,1.77,1.30,1.30,1.19,3.17,4.14,1.47,1.59,2.13,1.24,1.80,3.04
Liquidez seca,1.86,1.55,1.84,1.63,1.77,1.30,1.30,1.19,3.17,4.14,1.47,1.59,2.13,1.24,1.80,3.04
Liquidez imediata,0.22,0.15,0.28,0.20,0.15,0.06,0.06,0.13,0.09,0.21,0.26,0.44,0.03,0.03,0.07,0.04
Dívida bruta,12878000000.0,14009000000.0,12111000000.0,14198000000.0,7059000000.0,4364000000.0,4509000000.0,5634000000.0,5463000000.0,2454000000.0,1666000000.0,1468000000.0,1279000000.0,1172000000.0,1043000000.0,11000000.0
Dívida líquida,-1995000000.0,-1979000000.0,-2794000000.0,-4939000000.0,-8448000000.0,-5107000000.0,-2333000000.0,-13000000.0,-5826000000.0,-5786000000.0,-797000000.0,-2582000000.0,-1998000000.0,-1022000000.0,-1326000000.0,-3335000000.0
Capital de giro,7620000000.0,6689000000.0,7823000000.0,8136000000.0,7423000000.0,2413000000.0,1719000000.0,1050000000.0,7954000000.0,6577000000.0,893000000.0,1608000000.0,1875000000.0,471000000.0,1131000000.0,2326000000.0
Endividamento geral,1.4047,1.4256,1.3465,1.3431,0.8895000000000001,0.5758,0.5042,0.5459,0.6332,0.4336,0.33049999999999996,0.3419,0.2438,0.225,0.1656,0.07730000000000001
