Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,7.77,9.56,6.08,8.35,11.67,5.90,11.38,13.26,10.23,7.27,8.64,11.06,12.37,11.61,12.97,15.82
P/VP,0.76,0.90,0.82,1.25,1.34,1.00,1.79,1.76,1.54,1.41,1.60,1.87,2.01,2.30,2.70,3.04
P/EBIT,,,,,,,,,,,,,,,,
PSR,0.66,0.78,0.78,1.78,2.42,1.35,2.36,1.65,1.12,1.13,1.38,1.73,1.79,1.59,2.05,2.12
P/Ativos,0.07,0.09,0.08,0.13,0.14,0.12,0.20,0.18,0.14,0.13,0.13,0.15,0.17,0.17,0.20,0.25
LPA,1.49,1.42,1.95,2.06,1.55,2.12,1.79,1.38,1.42,1.62,1.42,1.13,1.07,1.04,0.94,0.75
VPA,15.31,15.15,14.50,13.82,13.50,12.57,11.38,10.38,9.44,8.35,7.66,6.67,6.58,5.22,4.51,3.92
EBIT por ação,,,,,,,,,,,,,,,,
Ativo por ação,155.34,149.24,141.28,133.47,128.93,107.78,104.51,98.96,101.64,89.00,91.96,82.89,79.34,70.79,59.68,47.96
Receita líquida por ação,17.63,17.33,15.18,9.65,7.50,9.30,8.66,11.07,12.95,10.43,8.86,7.23,7.39,7.56,5.95,5.61
Margem bruta,0.1493,0.1193,0.1616,0.368,-0.0298,0.33799999999999997,0.2236,0.2115,0.3153,-0.0964,0.10060000000000001,0.09630000000000001,0.1963,0.1219,0.23129999999999998,0.2323
Margem líquida,0.08449999999999999,0.08199999999999999,0.1283,0.21359999999999998,0.2072,0.2281,0.207,0.1244,0.10949999999999999,0.1549,0.15990000000000001,0.156,0.1446,0.1371,0.1583,0.1341
Margem EBIT,,,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,,,
Margem operacional,0.0434,0.0262,0.1075,0.2413,0.0053,0.1151,0.1843,0.1056,0.1502,0.0276,0.12560000000000002,0.1115,0.1231,0.11380000000000001,0.1577,0.1322
ROE,0.0973,0.09380000000000001,0.1344,0.1492,0.1151,0.1689,0.1576,0.13269999999999998,0.1502,0.19329999999999997,0.18510000000000001,0.1693,0.1625,0.1984,0.2086,0.19190000000000002
ROA,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02
Giro do ativo,0.11,0.12,0.11,0.07,0.06,0.09,0.08,0.11,0.13,0.12,0.10,0.09,0.09,0.11,0.10,0.12
EBITDA,,,,,,,,,,,,,,,,
Liquidez corrente,,,,,,0.86,0.88,0.79,0.73,0.78,0.91,0.89,0.89,1.13,1.05,1.14
Liquidez seca,,,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,,,
Capital de giro,,,,,,-93083000000.0,-78640000000.0,-140478000000.0,-194946000000.0,-134962000000.0,-60878000000.0,-64193000000.0,-64237000000.0,58257000000.0,17508000000.0,40509000000.0
Endividamento geral,,,,,,,,,,,,,,,,
