Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,2264.14,9.74,9.25,11.62,7.27,237.55,-2.68,-13.01,23.53,-6.57,-8.26,-15.11,-31.69,73.23,139.35,42.76
P/VP,4.03,23.51,11.91,10.64,6.04,-13.63,-11.27,51.44,8.81,-13.69,7.20,10.71,8.18,6.20,5.74,5.94
P/EBIT,1.35,2.00,2.49,3.42,2.83,2.62,5.03,3.69,5.17,5.71,5.82,10.32,14.70,11.77,13.29,21.73
PSR,0.10,0.15,0.19,0.26,0.26,0.22,0.21,0.30,0.48,0.55,0.49,0.87,1.40,0.84,0.85,1.20
P/Ativos,0.08,0.14,0.28,0.35,0.30,0.29,0.26,0.31,0.52,0.63,0.48,0.95,1.41,0.95,1.11,1.49
LPA,0.00,0.69,1.07,0.99,1.15,0.03,-2.08,-0.46,0.32,-1.32,-0.69,-0.52,-0.32,0.07,0.03,0.12
VPA,1.23,0.29,0.83,1.08,1.38,-0.46,-0.50,0.12,0.86,-0.63,0.79,0.73,1.24,0.88,0.83,0.86
EBIT por ação,3.66,3.38,3.99,3.35,2.95,2.41,1.11,1.63,1.46,1.52,0.98,0.76,0.69,0.46,0.36,0.24
Ativo por ação,59.23,47.09,35.24,33.05,27.87,21.79,21.12,19.60,14.63,13.69,11.93,8.20,7.19,5.76,4.33,3.44
Receita líquida por ação,48.61,44.28,51.01,44.40,31.96,28.20,26.70,19.93,15.89,15.68,11.51,8.99,7.21,6.55,5.61,4.28
Margem bruta,0.2113,0.205,0.1852,0.1723,0.19760000000000003,0.1923,0.1757,0.1848,0.1954,0.20190000000000002,0.1937,0.20629999999999998,0.2091,0.151,0.19010000000000002,0.1814
Margem líquida,0.0008,0.0147,0.021099999999999997,0.0222,0.0359,0.0009,-0.078,-0.0232,0.0202,-0.084,-0.0599,-0.0576,-0.0454,0.0105,0.0067,0.027999999999999997
Margem EBIT,0.0753,0.0762,0.0782,0.0755,0.0924,0.08539999999999999,0.0416,0.0818,0.0919,0.0968,0.0849,0.0842,0.0955,0.071,0.0642,0.055099999999999996
Margem EBITDA,0.0946,0.0953,0.0916,0.0883,0.10830000000000001,0.1008,0.0553,0.09369999999999999,0.1003,0.10460000000000001,0.0934,0.09480000000000001,0.1072,0.0824,0.0727,
Margem operacional,0.0026,0.0127,0.0125,0.0217,0.0395,-0.0077,-0.1116,-0.0166,0.026000000000000002,-0.0783,-0.0601,-0.0579,-0.046,-0.0232,-0.0063,0.0262
ROE,0.0174,0.5997,0.6164999999999999,0.9155,0.8298000000000001,-0.0574,4.2002999999999995,-3.949,0.3736,2.09,-0.8703,-0.7084,-0.2636,0.0681,0.0424,0.1387
ROA,0.00,0.01,0.03,0.03,0.04,0.00,-0.10,-0.02,0.02,-0.10,-0.06,-0.06,-0.05,0.01,0.01,0.03
Giro do ativo,0.82,0.94,1.45,1.34,1.15,1.29,1.26,1.02,1.09,1.15,0.96,1.10,1.00,1.14,1.30,1.25
EBITDA,2792000000.0,2562000000.0,2837000000.0,2382000000.0,2102000000.0,1726000000.0,896000000.0,1134000000.0,967000000.0,996000000.0,652000000.0,517000000.0,469000000.0,327000000.0,247000000.0,
Liquidez corrente,1.92,1.86,1.60,1.90,1.76,1.47,1.36,1.86,2.01,1.65,2.17,2.12,2.15,1.74,2.39,2.28
Liquidez seca,1.71,1.65,1.39,1.61,1.61,1.34,1.24,1.68,1.85,1.50,1.93,1.90,1.94,1.56,2.09,1.92
Liquidez imediata,0.44,0.41,0.64,0.84,0.75,0.57,0.51,0.83,1.03,0.66,0.82,0.53,0.43,0.23,0.28,0.25
Dívida bruta,25686000000.0,21556000000.0,13766000000.0,13404000000.0,11572000000.0,10477000000.0,10467000000.0,9607000000.0,6827000000.0,7007000000.0,5348000000.0,3429000000.0,2666000000.0,2035000000.0,1634000000.0,1223000000.0
Dívida líquida,8868000000.0,8878000000.0,6695000000.0,6102000000.0,5180000000.0,6008000000.0,6070000000.0,5799000000.0,3429000000.0,4258000000.0,2874000000.0,1865000000.0,1377000000.0,1288000000.0,1057000000.0,799000000.0
Capital de giro,11752000000.0,8389000000.0,4856000000.0,6528000000.0,4890000000.0,2641000000.0,2153000000.0,3404000000.0,2848000000.0,1971000000.0,2309000000.0,1500000000.0,1243000000.0,722000000.0,751000000.0,683000000.0
Endividamento geral,25.9421,42.354,19.1414,29.6811,19.145,-47.9845,-43.5899,166.49900000000002,16.0212,-22.7168,14.0813,10.2214,4.7895,4.7114,3.8649,2.9696
