Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,29.29,41.17,30.21,40.72,51.47,44.41,82.00,25.09,9.87,-,-,-,-,-,-,-
P/VP,4.95,7.29,4.39,6.38,7.69,10.58,10.41,3.16,2.72,-,-,-,-,-,-,-
P/EBIT,,,,,,,,,,-,-,-,-,-,-,-
PSR,12.79,16.69,9.65,25.42,23.01,21.54,22.91,6.72,3.59,-,-,-,-,-,-,-
P/Ativos,0.53,0.83,0.48,0.80,0.92,1.50,1.51,0.51,0.42,-,-,-,-,-,-,-
LPA,0.96,0.87,0.63,0.60,0.38,0.49,0.21,0.21,0.41,-,-,-,-,-,-,-
VPA,5.67,4.90,4.31,3.82,2.54,2.04,1.66,1.64,1.49,-,-,-,-,-,-,-
EBIT por ação,,,,,,,,,,-,-,-,-,-,-,-
Ativo por ação,53.29,43.03,39.38,30.62,21.23,14.38,11.47,10.21,9.68,-,-,-,-,-,-,-
Receita líquida por ação,2.19,2.14,1.96,0.96,0.85,1.00,0.75,0.77,1.13,-,-,-,-,-,-,-
Margem bruta,0.8998999999999999,0.9074,0.7936,0.9213,0.5972,0.4435,0.31120000000000003,0.4355,0.5637,-0.30870000000000003,0.1497,0.2948,0.3908,0.2414,0.3639,0.2532
Margem líquida,0.4534,0.41659999999999997,0.3395,0.6051,0.4374,0.4877,0.2802,0.2668,0.3627,0.049400000000000006,0.1635,0.2929,0.267,0.25429999999999997,0.2601,0.3161
Margem EBIT,,,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,,,
Margem operacional,0.5244,0.4738,0.3969,1.037,0.5347,0.5745,0.2982,0.19469999999999998,0.5363,-0.2884,0.1536,0.3411,0.36700000000000005,0.2125,0.3812,0.5753
ROE,0.1754,0.1819,0.15439999999999998,0.152,0.1462,0.2396,0.1274,0.12539999999999998,0.2748,0.0285,0.12269999999999999,0.20170000000000002,0.20629999999999998,0.2047,0.14730000000000001,0.19399999999999998
ROA,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.00,0.01,0.02,0.02,0.02,0.01,0.03
Giro do ativo,0.04,0.05,0.05,0.03,0.04,0.07,0.07,0.08,0.12,0.05,0.07,0.07,0.06,0.06,0.04,0.10
EBITDA,,,,,,,,,,,,,,,,
Liquidez corrente,0.99,1.01,1.03,1.10,0.92,1.17,1.08,1.22,1.04,1.17,1.11,1.14,1.20,1.15,1.08,1.13
Liquidez seca,,,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,,,
Capital de giro,-4578000000.0,2246000000.0,10392000000.0,19686000000.0,-13953000000.0,18855000000.0,7528000000.0,17996000000.0,3135000000.0,14643000000.0,11478000000.0,10838000000.0,12275000000.0,6108000000.0,2966000000.0,1964000000.0
Endividamento geral,,,,,,,,,,,,,,,,
