Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,3.47,3.30,2.26,1.15,9.58,-14.30,5.12,2.45,5.98,-0.40,16.31,-59.08,7.40,2.24,3.03,5.60
P/VP,0.71,0.80,1.13,1.24,1.25,0.60,0.61,0.65,0.48,0.13,0.19,0.31,0.39,0.52,0.79,0.96
P/EBIT,3.58,3.42,2.31,1.16,9.62,-13.88,4.94,2.19,4.82,-0.42,28.73,143.85,6.20,2.09,2.89,4.00
PSR,,,,,,,,,,,,,,,,1.91
P/Ativos,0.70,0.79,1.05,1.23,1.24,0.57,0.57,0.50,0.37,0.11,0.16,0.26,0.33,0.42,0.63,0.45
LPA,4.59,4.82,9.48,20.55,3.73,-1.03,3.03,5.92,1.60,-6.59,0.26,-0.12,1.24,5.15,4.48,2.45
VPA,22.41,19.93,19.02,19.09,28.63,24.32,25.34,22.40,20.12,20.14,22.74,22.98,23.29,22.07,17.24,14.25
EBIT por ação,4.45,4.65,9.28,20.40,3.72,-1.06,3.14,6.64,1.99,-6.30,0.15,0.05,1.47,5.51,4.70,3.43
Ativo por ação,22.69,20.07,20.51,19.22,28.74,25.71,27.05,28.80,26.14,24.66,26.96,27.62,27.73,27.32,21.67,30.77
Receita líquida por ação,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.17
Margem bruta,,,,,,,,,,,,,,,,0.4278
Margem líquida,,,,,,,,,,,,,,,,0.345
Margem EBIT,,,,,,,,,,,,,,,,0.47840000000000005
Margem EBITDA,,,,,,,,,,,,,,,,0.5907
Margem operacional,,,,,,,,,,,,,,,,0.4882
ROE,0.2047,0.2421,0.4986,1.0768,0.1303,-0.042199999999999994,0.1195,0.2644,0.0796,-0.3272,0.011399999999999999,-0.0053,0.053099999999999994,0.23329999999999998,0.2596,0.16579999999999998
ROA,0.20,0.24,0.46,1.07,0.13,-0.04,0.11,0.21,0.06,-0.27,0.01,-0.00,0.04,0.19,0.21,0.08
Giro do ativo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
EBITDA,,,,,,,,,,,,,,,2180000000.0,1664000000.0
Liquidez corrente,5.11,4.40,1.11,5.89,11.80,1.76,1.23,0.72,2.32,11.02,0.78,33.39,0.87,0.94,0.43,2.97
Liquidez seca,5.11,4.40,1.11,5.89,11.80,1.76,1.23,0.72,2.32,11.02,0.78,33.39,0.87,0.94,0.43,2.67
Liquidez imediata,5.11,4.40,0.70,5.89,1.78,0.64,1.00,0.68,0.56,11.02,0.26,7.73,0.25,0.34,0.15,0.95
Dívida bruta,,,,,,223000000.0,209000000.0,,1548000000.0,1347000000.0,,1045000000.0,,846000000.0,,3355000000.0
Dívida líquida,,,,,,21000000.0,-250000000.0,,-245000000.0,969000000.0,,787000000.0,,582000000.0,,2297000000.0
Capital de giro,449000000.0,190000000.0,65000000.0,244000000.0,380000000.0,240000000.0,106000000.0,-686000000.0,1029000000.0,343000000.0,-266000000.0,1083000000.0,-129000000.0,-43000000.0,-650000000.0,2203000000.0
Endividamento geral,0.0126,0.0072,0.0782,0.0068000000000000005,0.0038,0.057,0.0677,0.2858,0.2991,0.2245,0.1858,0.20199999999999999,0.1905,0.23800000000000002,0.2568,1.0622
