Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,12.21,-13.22,-3.23,72.84,29.96,83.33,-8.37,-33.33,-170.42,26.82,45.35,67.03,89.65,40.46,57.75,334.68
P/VP,2.41,1.80,0.91,3.61,4.83,3.14,5.35,3.35,5.36,6.17,6.47,4.86,4.74,3.93,3.41,3.17
P/EBIT,6.77,32.07,-74.93,10.15,14.56,8.40,-180.45,56.57,34.96,19.73,29.01,37.56,52.16,27.64,31.28,532.26
PSR,0.69,0.50,0.19,0.63,1.05,0.74,1.23,1.33,1.88,2.59,3.48,2.56,2.42,2.15,2.05,2.59
P/Ativos,0.66,0.47,0.18,0.55,0.83,0.59,0.88,0.83,1.48,2.07,2.80,2.20,2.24,1.84,1.67,1.45
LPA,1.94,-1.21,-1.88,0.25,0.82,0.18,-2.64,-0.67,-0.22,1.85,1.32,0.63,0.46,0.81,0.48,0.07
VPA,9.82,8.87,6.70,5.03,5.10,4.69,4.14,6.66,7.04,8.03,9.27,8.71,8.65,8.36,8.10,7.72
EBIT por ação,3.50,0.50,-0.08,1.79,1.69,1.75,-0.12,0.39,1.08,2.51,2.07,1.13,0.79,1.19,0.88,0.05
Ativo por ação,35.95,34.04,34.39,33.23,29.52,24.79,25.19,26.88,25.52,24.01,21.46,19.24,18.29,17.82,16.49,16.87
Receita líquida por ação,34.63,31.87,31.98,28.73,23.46,19.88,17.94,16.83,20.05,19.14,17.24,16.52,16.95,15.28,13.48,9.45
Margem bruta,0.24989999999999998,0.1648,0.1512,0.2005,0.2365,0.2415,0.1612,0.2018,0.2231,0.3134,0.2934,0.2487,0.2263,0.2591,0.2526,0.1997
Margem líquida,0.061399999999999996,-0.0349,-0.0584,0.009000000000000001,0.0352,0.0089,-0.1479,-0.0388,-0.0109,0.09720000000000001,0.0767,0.0384,0.0273,0.053099999999999994,0.0355,0.0075
Margem EBIT,0.1012,0.015600000000000001,-0.0025,0.0623,0.0721,0.0883,-0.0068000000000000005,0.023399999999999997,0.0538,0.1313,0.1199,0.0682,0.0464,0.07780000000000001,0.0655,0.0049
Margem EBITDA,0.13449999999999998,0.049800000000000004,0.0305,0.0978,0.1106,0.1332,0.025099999999999997,0.055099999999999996,0.08109999999999999,0.1553,0.1442,0.1085,0.0803,0.11230000000000001,0.0998,
Margem operacional,0.0732,-0.037000000000000005,-0.0521,-0.0007000000000000001,0.0291,0.0325,-0.08109999999999999,-0.043,-0.009399999999999999,0.0795,0.0858,0.041299999999999996,0.0264,0.0592,0.044199999999999996,0.021400000000000002
ROE,0.2027,-0.1195,-0.2657,0.0496,0.1577,0.0365,-0.593,-0.09380000000000001,-0.0301,0.2263,0.1418,0.0726,0.0533,0.0967,0.059000000000000004,0.0091
ROA,0.06,-0.03,-0.05,0.01,0.03,0.01,-0.11,-0.02,-0.01,0.08,0.06,0.03,0.03,0.05,0.03,0.00
Giro do ativo,0.96,0.94,0.93,0.86,0.79,0.80,0.71,0.63,0.79,0.80,0.80,0.86,0.93,0.86,0.82,0.56
EBITDA,7836000000.0,2670000000.0,1641000000.0,4725000000.0,4364000000.0,4455000000.0,756000000.0,1558000000.0,2737000000.0,5000000000.0,4182000000.0,3013000000.0,2290000000.0,2887000000.0,2264000000.0,
Liquidez corrente,1.45,1.34,1.19,1.24,1.48,1.13,1.31,1.29,1.49,1.65,1.83,1.57,1.55,1.39,1.76,1.68
Liquidez seca,1.07,1.00,0.80,0.78,1.04,0.84,1.05,0.96,1.12,1.30,1.52,1.20,1.15,1.06,1.39,1.32
Liquidez imediata,0.55,0.48,0.36,0.35,0.49,0.32,0.34,0.40,0.50,0.46,0.63,0.37,0.26,0.17,0.41,0.30
Dívida bruta,19543000000.0,20095000000.0,23517000000.0,25456000000.0,22404000000.0,18620000000.0,22165000000.0,20444000000.0,18962000000.0,15179000000.0,11589000000.0,10181000000.0,9518000000.0,8053000000.0,7202000000.0,9056000000.0
Dívida líquida,8734000000.0,10383000000.0,14967000000.0,17580000000.0,14513000000.0,13964000000.0,16788000000.0,14205000000.0,11983000000.0,9081000000.0,4994000000.0,6593000000.0,6965000000.0,5314000000.0,3859000000.0,4812000000.0
Capital de giro,8747000000.0,6563000000.0,4206000000.0,5017000000.0,7471000000.0,1721000000.0,4542000000.0,4311000000.0,6253000000.0,7558000000.0,7919000000.0,4806000000.0,4108000000.0,3135000000.0,4334000000.0,4318000000.0
Endividamento geral,2.4266,2.661,3.8933999999999997,5.334199999999999,4.6350999999999996,4.1177,4.6270999999999995,2.8615,2.5145,1.9191,1.3011000000000001,1.2029,1.1088,1.125,1.0351000000000001,1.1841
