Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,-1.29,-4.60,-45.93,2.43,-4.02,-4.17,11.71,7.43,-47.43,4.31,6.69,17.66,-9.45,-14.10,5.33,23.87
P/VP,-373.73,5.27,2.11,4.32,-12.22,2.39,4.95,4.66,7.13,7.94,0.96,1.19,0.81,0.72,0.97,1.91
P/EBIT,-45.14,-7.54,3.61,1.30,-374.36,-206.42,4.04,3.24,3.28,1.88,1.62,3.28,4.34,3.75,3.14,6.77
PSR,0.12,0.30,0.16,0.32,0.46,0.22,0.58,0.62,0.41,0.28,0.13,0.22,0.19,0.22,0.40,0.59
P/Ativos,0.10,0.23,0.18,0.37,0.31,0.17,0.57,0.57,0.37,0.21,0.12,0.19,0.17,0.19,0.29,0.41
LPA,-9.09,-5.74,-0.42,17.54,-8.39,-3.51,3.60,5.12,-0.52,3.77,1.08,0.64,-0.92,-0.62,2.38,0.50
VPA,-0.03,5.01,9.18,9.87,-2.76,6.13,8.51,8.18,3.44,2.05,7.58,9.46,10.74,12.25,13.03,6.25
EBIT por ação,-0.26,-3.50,5.36,32.67,-0.09,-0.07,10.42,11.74,7.47,8.64,4.48,3.44,2.00,2.34,4.03,1.76
Ativo por ação,116.22,115.08,110.45,116.11,107.98,85.46,74.25,66.91,65.67,76.05,61.99,58.72,51.64,46.91,43.25,29.32
Receita líquida por ação,94.02,88.52,121.07,132.49,73.44,65.63,72.75,61.79,59.79,58.81,57.74,51.39,45.36,40.76,31.98,20.24
Margem bruta,0.0782,0.042800000000000005,0.1177,0.3035,0.19149999999999998,0.127,0.1974,0.2611,0.266,0.21660000000000001,0.1298,0.1257,0.09539999999999998,0.11320000000000001,0.1602,0.16149999999999998
Margem líquida,-0.1056,-0.0693,-0.0085,0.1322,-0.1198,-0.0554,0.0501,0.0839,-0.015300000000000001,0.058899999999999994,0.0158,0.0124,-0.0204,-0.015,0.0741,0.024700000000000003
Margem EBIT,-0.0028000000000000004,-0.039599999999999996,0.0443,0.2466,-0.0012,-0.0011,0.1432,0.19,0.1249,0.147,0.0775,0.0669,0.044000000000000004,0.0575,0.1261,0.087
Margem EBITDA,0.0666,0.0342,0.0933,0.2861,0.0679,0.0683,0.19469999999999998,0.2494,0.18109999999999998,0.1923,0.1222,0.11710000000000001,0.09720000000000001,0.1105,0.1891,0.1514
Margem operacional,-0.14980000000000002,-0.0877,0.0005,0.17,-0.1654,-0.09179999999999999,0.063,0.11,-0.0029,0.0942,0.0256,0.0235,-0.0499,-0.0282,0.07400000000000001,0.109
ROE,5.3021,-1.4912999999999998,-0.1344,2.2505,1.8144,-0.7343999999999999,0.4918,0.7264,-0.4238,2.9193000000000002,0.1232,0.066,-0.08529999999999999,-0.0489,0.1815,0.08
ROA,-0.09,-0.05,-0.01,0.15,-0.08,-0.04,0.05,0.08,-0.01,0.05,0.01,0.01,-0.02,-0.01,0.05,0.02
Giro do ativo,0.81,0.77,1.10,1.14,0.68,0.77,0.98,0.92,0.91,0.77,0.93,0.88,0.88,0.87,0.74,0.69
EBITDA,4989000000.0,2414000000.0,9005000000.0,30221000000.0,3976000000.0,3575000000.0,11294000000.0,12287000000.0,8634000000.0,9015000000.0,5625000000.0,4796000000.0,3515000000.0,3592000000.0,4821000000.0,2442000000.0
Liquidez corrente,1.28,1.53,1.42,1.56,1.20,1.44,0.93,0.94,0.71,1.03,1.05,1.10,1.00,1.12,1.03,0.93
Liquidez seca,0.76,1.02,0.84,0.91,0.91,0.97,0.56,0.58,0.49,0.68,0.67,0.73,0.68,0.72,0.68,0.70
Liquidez imediata,0.45,0.58,0.52,0.34,0.49,0.42,0.24,0.20,0.28,0.40,0.28,0.32,0.26,0.33,0.31,0.35
Dívida bruta,44753000000.0,42236000000.0,35716000000.0,35035000000.0,41913000000.0,29244000000.0,25164000000.0,23647000000.0,23331000000.0,27350000000.0,20336000000.0,18602000000.0,17511000000.0,15163000000.0,12728000000.0,10142000000.0
Dívida líquida,30416000000.0,23093000000.0,20955000000.0,22861000000.0,24423000000.0,20753000000.0,17259000000.0,17569000000.0,15438000000.0,19892000000.0,16253000000.0,14179000000.0,14051000000.0,12006000000.0,9867000000.0,7023000000.0
Capital de giro,7512000000.0,12947000000.0,10271000000.0,14099000000.0,5803000000.0,7173000000.0,-1733000000.0,-1146000000.0,-6783000000.0,496000000.0,677000000.0,1402000000.0,35000000.0,1118000000.0,277000000.0,-567000000.0
Endividamento geral,-63.0563,26.9783,13.4154,13.920499999999999,-23.2639,16.271,9.0138,8.374,29.424400000000002,63.122299999999996,7.384600000000001,5.0947000000000005,3.7584,2.7473,2.3125,3.6944
