Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,4.26,5.86,5.12,3.88,5.21,2.68,6.74,5.38,6.06,2.38,3.60,3.54,4.37,4.24,5.09,6.08
P/VP,0.39,0.53,0.39,0.41,0.45,0.46,0.97,0.81,0.62,0.32,0.44,0.54,0.77,0.87,0.98,0.96
P/EBIT,,,,,,,,,,,,,,,,
PSR,0.24,0.32,0.28,0.45,0.46,0.40,0.74,0.57,0.38,0.19,0.30,0.43,0.56,0.65,0.78,0.77
P/Ativos,0.03,0.04,0.03,0.04,0.04,0.04,0.09,0.08,0.06,0.03,0.04,0.05,0.08,0.10,0.12,0.11
LPA,2.29,2.13,1.75,2.32,1.78,3.29,2.56,2.57,1.61,2.08,1.69,1.94,2.00,2.21,1.81,1.32
VPA,25.07,23.63,23.02,22.12,20.40,19.05,17.79,17.19,15.75,15.17,13.86,12.59,11.33,10.76,9.43,8.33
EBIT por ação,,,,,,,,,,,,,,,,
Ativo por ação,346.09,304.03,276.39,256.56,224.16,198.04,188.35,177.42,166.87,160.84,144.11,129.89,114.95,92.50,79.10,71.60
Receita líquida por ação,40.24,38.39,31.70,20.05,20.11,22.19,23.28,24.27,25.96,26.33,20.00,16.06,15.51,14.50,11.80,10.40
Margem bruta,0.3613,0.33390000000000003,0.34700000000000003,0.5844,0.6368,0.6031,0.4579,0.3718,0.3215,0.25980000000000003,0.3625,0.45270000000000005,0.4487,0.45520000000000005,0.48969999999999997,0.4926
Margem líquida,0.056799999999999996,0.0554,0.055099999999999996,0.1157,0.08839999999999999,0.1482,0.11019999999999999,0.1061,0.0621,0.0788,0.08449999999999999,0.12050000000000001,0.1291,0.1525,0.1536,0.1272
Margem EBIT,,,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,,,
Margem operacional,0.0834,0.0626,0.0351,0.1365,0.1143,0.1574,0.17079999999999998,0.14730000000000001,0.09230000000000001,0.0872,0.10869999999999999,0.1789,0.1865,0.22760000000000002,0.23379999999999998,0.19699999999999998
ROE,0.09119999999999999,0.0901,0.0759,0.10490000000000001,0.0872,0.1725,0.1441,0.14980000000000002,0.1024,0.1368,0.122,0.15380000000000002,0.1766,0.20559999999999998,0.1923,0.1588
ROA,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
Giro do ativo,0.12,0.13,0.11,0.08,0.09,0.11,0.12,0.14,0.16,0.16,0.14,0.12,0.13,0.16,0.15,0.15
EBITDA,,,,,,,,,,,,,,,,
Liquidez corrente,,,,,,1.07,1.35,1.56,1.18,1.03,0.92,0.88,0.95,0.79,0.75,0.81
Liquidez seca,,,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,,,
Capital de giro,,,,,,4940000000.0,10595000000.0,15920000000.0,4801000000.0,968000000.0,-2166000000.0,-3261000000.0,-1409000000.0,-4985000000.0,-5942000000.0,-4004000000.0
Endividamento geral,,,,,,,,,,,,,,,,
