Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,65.08,236.51,159.86,127.73,155.15,172.67,-77.11,-322.43,412.83,432.44,63.28,113.73,215.97,580.86,-400.03,300.68
P/VP,5.48,5.99,7.90,10.31,13.18,16.44,7.38,7.03,8.75,3.70,3.70,3.88,3.74,3.59,3.03,10.17
P/EBIT,24.70,46.34,62.25,61.87,62.96,76.18,-137.09,259.91,72.55,44.42,23.78,45.78,89.79,121.54,-373.87,183.62
PSR,6.45,7.34,10.43,14.15,15.26,18.39,8.47,9.00,12.77,5.93,6.35,7.17,7.58,8.52,9.39,22.03
P/Ativos,2.37,2.39,3.39,4.41,4.63,5.81,2.76,2.85,4.04,1.77,1.96,2.03,2.06,2.01,1.92,6.40
LPA,0.16,0.04,0.08,0.12,0.10,0.10,-0.10,-0.02,0.02,0.01,0.06,0.04,0.02,0.01,-0.01,0.03
VPA,1.90,1.74,1.62,1.45,1.15,1.09,1.08,1.14,1.16,1.11,1.11,1.06,1.07,1.11,1.31,0.88
EBIT por ação,0.42,0.23,0.21,0.24,0.24,0.24,-0.06,0.03,0.14,0.09,0.17,0.09,0.04,0.03,-0.01,0.05
Ativo por ação,4.40,4.36,3.77,3.40,3.27,3.09,2.89,2.80,2.52,2.32,2.09,2.02,1.95,1.99,2.08,1.40
Receita líquida por ação,1.62,1.42,1.23,1.06,0.99,0.98,0.94,0.89,0.80,0.69,0.65,0.57,0.53,0.47,0.42,0.41
Margem bruta,0.4796,0.418,0.4437,0.4962,0.5085000000000001,0.5508,0.5578,0.5594,0.5504,0.5142,0.5504,0.6209,0.6233,0.6598,0.6707,0.6622
Margem líquida,0.09910000000000001,0.0311,0.0652,0.1108,0.0984,0.1065,-0.10980000000000001,-0.0279,0.030899999999999997,0.0137,0.10039999999999999,0.063,0.0351,0.0147,-0.0235,0.0733
Margem EBIT,0.2611,0.1585,0.1675,0.2288,0.24239999999999998,0.2413,-0.061799999999999994,0.0346,0.17600000000000002,0.1336,0.2671,0.1565,0.08439999999999999,0.0701,-0.025099999999999997,0.12
Margem EBITDA,0.34840000000000004,0.2641,0.24530000000000002,0.3127,0.32689999999999997,0.32020000000000004,,,,,,,,,,
Margem operacional,0.1499,0.0472,0.0984,0.16760000000000003,0.14880000000000002,0.1606,-0.1802,-0.0356,0.04019999999999999,0.0139,0.17550000000000002,0.102,0.0326,0.0166,-0.0803,0.07490000000000001
ROE,0.0843,0.0253,0.049400000000000006,0.08070000000000001,0.085,0.09519999999999999,-0.09570000000000001,-0.0218,0.0212,0.0086,0.058499999999999996,0.0341,0.0173,0.0062,-0.0076,0.0338
ROA,0.04,0.01,0.02,0.03,0.03,0.03,-0.04,-0.01,0.01,0.00,0.03,0.02,0.01,0.00,-0.00,0.02
Giro do ativo,0.37,0.33,0.32,0.31,0.30,0.32,0.33,0.32,0.32,0.30,0.31,0.28,0.27,0.24,0.20,0.29
EBITDA,648000000.0,431000000.0,345000000.0,380000000.0,373000000.0,359000000.0,,,,,,,,,,
Liquidez corrente,0.92,1.25,0.76,1.08,0.87,1.32,0.87,1.37,1.58,1.72,1.75,1.34,1.07,1.23,1.73,1.37
Liquidez seca,0.77,1.07,0.57,0.93,0.79,1.21,0.78,1.27,1.42,1.59,1.62,1.22,0.95,1.11,1.53,1.23
Liquidez imediata,0.01,0.06,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.47,0.12,0.07,0.05,0.04,0.11,0.09
Dívida bruta,2080000000.0,2192000000.0,1675000000.0,1422000000.0,1472000000.0,1297000000.0,1158000000.0,1162000000.0,939000000.0,758000000.0,489000000.0,330000000.0,237000000.0,258000000.0,208000000.0,223000000.0
Dívida líquida,1929000000.0,1736000000.0,1623000000.0,1327000000.0,1339000000.0,1101000000.0,1071000000.0,961000000.0,845000000.0,601000000.0,359000000.0,209000000.0,203000000.0,186000000.0,178000000.0,198000000.0
Capital de giro,-59000000.0,183000000.0,-173000000.0,36000000.0,-74000000.0,130000000.0,-64000000.0,144000000.0,149000000.0,164000000.0,155000000.0,86000000.0,16000000.0,51000000.0,74000000.0,45000000.0
Endividamento geral,1.3155000000000001,1.5034,1.334,1.3371000000000002,1.8452000000000002,1.8313,1.6699000000000002,1.4691,1.1645999999999999,1.0865,0.8837999999999999,0.9085,0.8172,0.7908,0.5817,0.5908
