Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,5.35,5.25,5.79,5.44,8.07,8.43,10.79,27.80,21.05,17.76,11.49,13.86,12.86,13.70,9.25,7.80
P/VP,1.34,1.50,1.53,1.47,1.61,1.63,1.32,1.55,1.85,2.00,1.98,2.80,4.23,4.47,3.68,3.26
P/EBIT,2.46,2.56,2.83,3.22,5.43,5.17,6.01,7.15,7.40,7.69,6.15,8.59,9.21,9.83,7.72,6.33
PSR,0.60,0.64,0.65,0.64,0.87,0.83,0.75,0.60,0.77,0.89,0.97,1.40,1.47,2.07,1.99,1.73
P/Ativos,0.32,0.35,0.35,0.37,0.47,0.45,0.47,0.39,0.52,0.56,0.63,0.89,1.22,1.71,1.63,1.45
LPA,6.67,7.02,5.98,6.37,4.65,3.85,2.44,0.68,0.99,1.28,1.82,1.93,2.53,2.86,3.61,3.39
VPA,26.54,24.56,22.55,23.56,23.31,19.91,19.86,12.08,11.28,11.40,10.54,9.55,7.69,8.77,9.07,8.10
EBIT por ação,14.53,14.40,12.22,10.75,6.91,6.28,4.38,2.63,2.82,2.96,3.39,3.11,3.53,3.99,4.33,4.18
Ativo por ação,110.40,106.38,97.80,93.08,79.82,72.28,55.44,47.90,40.18,40.81,32.90,29.93,26.64,22.90,20.50,18.15
Receita líquida por ação,59.44,57.84,53.33,54.43,43.06,38.99,35.24,31.06,26.96,25.63,21.43,19.01,22.18,18.95,16.77,15.25
Margem bruta,0.3011,0.3089,0.2918,0.2504,0.2262,0.22760000000000002,0.1867,0.1483,0.1821,0.2118,0.2692,0.2921,0.2859,0.3326,0.3394,0.3472
Margem líquida,0.11220000000000001,0.1213,0.1121,0.11699999999999999,0.10800000000000001,0.0987,0.0691,0.0217,0.036699999999999997,0.05,0.08470000000000001,0.1013,0.114,0.15109999999999998,0.2152,0.22210000000000002
Margem EBIT,0.2444,0.249,0.2291,0.1975,0.1605,0.161,0.1242,0.08460000000000001,0.10460000000000001,0.11560000000000001,0.1582,0.1635,0.1593,0.21059999999999998,0.258,0.2738
Margem EBITDA,0.3043,0.3066,0.2843,0.24480000000000002,0.2113,0.2104,0.17129999999999998,0.1336,,,,,,0.2577,0.3049,
Margem operacional,0.1333,0.1336,0.135,0.1445,0.1292,0.11380000000000001,0.0823,0.026099999999999998,0.038599999999999995,0.0661,0.0959,0.1211,0.1318,0.1746,0.25370000000000004,0.267
ROE,0.25129999999999997,0.2857,0.2651,0.2702,0.19949999999999998,0.19329999999999997,0.12269999999999999,0.0559,0.08789999999999999,0.1125,0.1722,0.2018,0.32899999999999996,0.32659999999999995,0.3979,0.4183
ROA,0.06,0.07,0.06,0.07,0.06,0.05,0.04,0.01,0.02,0.03,0.06,0.06,0.09,0.12,0.18,0.19
Giro do ativo,0.54,0.54,0.55,0.58,0.54,0.54,0.64,0.65,0.67,0.63,0.65,0.64,0.83,0.83,0.82,0.84
EBITDA,4741000000.0,4647000000.0,3974000000.0,3492000000.0,2385000000.0,2150000000.0,1582000000.0,1087000000.0,,,,,,1280000000.0,1339000000.0,
Liquidez corrente,0.76,0.87,0.94,1.13,1.19,1.18,1.23,0.77,0.71,0.96,1.11,1.02,0.89,1.07,1.15,1.02
Liquidez seca,0.76,0.87,0.94,1.13,1.19,1.18,1.23,0.76,0.71,0.96,1.10,1.01,0.89,1.06,1.14,1.02
Liquidez imediata,0.11,0.14,0.17,0.13,0.14,0.22,0.33,0.15,0.02,0.02,0.03,0.03,0.15,0.14,0.09,0.17
Dívida bruta,14297000000.0,14261000000.0,13151000000.0,11408000000.0,7817000000.0,7715000000.0,6286000000.0,5350000000.0,4994000000.0,5186000000.0,3811000000.0,3544000000.0,3187000000.0,2663000000.0,2082000000.0,1468000000.0
Dívida líquida,13530000000.0,13287000000.0,12116000000.0,10714000000.0,7339000000.0,6856000000.0,5394000000.0,4767000000.0,4723000000.0,4225000000.0,3600000000.0,2949000000.0,2907000000.0,2447000000.0,1911000000.0,1166000000.0
Capital de giro,-1588000000.0,-887000000.0,-350000000.0,633000000.0,669000000.0,684000000.0,637000000.0,-913000000.0,-871000000.0,-105000000.0,191000000.0,29000000.0,-178000000.0,91000000.0,172000000.0,25000000.0
Endividamento geral,3.1591000000000005,3.3317,3.3364999999999996,2.9503,2.4246,2.63,1.7916999999999998,2.9655,2.5625999999999998,2.5791000000000004,2.1214,2.135,2.4651,1.6117,1.2606,1.242
