Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,0.4432,0.47090000000000004,0.4138,0.2908,0.2785,0.35950000000000004,0.4658,0.5007,0.5127,0.5225,0.6051,0.6214,0.6643000000000001,0.6614,0.7042,0.7282
Margem líquida,0.17989999999999998,0.2329,0.1604,-0.0271,-0.0311,0.1547,0.3046,0.3676,0.34009999999999996,0.3283,0.418,0.3981,0.43310000000000004,0.43170000000000003,0.4586,0.44520000000000004
Margem EBIT,0.20989999999999998,0.3307,0.2511,0.0089,-0.0129,0.1697,0.3171,0.37329999999999997,0.3715,0.3895,0.4416,0.4728,0.5166,0.5156000000000001,0.5938,0.6104999999999999
Margem EBITDA,0.2956,0.4174,0.3429,0.1035,0.0983,0.265,0.3968,0.455,0.45,0.4705,0.49689999999999995,0.5309,0.5752,0.5721,0.6422,0.657
Margem operacional,0.2314,0.3161,0.215,0.0022,-0.0025,0.2191,0.4235,0.5246,0.48950000000000005,0.4886,0.6223,0.5997,0.6548999999999999,0.6472,0.6876000000000001,0.6767
ROE,0.1606,0.16469999999999999,0.1241,-0.024,-0.024700000000000003,0.11689999999999999,0.2394,0.2776,0.32420000000000004,0.3593,0.7467,0.8046,0.9664,1.2754,1.5331000000000001,1.7826
ROA,0.02,0.02,0.02,-0.00,-0.00,0.02,0.04,0.05,0.14,0.12,0.17,0.20,0.23,0.36,0.49,0.52
Giro do ativo,0.10,0.10,0.10,0.12,0.12,0.12,0.14,0.13,0.40,0.37,0.41,0.51,0.54,0.83,1.06,1.16
EBITDA,3055000000.0,4424000000.0,3666000000.0,1209000000.0,1100000000.0,3008000000.0,4637000000.0,5277000000.0,5535000000.0,5233000000.0,3838000000.0,3575000000.0,3097000000.0,2407000000.0,2563000000.0,2263000000.0
Liquidez corrente,1.01,1.15,1.15,1.16,1.13,1.13,1.16,1.15,1.75,1.57,1.33,1.43,1.40,1.19,1.26,1.21
Liquidez seca,1.01,1.15,1.15,1.16,1.13,1.13,1.16,1.15,1.75,1.57,1.33,1.43,1.40,1.19,1.26,1.21
Liquidez imediata,0.01,0.01,0.02,0.07,0.05,0.05,0.05,0.10,0.34,0.15,0.39,0.07,0.09,0.10,0.12,0.33
Dívida bruta,,7730000000.0,6643000000.0,6295000000.0,8944000000.0,9245000000.0,7862000000.0,9245000000.0,10791000000.0,13299000000.0,7339000000.0,2488000000.0,2114000000.0,150000000.0,,
Dívida líquida,,6476000000.0,4760000000.0,708000000.0,5198000000.0,5984000000.0,4988000000.0,3221000000.0,8132000000.0,12049000000.0,3341000000.0,2065000000.0,1709000000.0,-143000000.0,,
Capital de giro,1031000000.0,12638000000.0,12556000000.0,11940000000.0,8620000000.0,8652000000.0,9164000000.0,9336000000.0,5890000000.0,4611000000.0,3414000000.0,2740000000.0,1806000000.0,544000000.0,519000000.0,333000000.0
Endividamento geral,7.581900000000001,6.192699999999999,6.9458,6.601699999999999,5.5306,5.2101999999999995,4.5523,4.7514,1.3672,1.9494,3.3196,2.9949,3.1552999999999995,2.5635000000000003,2.158,2.4492
