Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,4.53,4.50,3.40,3.73,3.91,6.79,11.88,18.15,-80.58,7.37,2.68,6.92,-4.98,9.88,7.54,13.83
P/VP,0.90,0.85,0.64,0.80,1.02,1.37,1.09,0.66,0.38,0.43,0.59,0.64,0.72,1.47,1.06,0.99
P/EBIT,2.99,3.04,2.29,2.63,2.97,3.87,5.15,3.95,8.44,3.41,1.62,9.49,-2.52,7.29,7.56,19.47
PSR,0.29,0.24,0.19,0.18,0.23,0.24,0.26,0.17,0.13,0.14,0.22,0.28,0.29,0.76,0.51,0.49
P/Ativos,0.23,0.20,0.16,0.18,0.19,0.20,0.20,0.13,0.09,0.12,0.22,0.24,0.24,0.60,0.41,0.36
LPA,17.49,14.44,14.01,14.60,13.45,7.35,4.28,1.72,-0.25,3.39,13.30,5.16,-6.63,8.40,7.09,3.23
VPA,87.71,76.03,74.75,67.96,51.45,36.48,46.69,47.76,53.82,57.68,60.76,55.42,46.08,56.38,50.31,45.05
EBIT por ação,26.52,21.39,20.80,20.67,17.67,12.89,9.87,7.91,2.43,7.33,21.98,3.76,-13.09,11.38,7.08,2.29
Ativo por ação,347.96,318.95,301.47,310.03,276.56,246.25,255.49,234.89,223.71,207.12,159.99,145.90,138.53,139.10,129.68,123.06
Receita líquida por ação,273.93,269.70,256.65,294.04,229.67,207.82,198.71,183.48,158.37,182.82,161.91,126.32,114.46,108.67,104.66,90.70
Margem bruta,0.1734,0.1593,0.1454,0.11349999999999999,0.1359,0.12390000000000001,0.1063,0.1243,0.0859,0.0956,0.1634,0.16829999999999998,0.0934,0.2214,0.1631,0.17190000000000003
Margem líquida,0.0639,0.0535,0.0546,0.049699999999999994,0.058600000000000006,0.0354,0.0215,0.009399999999999999,-0.0016,0.018500000000000003,0.08220000000000001,0.0408,-0.0579,0.07730000000000001,0.0678,0.0356
Margem EBIT,0.0968,0.0793,0.08109999999999999,0.0703,0.07690000000000001,0.062,0.049699999999999994,0.0431,0.015300000000000001,0.0401,0.13570000000000002,0.0298,-0.1143,0.1047,0.0676,0.0252
Margem EBITDA,0.1286,0.1096,0.109,0.092,0.1041,0.0904,0.07769999999999999,0.0739,0.053899999999999997,0.0771,0.1707,0.0727,-0.0781,0.1418,0.10640000000000001,0.0654
Margem operacional,0.0817,0.06570000000000001,0.0727,0.0724,0.0818,0.0525,0.0375,0.022099999999999998,-0.0043,0.024700000000000003,0.1336,0.0608,-0.0848,0.10830000000000001,0.0886,0.0467
ROE,0.19940000000000002,0.18989999999999999,0.1875,0.2148,0.2613,0.20149999999999998,0.0916,0.0361,-0.004699999999999999,0.0587,0.2189,0.09300000000000001,-0.1439,0.1489,0.141,0.0716
ROA,0.05,0.05,0.05,0.05,0.05,0.03,0.02,0.01,-0.00,0.02,0.08,0.04,-0.05,0.06,0.05,0.03
Giro do ativo,0.79,0.85,0.85,0.95,0.83,0.84,0.78,0.78,0.71,0.88,1.01,0.87,0.83,0.78,0.81,0.74
EBITDA,1358000000.0,1139000000.0,1079000000.0,1043000000.0,922000000.0,724000000.0,595000000.0,523000000.0,329000000.0,543000000.0,1065000000.0,354000000.0,-345000000.0,594000000.0,429000000.0,228000000.0
Liquidez corrente,1.31,0.91,0.98,1.15,1.12,0.97,0.98,0.86,0.99,1.07,2.95,1.12,1.00,1.11,1.02,1.15
Liquidez seca,1.31,0.91,0.97,1.14,1.12,0.97,0.98,0.86,0.98,1.07,2.94,1.11,0.99,1.10,1.01,1.13
Liquidez imediata,0.42,0.24,0.25,0.26,0.33,0.23,0.16,0.13,0.24,0.28,0.26,0.45,0.13,0.33,0.22,0.30
Dívida bruta,4335000000.0,3171000000.0,2449000000.0,2021000000.0,1961000000.0,1661000000.0,1420000000.0,482000000.0,787000000.0,1142000000.0,859000000.0,681000000.0,338000000.0,371000000.0,320000000.0,338000000.0
Dívida líquida,2998000000.0,2265000000.0,1508000000.0,1177000000.0,795000000.0,1095000000.0,722000000.0,-82000000.0,-130000000.0,220000000.0,409000000.0,17000000.0,149000000.0,-87000000.0,46000000.0,5000000.0
Capital de giro,1007000000.0,-321000000.0,-79000000.0,483000000.0,433000000.0,-70000000.0,-86000000.0,-615000000.0,-51000000.0,246000000.0,3434000000.0,182000000.0,6000000.0,146000000.0,22000000.0,153000000.0
Endividamento geral,2.9674,3.195,3.0331,3.5618,4.3749,5.7501,4.472300000000001,3.9181,3.1567000000000003,2.591,1.6333000000000002,1.6329,2.0063,1.4672999999999998,1.5776,1.7313999999999998
