Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,5.22,5.13,7.93,7.35,6.25,2.96,10.12,7.95,35.18,2.88,3.54,3.55,3.32,8.18,5.22,4.72
P/VP,1.49,1.20,1.49,1.42,1.03,0.59,1.18,0.56,0.91,0.55,0.98,0.87,1.23,1.68,1.03,0.90
P/EBIT,4.01,4.09,5.71,3.96,3.81,2.94,6.89,3.01,6.52,1.51,1.99,2.53,4.09,4.59,3.23,2.73
PSR,1.08,0.80,0.94,0.82,0.71,0.37,0.77,0.37,0.63,0.32,0.57,0.75,1.00,1.25,0.85,0.83
P/Ativos,0.66,0.54,0.60,0.53,0.33,0.19,0.29,0.19,0.28,0.17,0.32,0.37,0.44,0.53,0.35,0.33
LPA,2.80,2.01,1.43,1.31,1.00,1.12,0.59,0.35,0.12,0.86,1.10,1.08,1.49,0.84,0.79,0.75
VPA,9.81,8.61,7.61,6.80,6.11,5.63,5.09,5.01,4.52,4.54,3.94,4.42,4.04,4.10,4.01,3.90
EBIT por ação,3.64,2.53,1.99,2.43,1.64,1.12,0.87,0.92,0.63,1.64,1.95,1.52,1.21,1.50,1.27,1.29
Ativo por ação,22.02,19.22,18.75,18.19,18.90,17.66,20.92,14.76,14.69,14.28,12.23,10.42,11.38,12.93,11.73,10.59
Receita líquida por ação,13.49,12.88,12.04,11.76,8.82,8.91,7.78,7.59,6.56,7.64,6.83,5.11,4.94,5.50,4.84,4.25
Margem bruta,0.2165,0.2275,0.19760000000000003,0.1998,0.2134,0.231,0.2061,0.1946,0.2314,0.2782,0.3448,0.3267,0.31420000000000003,0.365,0.35229999999999995,0.3917
Margem líquida,0.2075,0.1565,0.1188,0.1115,0.11359999999999999,0.1253,0.0782,0.0461,0.0178,0.11289999999999999,0.1605,0.2122,0.30219999999999997,0.1534,0.1631,0.1815
Margem EBIT,0.2702,0.1962,0.165,0.2066,0.1866,0.1259,0.1121,0.1217,0.0962,0.215,0.28559999999999997,0.2982,0.2458,0.2732,0.2634,0.3036
Margem EBITDA,0.3055,0.23079999999999998,0.1993,0.2378,0.22579999999999997,0.1635,0.1502,0.16079999999999997,0.1406,0.2532,0.32659999999999995,0.3546,0.2998,0.3356,0.32799999999999996,0.37729999999999997
Margem operacional,0.2644,0.1859,0.11960000000000001,0.1396,0.1507,0.1793,0.0888,0.0758,0.0196,0.1537,0.22920000000000001,0.2772,0.361,0.2116,0.20379999999999998,0.27449999999999997
ROE,0.2853,0.2339,0.188,0.1928,0.16390000000000002,0.1984,0.1093,0.0699,0.0259,0.19010000000000002,0.278,0.24559999999999998,0.36979999999999996,0.2057,0.1968,0.19760000000000003
ROA,0.13,0.10,0.08,0.07,0.05,0.06,0.03,0.02,0.01,0.06,0.09,0.10,0.13,0.07,0.07,0.07
Giro do ativo,0.61,0.67,0.64,0.65,0.47,0.50,0.37,0.51,0.45,0.54,0.56,0.49,0.43,0.43,0.41,0.40
EBITDA,11791000000.0,8504000000.0,6869000000.0,8000000000.0,5695000000.0,4168000000.0,3344000000.0,3492000000.0,2639000000.0,5537000000.0,6381000000.0,5186000000.0,4237000000.0,5285000000.0,4542000000.0,4586000000.0
Liquidez corrente,1.04,0.91,1.20,1.21,1.59,1.30,1.19,0.99,0.72,0.72,0.65,1.13,0.69,0.70,1.26,0.84
Liquidez seca,1.04,0.91,1.20,1.21,1.59,1.30,1.19,0.98,0.72,0.71,0.64,1.12,0.68,0.70,1.26,0.83
Liquidez imediata,0.23,0.12,0.13,0.08,0.17,0.07,0.04,0.12,0.09,0.07,0.09,0.37,0.15,0.24,0.47,0.43
Dívida bruta,14134000000.0,9831000000.0,10579000000.0,11363000000.0,15020000000.0,14776000000.0,14771000000.0,14397000000.0,15179000000.0,15166000000.0,13508000000.0,9457000000.0,10415000000.0,15779000000.0,13226000000.0,11292000000.0
Dívida líquida,7513000000.0,7519000000.0,7394000000.0,8814000000.0,9979000000.0,13499000000.0,13177000000.0,12309000000.0,13169000000.0,11815000000.0,11627000000.0,6321000000.0,7839000000.0,12557000000.0,9924000000.0,6867000000.0
Capital de giro,677000000.0,-1224000000.0,2260000000.0,2261000000.0,5765000000.0,2388000000.0,4402000000.0,-125000000.0,-3162000000.0,-3698000000.0,-3569000000.0,747000000.0,-3995000000.0,-3638000000.0,1682000000.0,-1663000000.0
Endividamento geral,1.245,1.2308,1.4638999999999998,1.6743000000000001,2.0945,2.1378,2.7552,1.9476,2.2499000000000002,2.1458,2.1015,1.359,1.8199,2.151,1.9240000000000002,1.7131
