Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.68,6.69,6.03,6.01,6.48,7.29,10.69,15.06,20.41,15.47,14.71,12.87,11.17,10.34,16.85,13.88
P/VP,1.80,1.96,1.89,1.89,1.69,1.52,2.14,1.98,2.31,1.74,2.01,1.72,2.06,2.30,3.99,3.67
P/EBIT,3.44,3.49,3.01,3.85,4.62,4.18,5.44,5.33,6.49,4.67,5.37,4.84,5.35,5.33,9.46,8.27
PSR,0.89,0.93,0.78,0.73,0.76,0.66,0.78,0.66,0.96,0.65,0.81,0.82,0.88,1.27,2.16,2.03
P/Ativos,0.49,0.49,0.43,0.43,0.48,0.45,0.52,0.43,0.44,0.33,0.40,0.39,0.45,0.59,1.29,1.24
LPA,4.76,4.80,4.43,4.12,3.16,2.35,1.79,1.02,0.78,0.75,0.82,0.81,1.02,1.36,1.33,1.44
VPA,17.72,16.38,14.11,13.14,12.09,11.28,8.91,7.78,6.92,6.66,6.03,6.10,5.54,6.13,5.64,5.44
EBIT por ação,9.24,9.18,8.88,6.43,4.44,4.09,3.51,2.89,2.46,2.48,2.26,2.16,2.13,2.65,2.38,2.42
Ativo por ação,65.55,65.06,61.75,57.38,42.62,38.25,36.63,35.83,36.60,35.18,30.50,26.94,25.10,23.79,17.41,16.05
Receita líquida por ação,35.78,34.49,34.15,34.03,26.82,25.98,24.42,23.21,16.59,17.88,15.02,12.70,12.92,11.08,10.44,9.86
Margem bruta,0.3361,0.3433,0.30079999999999996,0.2361,0.22399999999999998,0.21969999999999998,0.20579999999999998,0.1869,0.2253,0.21030000000000001,0.23370000000000002,0.2706,0.2622,0.33270000000000005,0.3063,0.32299999999999995
Margem líquida,0.1338,0.1393,0.1326,0.12380000000000001,0.12,0.09179999999999999,0.077,0.04650000000000001,0.046,0.0425,0.0512,0.0649,0.08109999999999999,0.1273,0.1297,0.1487
Margem EBIT,0.2583,0.2662,0.26,0.1889,0.1655,0.1574,0.1437,0.1247,0.1483,0.139,0.1502,0.1702,0.1649,0.239,0.2278,0.245
Margem EBITDA,0.3146,0.32280000000000003,0.3116,0.2336,0.2194,0.21359999999999998,0.2003,0.1818,0.2158,0.2011,0.2173,0.24230000000000002,0.23070000000000002,0.3018,0.2854,0.3043
Margem operacional,0.1877,0.20190000000000002,0.18600000000000003,0.16870000000000002,0.1553,0.1332,0.1045,0.069,0.0722,0.0706,0.0873,0.1038,0.1261,0.19,0.1984,0.2177
ROE,0.2569,0.27690000000000003,0.2975,0.2888,0.26039999999999996,0.2069,0.1728,0.11109999999999999,0.08470000000000001,0.0864,0.0943,0.1079,0.153,0.18989999999999999,0.2311,0.2584
ROA,0.07,0.07,0.07,0.07,0.08,0.06,0.05,0.03,0.02,0.02,0.03,0.03,0.04,0.06,0.08,0.09
Giro do ativo,0.55,0.53,0.55,0.59,0.63,0.68,0.67,0.65,0.45,0.51,0.49,0.47,0.51,0.47,0.60,0.61
EBITDA,12968000000.0,12829000000.0,12262000000.0,9159000000.0,6779000000.0,6393000000.0,5636000000.0,4863000000.0,4125000000.0,4142000000.0,3759000000.0,3545000000.0,3434000000.0,3851000000.0,3431000000.0,3455000000.0
Liquidez corrente,1.11,0.91,1.02,1.20,0.96,1.03,1.12,0.84,1.26,1.31,1.24,1.48,1.12,1.19,0.88,1.07
Liquidez seca,1.10,0.91,1.01,1.19,0.95,1.02,1.12,0.84,1.26,1.31,1.24,1.48,1.11,1.18,0.87,1.06
Liquidez imediata,0.15,0.22,0.25,0.17,0.27,0.19,0.22,0.29,0.68,0.60,0.59,0.86,0.49,0.60,0.35,0.43
Dívida bruta,28573000000.0,26437000000.0,25382000000.0,22415000000.0,18870000000.0,18909000000.0,20376000000.0,20168000000.0,22043000000.0,21733000000.0,19149000000.0,17021000000.0,15473000000.0,13607000000.0,9406000000.0,7899000000.0
Dívida líquida,24753000000.0,20904000000.0,20780000000.0,19630000000.0,13079000000.0,16121000000.0,18485000000.0,16918000000.0,15878000000.0,16026000000.0,14787000000.0,12790000000.0,13031000000.0,10860000000.0,7801000000.0,6373000000.0
Capital de giro,1611000000.0,-1711000000.0,300000000.0,2638000000.0,-595000000.0,274000000.0,987000000.0,-1798000000.0,2360000000.0,2983000000.0,1797000000.0,2358000000.0,575000000.0,863000000.0,-531000000.0,226000000.0
Endividamento geral,2.5194,2.7488,3.0562,2.9343,2.4495,2.3183000000000002,2.3682,2.6905,3.0656,3.0012,2.7398000000000002,2.5281000000000002,2.6654,2.2053,1.9715,1.8287
