Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,7.96,10.99,15.61,3.41,3.74,5.91,4.43,4.18,4.86,2.55,3.09,2.92,4.85,3.99,5.07,6.10
P/VP,0.97,1.04,0.83,0.77,0.73,0.68,0.39,0.28,0.30,0.21,0.28,0.25,0.28,0.39,0.45,0.47
P/EBIT,5.71,6.72,5.89,3.11,3.43,3.56,2.60,2.02,2.19,1.43,2.16,2.55,3.40,3.40,4.85,4.57
PSR,1.11,1.16,0.85,0.71,0.78,0.74,0.42,0.31,0.33,0.20,0.27,0.34,0.40,0.59,0.73,0.77
P/Ativos,0.44,0.44,0.35,0.34,0.31,0.31,0.17,0.13,0.14,0.11,0.15,0.14,0.16,0.25,0.28,0.30
LPA,1.04,0.76,0.37,1.66,1.31,0.67,0.47,0.35,0.30,0.40,0.40,0.36,0.23,0.39,0.33,0.27
VPA,8.55,8.01,6.98,7.32,6.69,5.78,5.38,5.10,4.93,4.78,4.47,4.24,4.06,3.96,3.70,3.45
EBIT por ação,1.45,1.24,0.99,1.83,1.43,1.11,0.80,0.72,0.67,0.71,0.58,0.41,0.34,0.46,0.35,0.35
Ativo por ação,18.96,18.71,16.66,16.61,15.68,12.84,12.05,11.12,10.15,9.70,8.59,7.75,7.11,6.32,5.99,5.47
Receita líquida por ação,7.44,7.20,6.88,8.04,6.25,5.32,5.01,4.70,4.39,5.01,4.67,3.08,2.85,2.61,2.31,2.10
Margem bruta,0.2271,0.228,0.2401,0.2028,0.2837,0.2776,0.2299,0.2395,0.2189,0.21050000000000002,0.1889,0.2334,0.2299,0.2982,0.2789,0.2594
Margem líquida,0.1427,0.10830000000000001,0.055999999999999994,0.21050000000000002,0.20980000000000001,0.13,0.0967,0.0797,0.0667,0.08470000000000001,0.096,0.12,0.0855,0.15130000000000002,0.1464,0.13
Margem EBIT,0.1949,0.172,0.1436,0.2271,0.22829999999999998,0.20809999999999998,0.1603,0.1527,0.1518,0.1423,0.1241,0.1336,0.1176,0.1748,0.1496,0.16920000000000002
Margem EBITDA,0.26,0.2364,0.2036,0.2722,0.2825,0.268,0.21050000000000002,0.20489999999999997,0.2059,0.1875,0.1693,0.1993,,,,
Margem operacional,0.146,0.1159,0.045899999999999996,0.2134,0.2748,0.1794,0.131,0.0993,0.10640000000000001,0.12029999999999999,0.1335,0.1641,0.11449999999999999,0.20370000000000002,0.20010000000000003,0.1703
ROE,0.1244,0.0962,0.054400000000000004,0.22769999999999999,0.1931,0.11720000000000001,0.08839999999999999,0.0721,0.0584,0.0868,0.09759999999999999,0.0852,0.0588,0.0975,0.0894,0.07719999999999999
ROA,0.06,0.04,0.02,0.10,0.08,0.05,0.04,0.03,0.03,0.04,0.05,0.05,0.03,0.06,0.06,0.05
Giro do ativo,0.39,0.38,0.41,0.48,0.40,0.41,0.42,0.42,0.43,0.52,0.54,0.40,0.40,0.41,0.39,0.38
EBITDA,5771000000.0,5076000000.0,4181000000.0,6528000000.0,5263000000.0,4253000000.0,3143000000.0,2872000000.0,2697000000.0,2802000000.0,2356000000.0,1829000000.0,,,,
Liquidez corrente,1.45,1.47,1.30,1.40,1.18,1.48,1.00,0.93,0.75,1.45,1.29,1.40,1.65,1.80,1.64,2.10
Liquidez seca,1.43,1.45,1.28,1.38,1.16,1.46,0.98,0.92,0.73,1.42,1.25,1.36,1.61,1.75,1.59,2.03
Liquidez imediata,0.73,0.61,0.37,0.44,0.33,0.55,0.29,0.17,0.17,0.31,0.18,0.52,0.52,0.51,0.71,0.88
Dívida bruta,16227000000.0,14962000000.0,12454000000.0,11826000000.0,9946000000.0,11572000000.0,11565000000.0,9830000000.0,8837000000.0,7760000000.0,6054000000.0,4531000000.0,3261000000.0,2174000000.0,1985000000.0,1673000000.0
Dívida líquida,8641000000.0,9322000000.0,9775000000.0,8336000000.0,6721000000.0,8627000000.0,9491000000.0,8729000000.0,7717000000.0,5871000000.0,4841000000.0,2398000000.0,1130000000.0,540000000.0,-408000000.0,-216000000.0
Capital de giro,4603000000.0,4406000000.0,2170000000.0,3209000000.0,1753000000.0,2563000000.0,-18000000.0,-409000000.0,-1419000000.0,2144000000.0,1162000000.0,1332000000.0,1848000000.0,1643000000.0,1620000000.0,1888000000.0
Endividamento geral,1.2207,1.3074000000000001,1.3521,1.2339,1.3103,1.1771,1.1994,1.1381000000000001,1.0222,0.9848,0.8723000000000001,0.7876000000000001,0.7156999999999999,0.5611,0.5811,0.55
