Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,-8.03,-59.09,10.38,1.92,8.60,3.36,2.57,688.09,-7.83,-4.73,-41.46,14.38,-14.30,2.86,6.19,5.94
P/VP,0.83,1.07,0.83,1.16,3.29,0.59,1.50,1.01,1.18,0.96,0.77,0.90,0.70,1.33,2.04,2.39
P/EBIT,2.31,3.63,2.11,1.14,5.71,1.70,1.88,2.37,3.76,1.14,1.55,2.35,8.36,1.84,3.12,4.37
PSR,0.25,0.41,0.36,0.49,1.09,0.24,0.57,0.38,0.43,0.38,0.27,0.42,0.39,0.64,1.08,1.42
P/Ativos,0.11,0.21,0.19,0.30,0.52,0.12,0.28,0.16,0.17,0.12,0.09,0.15,0.11,0.23,0.41,0.51
LPA,-1.04,-0.24,1.17,9.24,2.86,1.35,3.83,0.01,-0.70,-0.92,-0.08,0.38,-0.32,2.79,1.90,1.97
VPA,10.12,13.20,14.70,15.32,7.48,7.67,6.56,5.30,4.67,4.50,4.30,6.11,6.50,6.02,5.76,4.91
EBIT por ação,3.62,3.91,5.76,15.49,4.31,2.67,5.24,2.25,1.47,3.81,2.12,2.35,0.54,4.34,3.77,2.69
Ativo por ação,73.05,69.02,64.37,59.86,47.51,38.36,35.69,34.09,33.30,35.70,37.53,38.01,40.18,35.34,28.70,23.17
Receita líquida por ação,32.93,34.26,33.45,36.13,22.67,19.18,17.32,13.97,12.93,11.51,12.16,13.06,11.48,12.46,10.90,8.28
Margem bruta,0.2652,0.2633,0.3,0.4607,0.3639,0.32130000000000003,0.2988,0.266,0.26289999999999997,0.23070000000000002,0.2811,0.2824,0.2607,0.4067,0.4545,0.3604
Margem líquida,-0.0138,0.0089,0.0489,0.2838,0.14279999999999998,0.0882,0.22640000000000002,0.006,-0.049699999999999994,-0.0797,-0.006999999999999999,0.0308,-0.0316,0.222,0.1741,0.2382
Margem EBIT,0.10980000000000001,0.11410000000000001,0.1723,0.42869999999999997,0.19010000000000002,0.1392,0.3024,0.1611,0.1134,0.3309,0.1747,0.1802,0.0472,0.34850000000000003,0.34590000000000004,0.32439999999999997
Margem EBITDA,0.19440000000000002,0.1885,0.2371,0.475,0.27399999999999997,0.19899999999999998,0.3579,0.2395,0.1906,0.408,0.25420000000000004,0.247,0.11939999999999999,0.40590000000000004,0.4022,0.3954
Margem operacional,-0.0070999999999999995,0.022799999999999997,0.09300000000000001,0.3881,0.1636,0.0555,0.2373,0.0281,-0.0336,0.1104,-0.0163,0.0351,-0.0941,0.2271,0.21359999999999998,0.3019
ROE,-0.0395,0.020499999999999997,0.09939999999999999,0.5816,0.3815,0.1975,0.5194,0.0134,-0.1155,-0.17149999999999999,-0.0196,0.0662,-0.053399999999999996,0.4357,0.32170000000000004,0.3969
ROA,-0.01,0.00,0.03,0.17,0.07,0.04,0.11,0.00,-0.02,-0.03,-0.00,0.01,-0.01,0.08,0.07,0.09
Giro do ativo,0.45,0.50,0.52,0.60,0.48,0.50,0.49,0.41,0.39,0.32,0.32,0.34,0.29,0.35,0.38,0.36
EBITDA,8490000000.0,8565000000.0,10519000000.0,22758000000.0,8236000000.0,5061000000.0,8219000000.0,4437000000.0,3267000000.0,6227000000.0,4099000000.0,4275000000.0,1819000000.0,6705000000.0,5812000000.0,4341000000.0
Liquidez corrente,1.34,1.32,1.36,1.43,1.59,1.10,1.05,1.11,2.26,3.23,2.50,2.95,2.92,3.38,3.54,3.21
Liquidez seca,0.93,0.94,0.86,0.98,1.26,0.64,0.61,0.70,1.54,2.26,1.86,2.38,2.40,2.80,2.79,2.56
Liquidez imediata,0.71,0.64,0.53,0.68,0.68,0.09,0.20,0.32,0.89,1.55,1.37,1.80,1.82,2.37,2.30,1.99
Dívida bruta,51631000000.0,44859000000.0,40918000000.0,32507000000.0,35270000000.0,27967000000.0,28827000000.0,29510000000.0,30441000000.0,34282000000.0,30354000000.0,27746000000.0,29304000000.0,27888000000.0,20089000000.0,14267000000.0
Dívida líquida,32150000000.0,27279000000.0,27470000000.0,13216000000.0,21542000000.0,24244000000.0,25683000000.0,25363000000.0,24809000000.0,25657000000.0,21668000000.0,17750000000.0,17412000000.0,12471000000.0,9850000000.0,6296000000.0
Capital de giro,8786000000.0,8060000000.0,8137000000.0,10430000000.0,8660000000.0,1105000000.0,575000000.0,1211000000.0,6948000000.0,11348000000.0,9572000000.0,10837000000.0,12547000000.0,15447000000.0,11337000000.0,8837000000.0
Endividamento geral,5.3589,3.6498000000000004,2.9125,2.396,4.5994,3.4772000000000003,3.7264,4.4547,4.9792000000000005,5.675700000000001,7.6777999999999995,5.2463999999999995,4.9154,4.5683,3.8648000000000002,3.6628
