Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.98,9.02,10.82,18.83,9.54,10.35,10.96,8.30,9.01,-,-,-,-,-,-,-
P/VP,2.69,3.49,3.42,3.71,3.45,3.42,4.01,2.44,2.11,-,-,-,-,-,-,-
P/EBIT,3.84,4.86,4.97,6.01,4.79,5.57,6.92,5.84,5.76,-,-,-,-,-,-,-
PSR,2.72,2.88,2.42,2.35,2.18,2.44,2.88,2.37,2.16,-,-,-,-,-,-,-
P/Ativos,0.60,0.73,0.75,0.77,0.76,0.79,1.07,0.85,0.97,-,-,-,-,-,-,-
LPA,5.10,4.20,3.26,1.92,3.43,2.83,2.84,2.46,1.90,-,-,-,-,-,-,-
VPA,13.23,10.86,10.34,9.72,9.49,8.57,7.74,8.37,8.10,-,-,-,-,-,-,-
EBIT por ação,9.27,7.80,7.11,6.00,6.83,5.26,4.49,3.49,2.97,-,-,-,-,-,-,-
Ativo por ação,59.15,51.75,46.80,46.71,43.12,36.93,29.09,23.98,17.67,-,-,-,-,-,-,-
Receita líquida por ação,13.06,13.17,14.59,15.37,15.02,12.02,10.78,8.59,7.90,-,-,-,-,-,-,-
Margem bruta,0.5523,0.5496,0.4694,0.4714,0.4457,0.42340000000000005,0.4456,0.4288,0.4255,0.41600000000000004,0.3859,0.4771,0.5661999999999999,0.57,0.5395,0.5518
Margem líquida,0.39039999999999997,0.319,0.2238,0.12480000000000001,0.22820000000000001,0.2357,0.2633,0.28600000000000003,0.2403,0.2305,0.2137,0.258,0.3035,0.3347,0.2955,0.312
Margem EBIT,0.7099,0.5918,0.48719999999999997,0.3906,0.4543,0.43810000000000004,0.41700000000000004,0.40659999999999996,0.3759,0.3845,0.3558,0.42869999999999997,0.5169,0.5566,0.5244,0.5082
Margem EBITDA,0.8053,0.6778,0.5703,0.47369999999999995,0.529,0.5261,0.49200000000000005,0.49920000000000003,0.47369999999999995,0.4767,0.4473,0.5333,0.6311,0.6725,0.6369,0.6297
Margem operacional,0.5267000000000001,0.40909999999999996,0.2759,0.1451,0.30079999999999996,0.315,0.3375,0.37420000000000003,0.3208,0.3122,0.3023,0.35950000000000004,0.42469999999999997,0.4703,0.41979999999999995,0.4396
ROE,0.3525,0.3493,0.3157,0.1973,0.3613,0.33020000000000005,0.3663,0.2933,0.2341,0.226,0.2446,0.26780000000000004,0.271,0.2657,0.2389,0.2452
ROA,0.09,0.08,0.07,0.04,0.08,0.08,0.10,0.10,0.11,0.10,0.10,0.11,0.12,0.12,0.09,0.10
Giro do ativo,0.22,0.25,0.31,0.33,0.35,0.33,0.37,0.36,0.45,0.43,0.48,0.44,0.40,0.36,0.32,0.32
EBITDA,8583000000.0,7284000000.0,6790000000.0,5940000000.0,6484000000.0,5158000000.0,4327000000.0,3499000000.0,3051000000.0,3104000000.0,2895000000.0,2969000000.0,3100000000.0,2909000000.0,2611000000.0,2201000000.0
Liquidez corrente,1.02,1.46,1.25,1.47,1.44,1.13,1.09,0.66,1.86,1.49,1.68,1.07,1.17,1.04,0.84,1.33
Liquidez seca,1.02,1.46,1.25,1.47,1.40,1.09,1.06,0.64,1.80,1.46,1.65,1.04,1.14,1.01,0.82,1.30
Liquidez imediata,0.57,0.86,0.38,0.89,0.84,0.65,0.58,0.34,1.01,0.81,0.83,0.56,0.68,0.53,0.48,0.89
Dívida bruta,22945000000.0,20106000000.0,17357000000.0,20134000000.0,16764000000.0,14763000000.0,9720000000.0,6756000000.0,3088000000.0,4247000000.0,4052000000.0,3496000000.0,3534000000.0,3649000000.0,4443000000.0,3414000000.0
Dívida líquida,18896000000.0,14850000000.0,15121000000.0,14978000000.0,12225000000.0,10892000000.0,7304000000.0,4826000000.0,1273000000.0,1850000000.0,2447000000.0,2272000000.0,2354000000.0,2867000000.0,3361000000.0,2126000000.0
Capital de giro,153000000.0,2799000000.0,1488000000.0,2742000000.0,2352000000.0,766000000.0,386000000.0,-1941000000.0,1554000000.0,1454000000.0,1330000000.0,154000000.0,294000000.0,53000000.0,-354000000.0,466000000.0
Endividamento geral,3.0886,3.3015,3.5244,3.8049,3.5449,3.3057999999999996,2.7552999999999996,1.8631,1.18,1.3019,1.4066999999999998,1.3557,1.2374,1.207,1.5332,1.4577
