Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,7.64,20.92,20.76,14.96,11.70,4.22,5.35,-23.02,9.65,-0.89,-3.68,-1.97,-1.76,7.39,17.04,37.87
P/VP,0.65,0.85,0.68,1.11,1.01,0.67,1.28,0.96,0.75,0.30,0.20,0.20,0.18,0.36,0.54,0.50
P/EBIT,4.28,6.93,9.77,6.76,8.60,4.89,4.10,6.53,2.07,-1.02,-5.70,-2.34,-1.33,6.41,8.68,8.52
PSR,2.07,2.56,2.21,2.44,2.55,1.59,2.75,1.38,0.55,0.39,0.37,0.51,0.36,0.81,1.28,1.34
P/Ativos,0.28,0.36,0.28,0.45,0.41,0.26,0.39,0.23,0.19,0.09,0.08,0.09,0.08,0.17,0.26,0.25
LPA,4.47,1.97,1.58,2.45,2.75,4.85,5.75,-0.76,1.48,-6.26,-1.31,-2.68,-2.98,1.62,0.97,0.40
VPA,52.56,48.69,47.90,32.99,31.85,30.65,24.07,18.35,19.16,18.24,24.51,26.61,29.08,33.31,30.47,30.01
EBIT por ação,7.98,5.95,3.35,5.42,3.74,4.19,7.50,2.70,6.92,-5.44,-0.85,-2.25,-3.94,1.87,1.91,1.76
Ativo por ação,121.28,115.75,117.12,81.62,77.57,77.42,78.54,74.98,73.90,64.86,62.69,60.07,61.74,71.12,63.67,59.69
Receita líquida por ação,16.50,16.11,14.77,15.01,12.60,12.88,11.17,12.76,26.14,14.13,13.06,10.33,14.58,14.71,12.92,11.20
Margem bruta,0.4621,0.4975,0.5346,0.7204999999999999,0.5383,0.7493000000000001,0.7852,0.6787000000000001,0.7312000000000001,0.47859999999999997,0.4582,0.4919,0.8326,0.861,0.8564,0.8491
Margem líquida,0.2669,0.1183,0.10679999999999999,0.165,0.21960000000000002,0.3747,0.5179,-0.058600000000000006,0.0582,-0.45890000000000003,-0.0983,-0.25980000000000003,-0.20579999999999998,0.1109,0.08560000000000001,0.0484
Margem EBIT,0.48350000000000004,0.36950000000000005,0.2266,0.361,0.2966,0.32530000000000003,0.6715000000000001,0.2112,0.2645,-0.3849,-0.0649,-0.2182,-0.2705,0.12689999999999999,0.14800000000000002,0.1568
Margem EBITDA,0.5847,0.467,0.3055,0.40270000000000006,0.36060000000000003,0.3861,0.7375,0.263,0.29510000000000003,-0.3284,-0.0059,-0.1548,-0.22030000000000002,0.1777,0.2014,0.21969999999999998
Margem operacional,0.1887,0.04650000000000001,0.09820000000000001,0.3194,0.2391,0.2429,0.6181,0.1523,0.19940000000000002,-0.4371,-0.04190000000000001,-0.2024,-0.22039999999999998,0.1338,0.13570000000000002,0.016
ROE,0.0837,0.0391,0.032799999999999996,0.0748,0.0866,0.1565,0.23829999999999998,-0.0404,0.0797,-0.3583,-0.0521,-0.10060000000000001,-0.10289999999999999,0.0487,0.0362,0.018000000000000002
ROA,0.04,0.02,0.01,0.03,0.04,0.06,0.07,-0.01,0.02,-0.10,-0.02,-0.04,-0.05,0.02,0.02,0.01
Giro do ativo,0.14,0.14,0.13,0.18,0.16,0.17,0.14,0.17,0.35,0.22,0.21,0.17,0.24,0.21,0.20,0.19
EBITDA,22263000000.0,17351000000.0,10411000000.0,13944000000.0,10487000000.0,11474000000.0,19007000000.0,7742000000.0,17798000000.0,-10702000000.0,-180000000.0,-3691000000.0,-7412000000.0,6028000000.0,6003000000.0,5675000000.0
Liquidez corrente,2.06,1.77,1.88,1.66,1.64,1.57,1.28,1.09,0.94,1.05,1.58,1.53,1.65,1.40,1.77,2.17
Liquidez seca,2.04,1.75,1.86,1.62,1.60,1.54,1.26,1.07,0.91,1.01,1.54,1.49,1.62,1.37,1.74,2.12
Liquidez imediata,0.84,0.50,0.52,0.12,0.14,0.14,0.06,0.06,0.07,0.07,0.16,0.17,0.24,0.31,0.61,0.75
Dívida bruta,70054000000.0,60997000000.0,59859000000.0,44919000000.0,48055000000.0,49106000000.0,55817000000.0,46670000000.0,46991000000.0,48212000000.0,41625000000.0,34088000000.0,28722000000.0,45350000000.0,35664000000.0,31256000000.0
Dívida líquida,40918000000.0,41457000000.0,33828000000.0,26541000000.0,30525000000.0,35117000000.0,47265000000.0,37623000000.0,39132000000.0,39328000000.0,34744000000.0,23515000000.0,16358000000.0,26103000000.0,17611000000.0,13634000000.0
Capital de giro,28317000000.0,20862000000.0,23182000000.0,15861000000.0,17432000000.0,15146000000.0,10321000000.0,3171000000.0,-1866000000.0,1337000000.0,11267000000.0,13459000000.0,16535000000.0,10537000000.0,14200000000.0,15531000000.0
Endividamento geral,1.305,1.3746,1.4338,1.4642,1.4265999999999999,1.5102000000000002,2.2354,3.0460000000000003,2.8693,2.5852,1.5441999999999998,1.2507,1.117,1.1253,1.0828,0.9849
