Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,0.2863,0.29460000000000003,0.30269999999999997,0.2181,0.24100000000000002,0.1938,0.188,0.1883,0.23120000000000002,0.2175,0.204,0.2605,0.2278,0.3075,0.33899999999999997,0.3635
Margem líquida,0.1216,0.07780000000000001,0.0701,0.12539999999999998,0.1144,0.0973,0.1023,0.0558,0.08869999999999999,0.1371,0.0942,0.0781,0.08289999999999999,0.12119999999999999,0.1463,0.1857
Margem EBIT,0.2552,0.2027,0.1977,0.2022,0.18780000000000002,0.155,0.1564,0.129,0.1753,0.2328,0.1689,0.1568,0.15130000000000002,0.20829999999999999,0.235,0.25730000000000003
Margem EBITDA,0.2961,0.2753,0.3173,0.2414,0.231,0.1959,0.2005,0.1759,0.233,0.2774,0.2073,0.2138,0.2039,0.26890000000000003,0.3009,0.3296
Margem operacional,0.1697,0.10769999999999999,0.1128,0.1598,0.1576,0.1266,0.12990000000000002,0.08460000000000001,0.1056,0.1718,0.1334,0.11460000000000001,0.1207,0.1586,0.19579999999999997,0.2395
ROE,0.158,0.1148,0.10189999999999999,0.19260000000000002,0.1523,0.1435,0.1462,0.0762,0.0925,0.18780000000000002,0.1277,0.0886,0.08449999999999999,0.1056,0.11410000000000001,0.138
ROA,0.05,0.04,0.03,0.07,0.06,0.05,0.06,0.03,0.04,0.08,0.06,0.04,0.04,0.05,0.06,0.07
Giro do ativo,0.45,0.48,0.47,0.57,0.49,0.55,0.61,0.60,0.49,0.56,0.68,0.50,0.51,0.42,0.39,0.39
EBITDA,5124000000.0,4899000000.0,5485000000.0,4557000000.0,3461000000.0,2982000000.0,2773000000.0,2170000000.0,2182000000.0,2846000000.0,1844000000.0,1517000000.0,1316000000.0,1534000000.0,1514000000.0,1523000000.0
Liquidez corrente,1.06,0.97,1.13,1.41,0.93,1.28,1.54,1.21,1.17,1.24,0.88,1.02,0.87,0.99,1.14,1.17
Liquidez seca,1.04,0.94,1.10,1.35,0.90,1.25,1.48,1.17,1.14,1.22,0.87,1.02,0.85,0.97,1.13,1.16
Liquidez imediata,0.30,0.27,0.46,0.39,0.34,0.46,0.48,0.35,0.51,0.29,0.23,0.20,0.23,0.33,0.45,0.47
Dívida bruta,13477000000.0,13030000000.0,14040000000.0,10597000000.0,9034000000.0,8464000000.0,7458000000.0,6057000000.0,5571000000.0,6186000000.0,3358000000.0,3259000000.0,3088000000.0,3613000000.0,3385000000.0,3193000000.0
Dívida líquida,10248000000.0,9591000000.0,9841000000.0,7886000000.0,6145000000.0,5690000000.0,5080000000.0,4342000000.0,3553000000.0,5036000000.0,2531000000.0,2335000000.0,2517000000.0,2717000000.0,2259000000.0,2091000000.0
Capital de giro,688000000.0,-330000000.0,1151000000.0,2881000000.0,-591000000.0,1591000000.0,2449000000.0,927000000.0,687000000.0,939000000.0,-433000000.0,108000000.0,-334000000.0,-23000000.0,349000000.0,388000000.0
Endividamento geral,1.8936000000000002,2.1022,2.1105,1.715,1.6911,1.6606999999999998,1.3538,1.2802,1.1417,1.4587999999999999,1.0058,1.2615,1.0102,1.0795000000000001,0.9847,0.9153
