Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,15.56,19.30,23.84,8.73,9.59,8.27,19.57,15.85,18.03,10.89,10.28,61.70,30.61,17.57,11.58,8.81
P/VP,1.35,1.90,1.97,2.53,2.73,2.46,3.21,3.30,3.19,2.53,2.31,1.80,1.93,2.23,1.72,1.34
P/EBIT,4.20,5.24,6.21,6.46,5.97,4.64,8.64,11.21,10.89,10.85,6.88,14.68,10.35,7.86,5.35,4.38
PSR,0.79,0.98,1.21,1.33,1.60,1.06,1.60,1.74,1.61,1.21,0.96,0.90,1.45,1.42,1.22,1.21
P/Ativos,0.31,0.39,0.36,0.52,0.65,0.53,0.70,0.90,0.90,0.70,0.58,0.47,0.45,0.83,0.67,0.59
LPA,1.78,1.66,1.10,2.96,2.38,1.93,0.73,0.80,0.57,0.65,0.51,0.05,0.11,0.13,0.15,0.18
VPA,20.55,16.88,13.30,10.21,8.37,6.49,4.48,3.83,3.22,2.79,2.27,1.88,1.73,1.01,1.02,1.17
EBIT por ação,6.59,6.12,4.22,3.99,3.83,3.45,1.66,1.13,0.94,0.65,0.76,0.23,0.32,0.29,0.33,0.36
Ativo por ação,89.96,82.96,72.54,49.40,35.32,30.04,20.42,14.00,11.38,10.07,9.02,7.29,7.43,2.72,2.62,2.67
Receita líquida por ação,35.22,32.81,21.72,19.40,14.32,15.05,9.01,7.26,6.37,5.81,5.45,3.77,2.31,1.59,1.44,1.30
Margem bruta,0.29600000000000004,0.2963,0.3157,0.2845,0.3346,0.3048,0.2591,0.2894,0.2702,0.2487,0.2546,0.221,0.2872,0.3554,0.38520000000000004,0.35810000000000003
Margem líquida,0.07400000000000001,0.0702,0.0708,0.1775,0.19269999999999998,0.1445,0.1032,0.1328,0.10980000000000001,0.1323,0.11470000000000001,0.0167,0.0719,0.1243,0.159,0.1848
Margem EBIT,0.18719999999999998,0.1866,0.1945,0.2057,0.2673,0.22920000000000001,0.18469999999999998,0.1555,0.1483,0.1119,0.1402,0.061200000000000004,0.13970000000000002,0.1805,0.22699999999999998,0.2767
Margem EBITDA,,,,,,,,,,0.1561,0.18359999999999999,0.1148,0.1783,0.2352,0.2852,0.337
Margem operacional,0.0864,0.07400000000000001,0.0992,0.172,0.24359999999999998,0.19579999999999997,0.1151,0.1368,0.132,0.15460000000000002,0.10460000000000001,0.0147,0.1081,0.1535,0.19140000000000001,0.2316
ROE,0.1093,0.11380000000000001,0.1035,0.29460000000000003,0.2808,0.2779,0.1772,0.2096,0.17920000000000003,0.22699999999999998,0.22649999999999998,0.0276,0.0825,0.1956,0.22510000000000002,0.204
ROA,0.03,0.03,0.02,0.07,0.08,0.07,0.05,0.07,0.06,0.08,0.07,0.01,0.02,0.07,0.09,0.09
Giro do ativo,0.39,0.40,0.30,0.39,0.41,0.50,0.44,0.52,0.56,0.58,0.60,0.52,0.31,0.58,0.55,0.49
EBITDA,,,,,3011000000.0,2579000000.0,958000000.0,946000000.0,647000000.0,1132000000.0,1248000000.0,541000000.0,514000000.0,465000000.0,513000000.0,545000000.0
Liquidez corrente,1.47,1.54,0.98,1.67,1.68,1.86,1.46,1.84,1.74,1.65,1.39,1.82,1.28,1.34,1.65,1.43
Liquidez seca,1.47,1.53,0.97,1.65,1.68,1.85,1.46,1.84,1.73,1.64,1.38,1.81,1.27,1.33,1.64,1.42
Liquidez imediata,0.12,0.25,0.14,0.23,0.25,0.29,0.74,1.02,0.27,0.13,0.09,0.21,0.05,0.31,0.83,0.73
Dívida bruta,51735000000.0,46452000000.0,41183000000.0,25402000000.0,17787000000.0,16808000000.0,11536000000.0,6970000000.0,4834000000.0,3935000000.0,4374000000.0,3225000000.0,3075000000.0,1469000000.0,1341000000.0,1274000000.0
Dívida líquida,41454000000.0,34214000000.0,33302000000.0,15031000000.0,10171000000.0,10979000000.0,6792000000.0,2796000000.0,1776000000.0,1453000000.0,2411000000.0,1612000000.0,1350000000.0,1020000000.0,791000000.0,833000000.0
Capital de giro,8639000000.0,9803000000.0,-411000000.0,8700000000.0,5935000000.0,5264000000.0,2987000000.0,3419000000.0,2511000000.0,2026000000.0,1234000000.0,1392000000.0,723000000.0,266000000.0,431000000.0,260000000.0
Endividamento geral,2.7733999999999996,3.0992,3.8806,3.2257,2.5936000000000003,2.84,2.8923,2.0425,1.9188,1.9759,2.2705,2.1969,2.6892,1.7006000000000001,1.5781,1.2736
