Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,7.72,4.94,3.49,2.63,15.07,9.69,7.52,-48.42,-4.20,-1.59,7.87,9.77,11.45,9.02,9.55,20.40
P/VP,0.67,0.76,0.86,0.96,1.16,0.43,0.67,0.74,0.51,0.23,0.34,0.51,0.60,0.72,1.05,1.24
P/EBIT,5.05,3.55,2.24,1.94,6.86,3.66,4.28,15.82,-7.42,-2.25,3.81,5.62,6.95,6.28,5.61,27.03
PSR,0.57,0.54,0.48,0.52,0.81,0.29,0.38,0.47,0.32,0.17,0.26,0.39,0.43,0.51,0.65,0.86
P/Ativos,0.46,0.50,0.54,0.55,0.56,0.22,0.34,0.35,0.22,0.10,0.18,0.27,0.31,0.36,0.48,0.51
LPA,2.32,3.61,5.50,7.45,1.14,0.58,1.11,-0.17,-1.39,-2.19,0.67,0.76,0.69,0.96,1.03,0.54
VPA,26.60,23.60,22.18,20.49,14.85,12.97,12.38,11.37,11.56,15.24,15.49,14.59,13.11,12.02,9.37,8.90
EBIT por ação,3.55,5.03,8.54,10.11,2.50,1.53,1.95,0.53,-0.79,-1.55,1.39,1.32,1.13,1.38,1.75,0.41
Ativo por ação,39.37,36.02,35.50,35.51,30.36,25.98,24.67,24.20,26.28,33.72,30.33,28.00,25.54,24.04,20.63,21.45
Receita líquida por ação,31.23,33.15,39.64,37.69,21.08,19.07,22.20,17.76,18.11,20.96,20.47,19.18,18.27,17.03,15.10,12.77
Margem bruta,0.1358,0.16440000000000002,0.2275,0.2657,0.1354,0.106,0.1332,0.09759999999999999,0.092,0.09849999999999999,0.1208,0.1288,0.125,0.14429999999999998,0.17579999999999998,0.15960000000000002
Margem líquida,0.07490000000000001,0.1094,0.1393,0.1986,0.0545,0.030699999999999998,0.0504,-0.0092,-0.0766,-0.10550000000000001,0.035,0.0425,0.0394,0.0592,0.0783,0.0378
Margem EBIT,0.11380000000000001,0.1517,0.21539999999999998,0.2683,0.1186,0.0803,0.0877,0.0298,-0.0435,-0.0738,0.0681,0.0691,0.061799999999999994,0.08130000000000001,0.1161,0.0319
Margem EBITDA,0.1613,0.1959,0.2502,0.3023,0.17559999999999998,0.1326,0.12869999999999998,0.08650000000000001,0.0239,-0.0139,0.12050000000000001,0.12,0.1099,0.13140000000000002,0.1764,0.0977
Margem operacional,0.08990000000000001,0.1356,0.1924,0.2588,0.07980000000000001,0.042199999999999994,0.0467,-0.0012,-0.06860000000000001,-0.1398,0.031400000000000004,0.0364,0.041100000000000005,0.0664,0.0943,0.038900000000000004
ROE,0.0876,0.1531,0.24789999999999998,0.36340000000000006,0.0768,0.044800000000000006,0.0897,-0.014199999999999999,-0.1189,-0.1438,0.044800000000000006,0.0529,0.052000000000000005,0.0791,0.122,0.045700000000000005
ROA,0.06,0.10,0.16,0.21,0.04,0.02,0.05,-0.01,-0.05,-0.07,0.02,0.03,0.03,0.04,0.06,0.02
Giro do ativo,0.79,0.92,1.12,1.06,0.69,0.73,0.90,0.73,0.69,0.62,0.67,0.68,0.72,0.71,0.73,0.60
EBITDA,10469000000.0,13499000000.0,20618000000.0,23681000000.0,7693000000.0,5258000000.0,5939000000.0,3192000000.0,899000000.0,-608000000.0,5126000000.0,4783000000.0,4175000000.0,4650000000.0,5537000000.0,2592000000.0
Liquidez corrente,2.98,2.59,2.32,2.33,2.04,2.46,2.06,2.33,2.06,2.82,2.66,2.51,2.10,2.56,2.58,2.94
Liquidez seca,1.53,1.24,1.00,1.12,1.24,1.42,0.98,1.46,1.33,1.70,1.52,1.34,0.94,1.37,1.22,1.75
Liquidez imediata,0.73,0.27,0.18,0.30,0.40,0.36,0.34,0.33,0.59,0.72,0.39,0.29,0.18,0.22,0.21,0.43
Dívida bruta,12532000000.0,10893000000.0,12607000000.0,14039000000.0,17515000000.0,16049000000.0,14906000000.0,16509000000.0,20583000000.0,26460000000.0,19521000000.0,16706000000.0,14668000000.0,13683000000.0,14669000000.0,14520000000.0
Dívida líquida,3701000000.0,5549000000.0,7172000000.0,7252000000.0,9857000000.0,9755000000.0,11557000000.0,13132000000.0,14495000000.0,19542000000.0,13672000000.0,12484000000.0,12171000000.0,9105000000.0,12493000000.0,9751000000.0
Capital de giro,21791000000.0,17913000000.0,17794000000.0,18603000000.0,11927000000.0,10811000000.0,8998000000.0,10267000000.0,9175000000.0,14314000000.0,12909000000.0,10940000000.0,8587000000.0,10542000000.0,7924000000.0,9346000000.0
Endividamento geral,0.4744,0.5209,0.594,0.7240000000000001,1.0306,0.9873999999999999,0.977,1.1052,1.2507,1.1925,0.8957999999999999,0.818,0.8436,0.8847,1.1289,1.0261
