Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.16,3.93,2.71,1.88,9.76,6.82,5.45,-21.16,-2.16,-0.63,31.76,20.08,24.61,16.82,15.04,39.51
P/VP,0.54,0.60,0.62,0.65,0.73,0.29,0.47,0.51,0.35,0.12,0.55,0.91,1.13,1.41,1.72,1.76
P/EBIT,1.37,0.97,0.57,0.45,1.64,0.91,1.08,3.94,-1.81,-0.44,2.24,3.73,4.84,4.46,3.74,18.38
PSR,0.16,0.15,0.12,0.12,0.19,0.07,0.09,0.12,0.08,0.03,0.15,0.25,0.30,0.36,0.43,0.56
P/Ativos,0.12,0.13,0.14,0.13,0.13,0.05,0.08,0.09,0.05,0.02,0.10,0.17,0.21,0.25,0.31,0.32
LPA,1.62,2.52,3.69,4.99,0.86,0.42,0.79,-0.20,-1.36,-2.30,0.20,0.50,0.45,0.75,0.88,0.37
VPA,18.63,16.52,16.22,14.53,11.53,9.87,9.21,8.37,8.46,11.86,11.43,10.96,9.82,8.91,7.72,8.28
EBIT por ação,7.27,10.26,17.44,20.69,5.11,3.13,3.97,1.08,-1.62,-3.29,2.83,2.68,2.29,2.83,3.55,0.79
Ativo por ação,80.94,74.17,73.71,73.56,63.85,53.28,50.62,49.64,53.98,69.23,62.36,57.68,52.62,49.46,42.51,45.05
Receita líquida por ação,64.00,67.94,81.25,77.24,43.19,39.08,45.51,36.40,37.12,42.96,41.94,39.30,37.44,34.91,30.95,26.16
Margem bruta,0.1358,0.16440000000000002,0.2275,0.2657,0.1354,0.106,0.1332,0.09759999999999999,0.092,0.09849999999999999,0.1208,0.1288,0.125,0.14429999999999998,0.17579999999999998,0.15960000000000002
Margem líquida,0.0753,0.1101,0.1391,0.1985,0.054400000000000004,0.0302,0.048499999999999995,-0.011000000000000001,-0.08410000000000001,-0.11539999999999999,0.026000000000000002,0.0381,0.0351,0.0559,0.0729,0.03
Margem EBIT,0.11349999999999999,0.15109999999999998,0.2146,0.26780000000000004,0.1184,0.0801,0.08710000000000001,0.0296,-0.0437,-0.0766,0.0675,0.0682,0.0611,0.081,0.1148,0.030299999999999997
Margem EBITDA,0.161,0.1953,0.2494,0.3018,0.1754,0.1324,0.1281,0.0863,0.023700000000000002,-0.0167,0.1198,0.1191,0.1092,0.1311,0.1751,0.096
Margem operacional,0.0904,0.1367,0.19260000000000002,0.259,0.0797,0.0417,0.0453,-0.003,-0.0758,-0.1492,0.026099999999999998,0.0313,0.0356,0.0616,0.08810000000000001,0.0301
ROE,0.0877,0.153,0.24239999999999998,0.3566,0.0731,0.044000000000000004,0.0883,-0.0173,-0.1355,-0.165,0.0354,0.0504,0.049699999999999994,0.0806,0.1252,0.0373
ROA,0.06,0.10,0.15,0.21,0.04,0.02,0.04,-0.01,-0.06,-0.07,0.02,0.03,0.03,0.04,0.05,0.02
Giro do ativo,0.79,0.92,1.10,1.05,0.68,0.73,0.90,0.73,0.69,0.62,0.67,0.68,0.71,0.71,0.73,0.58
EBITDA,10454000000.0,13457000000.0,20555000000.0,23643000000.0,7685000000.0,5249000000.0,5914000000.0,3184000000.0,891000000.0,-729000000.0,5097000000.0,4747000000.0,4148000000.0,4640000000.0,5498000000.0,2549000000.0
Liquidez corrente,3.00,2.61,2.39,2.38,2.16,2.46,1.92,2.33,1.98,2.68,2.43,2.49,1.80,2.56,2.59,2.98
Liquidez seca,1.56,1.27,1.07,1.18,1.37,1.43,0.92,1.47,1.28,1.62,1.39,1.33,0.81,1.37,1.23,1.77
Liquidez imediata,0.75,0.27,0.18,0.30,0.40,0.36,0.32,0.33,0.57,0.68,0.36,0.29,0.16,0.22,0.21,0.44
Dívida bruta,12532000000.0,10893000000.0,12607000000.0,14039000000.0,17515000000.0,16049000000.0,15555000000.0,17217000000.0,21396000000.0,27870000000.0,21493000000.0,18008000000.0,15962000000.0,14984000000.0,15963000000.0,15642000000.0
Dívida líquida,3488000000.0,5252000000.0,6261000000.0,6484000000.0,8402000000.0,9755000000.0,12204000000.0,13840000000.0,15232000000.0,20917000000.0,15553000000.0,13786000000.0,13464000000.0,10405000000.0,13781000000.0,10859000000.0
Capital de giro,22038000000.0,18235000000.0,18725000000.0,19387000000.0,13448000000.0,10849000000.0,8406000000.0,10301000000.0,8868000000.0,13974000000.0,12227000000.0,10902000000.0,7298000000.0,10561000000.0,7960000000.0,9440000000.0
Endividamento geral,0.47200000000000003,0.5176,0.5811,0.7104,0.9852,0.9851000000000001,1.0236,1.1571,1.3447,1.3044,1.0247,0.9392,0.9901000000000001,1.0436,1.3574000000000002,1.1423
