Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.86,7.87,5.34,6.79,10.24,5.82,8.14,9.08,6.00,4.55,5.88,7.27,10.20,10.13,12.20,12.65
P/VP,1.11,1.28,1.00,1.26,1.26,1.09,1.39,1.42,1.03,0.90,1.19,1.25,1.54,1.67,2.06,2.38
P/EBIT,6.28,7.51,4.69,6.33,9.35,5.45,7.51,8.89,5.98,4.45,5.59,6.54,8.86,-3.91,-3.83,-3.95
PSR,11.86,14.35,8.60,10.14,12.28,11.97,14.28,14.88,10.50,8.26,9.27,7.83,9.48,9.62,10.29,12.84
P/Ativos,0.86,1.01,0.76,0.96,0.99,0.89,1.16,1.15,0.83,0.74,0.96,0.99,1.19,0.16,0.20,0.26
LPA,1.29,1.24,1.26,1.12,0.65,0.95,0.87,0.75,0.76,0.82,0.73,0.53,0.42,0.45,0.41,0.40
VPA,7.97,7.65,6.71,6.08,5.29,5.09,5.08,4.79,4.40,4.14,3.62,3.06,2.77,2.71,2.41,2.14
EBIT por ação,1.41,1.30,1.44,1.21,0.71,1.01,0.94,0.77,0.76,0.84,0.77,0.58,0.48,-1.16,-1.30,-1.29
Ativo por ação,10.32,9.71,8.91,7.93,6.69,6.22,6.09,5.93,5.44,5.06,4.48,3.87,3.60,28.77,25.40,19.69
Receita líquida por ação,0.75,0.68,0.78,0.75,0.54,0.46,0.50,0.46,0.43,0.45,0.46,0.49,0.45,0.47,0.48,0.40
Margem bruta,0.3014,0.322,0.33880000000000005,0.3518,0.315,0.2576,0.2547,0.2606,0.2232,0.23620000000000002,0.2498,0.295,0.2695,0.3563,0.3084,0.2254
Margem líquida,1.7563,1.8933000000000002,1.6679,1.6268,1.249,2.1104,1.8065,1.6628999999999998,1.7529,1.8411000000000002,1.6254,1.1365,0.9904000000000001,1.0536,0.9567,1.1047
Margem EBIT,1.8874000000000002,1.9111000000000002,1.8347,1.6031,1.3136,2.1953,1.9025,1.675,1.7555,1.8563,1.6576,1.1974,1.0704,-2.4621,-2.6877999999999997,-3.2502999999999997
Margem EBITDA,2.0487,2.0704,1.9354,1.6913999999999998,1.4202000000000001,2.3403,2.056,1.7941,1.8931,1.9868999999999999,1.7872999999999999,1.3156,1.1841,-2.1765,-2.4616,-2.9753
Margem operacional,1.7268000000000001,1.8658000000000001,1.7153,1.6206,1.2815,2.1426,1.8268,1.6319,1.7147,1.8375,1.6457,1.1819,1.0117,1.3016999999999999,1.3478999999999999,1.7932
ROE,0.1572,0.1606,0.18489999999999998,0.1912,0.1211,0.18109999999999998,0.1672,0.1505,0.16210000000000002,0.18789999999999998,0.1932,0.1671,0.14800000000000002,0.16620000000000001,0.1726,0.1838
ROA,0.13,0.13,0.15,0.15,0.10,0.16,0.15,0.13,0.14,0.16,0.17,0.14,0.12,0.02,0.02,0.02
Giro do ativo,0.07,0.07,0.09,0.10,0.08,0.07,0.08,0.08,0.08,0.09,0.10,0.13,0.12,0.02,0.02,0.02
EBITDA,16633000000.0,15286000000.0,16424000000.0,13819000000.0,8351000000.0,11720000000.0,11051000000.0,8915000000.0,8873000000.0,9706000000.0,8974000000.0,6958000000.0,5782000000.0,-11087000000.0,-12899000000.0,-12791000000.0
Liquidez corrente,2.61,2.64,1.59,1.68,2.15,2.48,2.71,1.76,1.71,1.92,1.71,1.81,1.48,1.33,1.25,1.25
Liquidez seca,2.35,2.34,1.37,1.43,1.90,2.15,2.37,1.50,1.47,1.62,1.46,1.55,1.26,1.32,1.25,1.24
Liquidez imediata,1.33,1.25,0.61,0.67,0.77,0.92,1.03,0.37,0.66,0.68,0.58,0.53,0.39,0.03,0.03,0.04
Dívida bruta,13181000000.0,10772000000.0,12047000000.0,8884000000.0,5701000000.0,4155000000.0,4071000000.0,4756000000.0,3712000000.0,3098000000.0,3025000000.0,2764000000.0,3221000000.0,,,
Dívida líquida,4205000000.0,3079000000.0,5570000000.0,3492000000.0,1341000000.0,573000000.0,620000000.0,2099000000.0,968000000.0,642000000.0,838000000.0,1139000000.0,1410000000.0,,,
Capital de giro,8347000000.0,7855000000.0,4333000000.0,3945000000.0,4295000000.0,3805000000.0,4005000000.0,2489000000.0,2633000000.0,2932000000.0,2322000000.0,2345000000.0,1728000000.0,47223000000.0,35885000000.0,27193000000.0
Endividamento geral,0.23379999999999998,0.2102,0.2627,0.237,0.1974,0.1563,0.1364,0.1704,0.1646,0.1454,0.1505,0.1655,0.19510000000000002,8.6625,8.4879,7.2632
