Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,7.25,8.54,6.25,7.56,10.84,6.62,10.23,9.93,8.05,5.15,7.19,10.40,12.39,9.23,10.99,14.06
P/VP,1.40,1.56,1.14,1.37,1.50,1.34,1.70,1.63,1.28,0.98,1.23,1.36,1.56,1.40,1.60,1.71
P/EBIT,,,,,,,,,,,,,,,,
PSR,12.90,12.57,35.96,46.16,50.12,42.92,25.80,38.35,55.75,16.47,27.80,34.17,43.33,42.06,110.48,245.94
P/Ativos,0.61,0.70,0.49,0.91,0.98,0.97,1.13,1.09,0.90,0.66,1.00,1.11,1.28,1.20,1.39,1.61
LPA,3.83,3.41,3.03,2.68,1.93,2.72,2.24,2.15,1.92,2.15,1.77,1.19,1.10,1.21,1.05,0.79
VPA,19.80,18.62,16.53,14.75,13.94,13.49,13.45,13.11,12.09,11.29,10.39,9.10,8.75,7.99,7.21,6.48
EBIT por ação,,,,,,,,,,,,,,,,
Ativo por ação,45.18,41.65,38.88,22.28,21.46,18.60,20.21,19.62,17.14,16.73,12.80,11.18,10.70,9.29,8.29,6.88
Receita líquida por ação,2.15,2.31,0.53,0.44,0.42,0.42,0.89,0.56,0.28,0.67,0.46,0.36,0.32,0.27,0.10,0.04
Margem bruta,0.3428,0.3159,-0.0033,0.1489,0.165,0.4339,0.248,0.5102,1.1813,0.6677,0.7543000000000001,0.7125,0.6638,0.7112,0.6319,0.8419
Margem líquida,1.7789,1.4716,5.756,6.105700000000001,4.6224,6.4788,2.5232,3.8624,6.9249,3.1986000000000003,3.8682999999999996,3.2856,3.4967,4.5583,10.0563,17.4961
Margem EBIT,,,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,,,
Margem operacional,1.7028999999999999,1.3741999999999999,5.662100000000001,6.187799999999999,4.1221,6.543099999999999,2.4486000000000003,3.8264,6.8393,3.1260000000000003,3.8923,3.4037,3.4320999999999997,4.4911,9.9985,17.3515
ROE,0.1932,0.18289999999999998,0.1832,0.1815,0.1387,0.20199999999999999,0.1664,0.1643,0.159,0.1905,0.1707,0.1307,0.1258,0.1517,0.1454,0.12140000000000001
ROA,0.08,0.08,0.08,0.12,0.09,0.15,0.11,0.11,0.11,0.13,0.14,0.11,0.10,0.13,0.13,0.11
Giro do ativo,0.05,0.06,0.01,0.02,0.02,0.02,0.04,0.03,0.02,0.04,0.04,0.03,0.03,0.03,0.01,0.01
EBITDA,,,,,,,,,,,,,,,,
Liquidez corrente,0.97,1.60,1.46,1.54,1.31,5.17,1.02,1.06,0.75,3.12,8.90,9.39,8.41,4.60,1.33,4.03
Liquidez seca,,,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,,,
Capital de giro,-5881000000.0,58208000000.0,45840000000.0,9948000000.0,4934000000.0,21262000000.0,363000000.0,1617000000.0,-4091000000.0,10968000000.0,18191000000.0,13801000000.0,12075000000.0,22420000000.0,935000000.0,8114000000.0
Endividamento geral,,,,,,,,,,,,,,,,
