Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,10.91,-41.39,2.23,3.29,10.86,5.41,1018.44,28.07,69.90,3.60,10.54,12.52,14.01,-146.79,-29.62,48.04
P/VP,1.70,1.01,0.74,1.53,1.25,1.11,1.00,0.62,0.73,0.60,0.89,0.52,0.49,0.54,0.49,0.61
P/EBIT,4.00,8.21,1.40,2.09,2.44,2.43,3.57,2.22,2.47,1.82,2.74,2.79,3.70,6.24,3.80,10.80
PSR,0.20,0.12,0.09,0.19,0.18,0.16,0.14,0.09,0.10,0.10,0.18,0.12,0.13,0.18,0.16,0.30
P/Ativos,0.35,0.21,0.17,0.32,0.30,0.26,0.22,0.14,0.16,0.14,0.26,0.17,0.20,0.23,0.20,0.24
LPA,3.28,-0.48,6.97,9.24,2.07,2.74,0.01,0.24,0.11,2.09,0.92,0.42,0.32,-0.03,-0.13,0.10
VPA,21.06,19.54,20.89,19.89,18.09,13.36,11.56,10.95,10.09,12.64,10.87,9.98,9.29,9.32,7.93,7.89
EBIT por ação,8.97,2.41,11.11,14.55,9.24,6.08,3.24,3.04,2.98,4.14,3.53,1.87,1.23,0.80,1.03,0.44
Ativo por ação,102.15,92.93,93.82,93.44,73.85,56.96,51.46,49.00,46.35,55.23,37.11,31.08,22.43,21.37,19.76,19.79
Receita líquida por ação,178.80,164.02,169.00,158.11,121.82,92.21,81.91,73.56,76.81,73.45,54.31,41.88,34.13,27.86,24.67,15.74
Margem bruta,0.1424,0.109,0.15869999999999998,0.1887,0.1673,0.1562,0.145,0.1457,0.1251,0.1387,0.155,0.1275,0.1148,0.1084,0.12279999999999999,0.08990000000000001
Margem líquida,0.0208,-0.002,0.0432,0.058499999999999996,0.0172,0.0316,0.0012,0.0063,0.0033,0.0315,0.02,0.012,0.0101,-0.0052,-0.004699999999999999,0.0063
Margem EBIT,0.050199999999999995,0.0147,0.06570000000000001,0.092,0.0759,0.0659,0.0395,0.041299999999999996,0.0387,0.056299999999999996,0.065,0.0447,0.0359,0.0288,0.0417,0.0281
Margem EBITDA,0.0789,0.044199999999999996,0.092,0.11779999999999999,0.10490000000000001,0.0968,0.066,0.0688,0.0652,0.079,0.0861,0.0667,0.057300000000000004,0.049699999999999994,0.0639,0.04190000000000001
Margem operacional,0.0286,-0.0038,0.048799999999999996,0.0775,0.030600000000000002,0.036699999999999997,-0.006,0.0070999999999999995,0.0017000000000000001,0.0484,0.0348,0.0191,0.0183,-0.0037,0.0011,0.0115
ROE,0.1594,-0.0155,0.32530000000000003,0.42950000000000005,0.1069,0.19899999999999998,0.0075,0.0392,0.024,0.17309999999999998,0.09300000000000001,0.048,0.0356,-0.0149,-0.013600000000000001,0.0115
ROA,0.04,-0.00,0.08,0.10,0.03,0.05,0.00,0.01,0.01,0.04,0.03,0.02,0.02,-0.01,-0.01,0.01
Giro do ativo,1.75,1.76,1.80,1.69,1.65,1.62,1.59,1.50,1.66,1.33,1.46,1.35,1.52,1.30,1.25,0.80
EBITDA,31310000000.0,16075000000.0,34490000000.0,41297000000.0,28340000000.0,19795000000.0,11988000000.0,11218000000.0,11102000000.0,12872000000.0,10376000000.0,6194000000.0,4334000000.0,3072000000.0,3497000000.0,1461000000.0
Liquidez corrente,1.47,1.64,1.44,1.40,1.48,1.47,1.71,1.24,1.02,1.24,1.51,1.63,1.68,1.72,1.63,1.48
Liquidez seca,0.99,1.13,0.93,0.96,1.05,1.00,1.18,0.91,0.73,0.96,1.18,1.24,1.23,1.20,1.16,1.10
Liquidez imediata,0.44,0.46,0.24,0.39,0.48,0.17,0.19,0.20,0.17,0.27,0.34,0.27,0.17,0.22,0.20,0.49
Dívida bruta,103285000000.0,96821000000.0,92354000000.0,92518000000.0,65906000000.0,53028000000.0,56153000000.0,57024000000.0,56260000000.0,65882000000.0,40079000000.0,32761000000.0,20488000000.0,18872000000.0,18645000000.0,17889000000.0
Dívida líquida,74750000000.0,74058000000.0,78492000000.0,68033000000.0,46226000000.0,42994000000.0,47217000000.0,45283000000.0,46904000000.0,47038000000.0,25168000000.0,23748000000.0,15105000000.0,13584000000.0,14570000000.0,12821000000.0
Capital de giro,29253000000.0,30690000000.0,24230000000.0,24105000000.0,19702000000.0,13466000000.0,15297000000.0,6926000000.0,571000000.0,9672000000.0,12674000000.0,11204000000.0,7845000000.0,7535000000.0,5971000000.0,4448000000.0
Endividamento geral,3.3867000000000003,3.3859,3.1782,3.3361,2.7617000000000003,2.8895,3.0845,3.1581,3.3719,3.1356,2.1815,1.9577,1.3214,1.195,1.3448,1.2919
