Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,67.55,50.04,20.51,37.67,-50.85,108.36,546.69,163.50,25.02,-61.44,97.05,151.67,-,-,-,-
P/VP,13.96,11.64,9.57,19.82,33.20,12.11,11.94,12.03,8.75,14.39,10.04,8.16,-,-,-,-
P/EBIT,34.13,31.73,13.68,20.66,39.35,28.99,25.19,56.06,44.42,51.61,41.70,39.31,-,-,-,-
PSR,7.39,7.48,4.57,6.90,10.59,7.13,7.50,10.39,8.76,13.54,14.48,9.57,-,-,-,-
P/Ativos,2.36,2.43,1.92,2.70,3.59,2.11,2.54,2.85,2.12,2.93,3.35,2.95,-,-,-,-
LPA,0.33,0.44,0.72,0.49,-0.40,0.11,0.02,0.09,0.40,-0.20,0.12,0.05,-,-,-,-
VPA,1.62,1.87,1.55,0.93,0.62,0.98,1.02,1.17,1.15,0.87,1.14,0.87,-,-,-,-
EBIT por ação,0.66,0.69,1.08,0.89,0.52,0.41,0.48,0.25,0.23,0.24,0.28,0.18,-,-,-,-
Ativo por ação,9.55,8.97,7.71,6.81,5.71,5.62,4.80,4.94,4.74,4.25,3.43,2.41,-,-,-,-
Receita líquida por ação,3.05,2.92,3.24,2.67,1.93,1.66,1.62,1.35,1.15,0.92,0.79,0.74,-,-,-,-
Margem bruta,0.3544,0.38,0.475,0.45770000000000005,0.39520000000000005,0.33299999999999996,0.42950000000000005,0.3267,0.33799999999999997,0.3942,0.4586,0.3759,0.5347,0.34259999999999996,0.37420000000000003,0.1779
Margem líquida,0.0993,0.158,0.2341,0.2066,-0.2,0.0696,0.0187,0.0636,0.35,-0.22030000000000002,0.1492,0.06309999999999999,0.18059999999999998,0.047,0.1528,0.057999999999999996
Margem EBIT,0.2164,0.23579999999999998,0.33399999999999996,0.33409999999999995,0.26899999999999996,0.24600000000000002,0.2979,0.18539999999999998,0.1972,0.2623,0.34729999999999994,0.2434,0.39490000000000003,0.20489999999999997,0.2242,0.0204
Margem EBITDA,0.3222,0.33390000000000003,0.40020000000000006,0.395,0.3665,0.3558,0.3995,0.304,0.30269999999999997,0.31739999999999996,0.40409999999999996,0.2949,0.4498,0.2655,0.2853,0.161
Margem operacional,0.128,0.2116,0.32939999999999997,0.268,-0.31920000000000004,0.0842,-0.0068000000000000005,0.1002,0.4534,-0.3425,0.21530000000000002,0.0827,0.2633,0.0761,0.23190000000000002,0.1704
ROE,0.15689999999999998,0.2073,0.4053,0.4805,-0.545,0.1099,0.0286,0.0736,0.3496,-0.2341,0.1035,0.0538,0.1387,0.0369,0.1121,0.0364
ROA,0.03,0.05,0.10,0.08,-0.07,0.02,0.01,0.02,0.08,-0.05,0.03,0.02,0.05,0.01,0.05,0.02
Giro do ativo,0.32,0.33,0.42,0.39,0.34,0.30,0.34,0.27,0.24,0.22,0.23,0.31,0.30,0.31,0.30,0.26
EBITDA,6082000000.0,6017000000.0,8016000000.0,6510000000.0,4379000000.0,3654000000.0,4001000000.0,2545000000.0,2146000000.0,1805000000.0,1977000000.0,1356000000.0,1872000000.0,1032000000.0,1045000000.0,476000000.0
Liquidez corrente,2.30,2.80,1.90,2.49,2.98,4.40,2.93,3.15,2.40,2.74,3.14,2.71,2.51,2.11,2.44,2.35
Liquidez seca,1.76,2.35,1.53,2.13,2.60,3.98,2.60,2.90,2.19,2.52,2.91,2.43,2.24,1.85,2.17,2.04
Liquidez imediata,1.08,1.63,0.71,1.15,1.44,2.69,1.55,1.88,1.42,1.60,2.08,1.53,1.42,1.21,1.50,1.22
Dívida bruta,36440000000.0,31341000000.0,26966000000.0,29338000000.0,26338000000.0,24085000000.0,19445000000.0,19549000000.0,18468000000.0,18021000000.0,10985000000.0,6963000000.0,6035000000.0,5297000000.0,4857000000.0,4727000000.0
Dívida líquida,28942000000.0,20626000000.0,20463000000.0,20915000000.0,19782000000.0,14354000000.0,12398000000.0,11277000000.0,12004000000.0,12410000000.0,5242000000.0,3984000000.0,3277000000.0,2735000000.0,2127000000.0,2676000000.0
Capital de giro,8021000000.0,10589000000.0,5934000000.0,8321000000.0,7172000000.0,10569000000.0,7153000000.0,8056000000.0,5816000000.0,5513000000.0,5380000000.0,3046000000.0,2664000000.0,2150000000.0,2436000000.0,2031000000.0
Endividamento geral,3.9381,3.0367,3.1181,4.9376999999999995,7.0438,4.3379,3.5358,3.2230000000000003,3.1285000000000003,3.9078,1.9997999999999998,1.7666,1.6006,1.5697,1.4552,1.4163
