Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,65.02,-5.16,1.21,3.06,2.91,22.14,2.34,-6.71,-4.58,-6.03,-2.98,-2.62,-20.54,-8.41,54.40,15.72
P/VP,2.76,1.03,0.91,3.39,4.58,7.81,4.84,1.36,3.43,5.50,1.13,0.79,1.11,1.93,2.06,2.23
P/EBIT,2.82,7.38,0.55,1.05,1.22,1.42,7.72,7.64,3.00,3.42,2.34,2.76,3.22,6.40,9.08,20.79
PSR,0.10,0.06,0.04,0.16,0.14,0.10,0.11,0.32,0.17,0.18,0.15,0.13,0.28,0.30,0.50,0.87
P/Ativos,0.11,0.06,0.04,0.28,0.24,0.15,0.12,0.15,0.15,0.17,0.11,0.13,0.18,0.26,0.35,0.69
LPA,0.26,-1.71,4.70,4.90,3.73,0.25,1.57,-0.55,-0.77,-0.66,-0.83,-1.03,-0.25,-0.84,0.16,0.60
VPA,6.08,8.61,6.29,4.42,2.36,0.70,0.76,2.70,1.02,0.73,2.20,3.42,4.69,3.67,4.36,4.26
EBIT por ação,5.96,1.20,10.35,14.23,8.86,3.85,0.48,0.48,1.17,1.17,1.06,0.98,1.61,1.11,0.99,0.46
Ativo por ação,152.21,147.80,153.62,54.18,44.59,35.63,29.91,24.04,22.87,23.25,22.78,20.12,28.88,26.89,25.51,13.83
Receita líquida por ação,160.48,149.23,141.50,96.38,76.16,55.04,33.54,11.43,21.25,22.06,17.17,21.17,18.64,23.72,17.92,10.86
Margem bruta,0.1292,0.1012,0.1315,0.2014,0.17370000000000002,0.1309,0.1293,0.135,0.1151,0.1176,0.1303,0.1232,0.14300000000000002,0.1419,0.1638,0.1303
Margem líquida,0.0091,-0.0274,0.022000000000000002,0.07780000000000001,0.06709999999999999,0.032400000000000005,0.0725,-0.044000000000000004,-0.0336,-0.0276,-0.047400000000000005,-0.0478,-0.0141,-0.0355,0.0088,0.0564
Margem EBIT,0.0371,0.008,0.0731,0.1477,0.1164,0.07,0.014199999999999999,0.04190000000000001,0.055099999999999996,0.0529,0.061900000000000004,0.0462,0.0866,0.0467,0.0552,0.042
Margem EBITDA,0.0863,0.059000000000000004,0.11560000000000001,0.166,0.13699999999999998,0.09449999999999999,0.0362,0.066,0.07980000000000001,,,,,,,
Margem operacional,0.003,-0.034300000000000004,0.0239,0.1043,0.076,0.0277,-0.0635,-0.1446,-0.0519,-0.1056,-0.0737,-0.0621,0.0007000000000000001,-0.06280000000000001,-0.0171,0.0571
ROE,0.055999999999999994,-0.14550000000000002,0.1045,1.1929,1.2893000000000001,0.8906999999999999,0.5368999999999999,-0.16899999999999998,-0.5748,-0.6388,-0.3477,-0.2876,-0.0542,-0.2184,0.0349,0.1433
ROA,0.01,-0.03,0.02,0.14,0.11,0.05,0.08,-0.02,-0.03,-0.03,-0.04,-0.05,-0.01,-0.03,0.01,0.04
Giro do ativo,1.05,1.01,0.92,1.78,1.71,1.54,1.12,0.48,0.93,0.95,0.75,1.05,0.65,0.88,0.70,0.79
EBITDA,12274000000.0,7801000000.0,14499000000.0,14174000000.0,9247000000.0,4609000000.0,1075000000.0,668000000.0,1501000000.0,,,,,,,
Liquidez corrente,1.23,1.24,1.25,1.14,1.33,1.36,1.36,1.62,1.26,1.82,1.79,2.03,1.33,1.40,1.35,1.83
Liquidez seca,0.96,1.00,0.93,0.89,1.12,1.13,1.15,1.33,1.09,1.54,1.36,1.54,0.98,1.02,1.03,1.47
Liquidez imediata,0.11,0.15,0.16,0.10,0.15,0.17,0.28,0.20,0.45,0.30,0.23,0.21,0.12,0.16,0.11,0.19
Dívida bruta,58546000000.0,55824000000.0,64775000000.0,30968000000.0,27499000000.0,22240000000.0,15238000000.0,12458000000.0,11188000000.0,12183000000.0,11200000000.0,9092000000.0,12528000000.0,11680000000.0,9679000000.0,5269000000.0
Dívida líquida,38696000000.0,33931000000.0,42283000000.0,22568000000.0,15742000000.0,13830000000.0,8046000000.0,8056000000.0,5910000000.0,7179000000.0,8542000000.0,7280000000.0,9350000000.0,8203000000.0,5802000000.0,2236000000.0
Capital de giro,10098000000.0,9929000000.0,10177000000.0,2466000000.0,4555000000.0,3805000000.0,3116000000.0,3717000000.0,1920000000.0,4435000000.0,3706000000.0,3805000000.0,2547000000.0,2686000000.0,2451000000.0,2638000000.0
Endividamento geral,4.8134,4.2614,4.1457999999999995,7.6155,10.2427,16.7736,5.607,7.0851,17.4037,23.422399999999996,8.743500000000001,4.7158,4.944,5.9675,4.6376,2.2369
