Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.16,5.37,3.50,4.57,6.03,7.68,-,-,-,-,-,-,-,-,-,-
P/VP,0.71,0.80,0.62,0.75,0.80,0.90,-,-,-,-,-,-,-,-,-,-
P/EBIT,2.43,2.44,1.77,2.28,3.47,4.01,-,-,-,-,-,-,-,-,-,-
PSR,0.49,0.54,0.39,0.42,0.53,0.60,-,-,-,-,-,-,-,-,-,-
P/Ativos,0.22,0.24,0.18,0.21,0.26,0.32,-,-,-,-,-,-,-,-,-,-
LPA,3.09,3.68,3.89,3.23,2.31,1.84,-,-,-,-,-,-,-,-,-,-
VPA,26.80,24.61,22.03,19.68,17.44,15.63,-,-,-,-,-,-,-,-,-,-
EBIT por ação,7.86,8.07,7.69,6.49,4.02,3.52,-,-,-,-,-,-,-,-,-,-
Ativo por ação,87.61,81.65,76.06,70.69,54.62,44.67,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,38.65,36.53,35.25,35.56,26.35,23.45,-,-,-,-,-,-,-,-,-,-
Margem bruta,0.2671,0.2643,0.2914,0.2526,0.2305,0.22399999999999998,0.1956,0.1764,0.2217,0.21960000000000002,0.2477,0.2859,0.2807,0.35950000000000004,0.3644,0.395
Margem líquida,0.0812,0.10210000000000001,0.1119,0.0942,0.0908,0.08109999999999999,0.061399999999999996,0.022000000000000002,0.0239,0.0255,0.06309999999999999,0.1061,0.1092,0.1888,0.2305,0.2588
Margem EBIT,0.20329999999999998,0.221,0.2183,0.18239999999999998,0.1525,0.1501,0.126,0.1036,0.1252,0.09960000000000001,0.1352,0.1561,0.13570000000000002,0.2256,0.2655,0.3044
Margem EBITDA,0.2633,0.2799,0.2716,0.2235,0.1985,0.19579999999999997,0.16949999999999998,0.1465,0.1746,0.1475,0.19079999999999997,0.2119,0.18710000000000002,0.2829,0.3194,
Margem operacional,0.102,0.1118,0.1295,0.1295,0.12029999999999999,0.10300000000000001,0.0809,0.0356,0.0378,0.039900000000000005,0.0783,0.1319,0.1259,0.2165,0.2742,0.31079999999999997
ROE,0.1168,0.1505,0.1777,0.1678,0.1351,0.1199,0.0907,0.028900000000000002,0.0384,0.039900000000000005,0.0782,0.11539999999999999,0.1116,0.154,0.1832,0.21559999999999999
ROA,0.04,0.05,0.05,0.05,0.04,0.04,0.03,0.01,0.01,0.01,0.03,0.05,0.06,0.09,0.11,0.12
Giro do ativo,0.44,0.45,0.46,0.50,0.48,0.53,0.56,0.49,0.53,0.53,0.54,0.51,0.55,0.46,0.46,0.47
EBITDA,12352000000.0,12410000000.0,11619000000.0,9649000000.0,6351000000.0,5572000000.0,4397000000.0,3003000000.0,2590000000.0,2154000000.0,2348000000.0,2244000000.0,2180000000.0,2763000000.0,2861000000.0,
Liquidez corrente,1.14,1.07,1.13,1.09,1.25,1.35,1.43,0.92,0.76,0.87,1.16,1.36,1.94,2.32,2.17,2.33
Liquidez seca,1.14,1.07,1.13,1.09,1.25,1.35,1.43,0.92,0.76,0.87,1.15,1.35,1.93,2.32,2.17,2.32
Liquidez imediata,0.38,0.34,0.37,0.28,0.42,0.42,0.49,0.32,0.05,0.02,0.02,0.03,1.09,1.33,1.16,1.14
Dívida bruta,50730000000.0,45883000000.0,43503000000.0,38623000000.0,26380000000.0,22664000000.0,21056000000.0,18314000000.0,11960000000.0,11807000000.0,8556000000.0,7325000000.0,6234000000.0,6554000000.0,5767000000.0,5034000000.0
Dívida líquida,42935000000.0,38361000000.0,36602000000.0,33006000000.0,21304000000.0,18598000000.0,17100000000.0,14441000000.0,10567000000.0,9210000000.0,7398000000.0,5319000000.0,2293000000.0,2141000000.0,2132000000.0,2276000000.0
Capital de giro,2859000000.0,1426000000.0,2375000000.0,1840000000.0,2977000000.0,3379000000.0,3467000000.0,-933000000.0,-1980000000.0,-957000000.0,676000000.0,1230000000.0,3247000000.0,4047000000.0,3420000000.0,3041000000.0
Endividamento geral,2.2583,2.2954,2.4272,2.5399000000000003,2.0823,1.815,1.6491999999999998,1.7002000000000002,2.0334,1.9385,1.281,1.1355,0.865,0.7653,0.7402,0.7554000000000001
