Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,14.79,21.81,12.91,15.52,17.65,9.45,19.21,23.69,19.72,8.73,11.33,9.71,11.27,8.86,10.47,15.89
P/VP,1.54,1.80,1.67,2.28,2.24,1.60,2.64,2.43,1.71,1.07,0.81,0.68,0.78,0.88,1.05,1.26
P/EBIT,,,,,,,,,,,,,,,,
PSR,1.37,1.61,1.60,3.09,3.77,2.13,3.43,2.96,1.88,1.22,1.08,1.08,1.17,1.33,1.89,2.22
P/Ativos,0.15,0.18,0.19,0.26,0.25,0.20,0.33,0.33,0.23,0.14,0.12,0.12,0.15,0.17,0.21,0.28
LPA,1.65,1.26,1.91,2.07,1.79,2.19,1.68,1.19,0.98,1.30,0.75,0.76,0.73,1.03,0.98,0.73
VPA,15.80,15.26,14.69,14.09,14.11,12.89,12.22,11.61,11.31,10.65,10.49,10.89,10.55,10.41,9.78,9.24
EBIT por ação,,,,,,,,,,,,,,,,
Ativo por ação,163.89,148.78,131.42,124.19,124.50,101.65,96.53,86.11,84.60,80.74,69.38,60.42,56.36,53.33,49.96,42.14
Receita líquida por ação,17.76,17.11,15.37,10.40,8.37,9.71,9.40,9.52,10.29,9.32,7.86,6.83,7.02,6.90,5.46,5.25
Margem bruta,0.4019,0.3655,0.41229999999999994,0.6579999999999999,0.708,0.6085,0.5948,0.4893,0.39649999999999996,0.4485,0.4621,0.556,0.6,0.5393,0.589,0.5634
Margem líquida,0.0932,0.07400000000000001,0.1244,0.19949999999999998,0.2143,0.22829999999999998,0.1816,0.128,0.0968,0.1407,0.0969,0.1142,0.1043,0.1499,0.1805,0.14
Margem EBIT,,,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,,,
Margem operacional,0.1328,0.0929,0.1699,0.31739999999999996,0.1539,0.30579999999999996,0.2257,0.2032,0.21239999999999998,-0.046,0.1094,0.0785,0.10400000000000001,0.1722,0.2444,0.20679999999999998
ROE,0.1048,0.0827,0.12960000000000002,0.14679999999999999,0.1268,0.1711,0.13970000000000002,0.10490000000000001,0.08800000000000001,0.1232,0.0725,0.0716,0.0694,0.09939999999999999,0.10060000000000001,0.0795
ROA,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02
Giro do ativo,0.11,0.12,0.12,0.08,0.07,0.10,0.10,0.11,0.12,0.12,0.11,0.11,0.12,0.13,0.11,0.12
EBITDA,,,,,,,,,,,,,,,,
Liquidez corrente,1.01,1.02,0.96,0.91,0.84,0.85,0.94,0.82,0.83,0.87,0.92,0.89,0.90,0.91,0.89,0.98
Liquidez seca,,,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,,,
Capital de giro,14325000000.0,18456000000.0,-41560000000.0,-53177000000.0,-83512000000.0,-89732000000.0,-30409000000.0,-81323000000.0,-90866000000.0,-62154000000.0,-31833000000.0,-34344000000.0,-28206000000.0,-25294000000.0,-25128000000.0,-2981000000.0
Endividamento geral,,,,,,,,,,,,,,,,
