Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.54,16.19,10.69,13.36,27.13,7.24,9.04,8.27,6.38,25.58,11.03,5.98,19.71,10.13,4.96,4.86
P/VP,1.61,1.91,1.22,1.24,1.16,1.13,1.31,1.19,1.22,1.00,0.75,0.89,3.22,1.18,0.83,0.87
P/EBIT,3.83,8.99,7.18,7.52,5.88,4.27,4.95,5.26,5.48,4.51,5.21,3.66,13.25,5.26,3.02,3.45
PSR,1.71,2.23,1.51,1.58,1.48,1.35,1.59,1.43,1.33,1.17,0.89,1.02,3.50,1.25,0.88,0.85
P/Ativos,0.80,0.93,0.58,0.58,0.52,0.52,0.59,0.53,0.51,0.41,0.33,0.41,1.41,0.49,0.35,0.36
LPA,13.65,5.16,0.00,3.37,1.42,4.93,4.15,3.69,4.31,0.78,1.32,2.81,2.80,1.79,2.39,2.21
VPA,55.46,43.68,0.00,36.48,33.35,31.65,28.60,25.62,22.56,20.07,19.46,18.92,17.14,15.43,14.16,12.35
EBIT por ação,23.28,9.28,0.00,5.99,6.57,8.36,7.57,5.80,5.02,4.45,2.80,4.59,4.16,3.44,3.91,3.10
Ativo por ação,111.39,89.93,0.00,77.78,73.76,67.97,63.74,57.86,53.76,49.31,44.41,41.37,39.03,36.89,34.16,29.62
Receita líquida por ação,52.04,37.41,0.00,28.52,26.04,26.31,23.53,21.37,20.63,17.13,16.41,16.56,15.73,14.54,13.51,12.55
Margem bruta,0.5482,0.37229999999999996,0.3493,0.3433,0.3718,0.4363,0.4351,0.39899999999999997,0.3607,0.29460000000000003,0.3191,0.39759999999999995,0.39880000000000004,0.3934,0.43729999999999997,0.40700000000000003
Margem líquida,0.2623,0.1378,0.14150000000000001,0.1183,0.0547,0.1873,0.17629999999999998,0.1725,0.209,0.0458,0.0805,0.17,0.1778,0.1231,0.1766,0.1757
Margem EBIT,0.4473,0.2482,0.21059999999999998,0.2102,0.25239999999999996,0.3176,0.3218,0.2712,0.2433,0.25989999999999996,0.1704,0.2774,0.2646,0.2368,0.2895,0.24710000000000001
Margem EBITDA,0.529,0.35729999999999995,0.32170000000000004,0.3258,0.3669,0.41659999999999997,0.40840000000000004,0.3603,0.3246,0.35159999999999997,0.26,0.3544,0.33340000000000003,0.3141,0.3493,0.3127
Margem operacional,0.3851,0.1859,0.1937,0.16260000000000002,0.0745,0.2601,0.2432,0.2398,0.2929,0.050199999999999995,0.1137,0.2347,0.2365,0.17309999999999998,0.2484,0.24600000000000002
ROE,0.24609999999999999,0.11800000000000001,0.1142,0.0925,0.042699999999999995,0.15560000000000002,0.145,0.1439,0.1911,0.0391,0.0679,0.14880000000000002,0.1632,0.11599999999999999,0.1684,0.1787
ROA,0.12,0.06,0.05,0.04,0.02,0.07,0.07,0.06,0.08,0.02,0.03,0.07,0.07,0.05,0.07,0.07
Giro do ativo,0.47,0.42,0.39,0.37,0.35,0.39,0.37,0.37,0.38,0.35,0.37,0.40,0.40,0.39,0.40,0.42
EBITDA,18816000000.0,9136000000.0,0.0,6350000000.0,6529000000.0,7491000000.0,6569000000.0,5263000000.0,4576000000.0,4118000000.0,2915000000.0,4009000000.0,3585000000.0,3123000000.0,3224000000.0,2682000000.0
Liquidez corrente,1.14,0.93,1.09,1.28,1.09,0.76,1.04,0.96,0.89,0.92,0.92,1.09,0.88,0.94,1.02,0.74
Liquidez seca,1.13,0.92,1.08,1.25,1.07,0.75,1.03,0.94,0.88,0.91,0.90,1.08,0.86,0.93,1.01,0.72
Liquidez imediata,0.33,0.10,0.28,0.14,0.07,0.35,0.56,0.48,0.44,0.44,0.49,0.60,0.51,0.54,0.57,0.25
Dívida bruta,23857000000.0,19536000000.0,18958000000.0,17723000000.0,17258000000.0,13244000000.0,13152000000.0,12100000000.0,11964000000.0,13121000000.0,10785000000.0,9450000000.0,9069000000.0,8596000000.0,8264000000.0,6557000000.0
Dívida líquida,20188000000.0,16271000000.0,15413000000.0,14572000000.0,13451000000.0,10991000000.0,10123000000.0,9817000000.0,10077000000.0,11482000000.0,9062000000.0,7668000000.0,7148000000.0,6446000000.0,6275000000.0,5786000000.0
Capital de giro,996000000.0,-625000000.0,627000000.0,1410000000.0,540000000.0,-1558000000.0,203000000.0,-198000000.0,-479000000.0,-290000000.0,-266000000.0,281000000.0,-461000000.0,-243000000.0,84000000.0,-811000000.0
Endividamento geral,1.0084,1.0588,1.093,1.1323999999999999,1.212,1.1473,1.2282,1.2581,1.3831,1.4574,1.2816,1.1865999999999999,1.2770000000000001,1.391,1.4118000000000002,1.3988999999999998
