Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,19.13,9.37,6.50,8.04,13.93,10.70,7.72,6.62,37.01,7.71,15.15,10.58,27.92,13.14,41.95,258.04
P/VP,1.55,1.70,1.79,2.42,2.32,1.20,1.13,0.94,0.45,0.43,0.47,0.50,0.55,0.56,0.67,0.66
P/EBIT,6.68,4.33,3.29,4.46,8.72,5.97,4.48,3.97,10.05,3.31,5.39,6.72,7.33,4.18,9.95,104.89
PSR,1.00,0.92,0.87,1.35,1.76,1.10,1.04,1.06,0.67,0.54,0.69,0.86,0.95,1.07,1.41,2.04
P/Ativos,0.46,0.53,0.55,0.66,0.79,0.48,0.51,0.45,0.20,0.18,0.23,0.24,0.29,0.30,0.41,0.41
LPA,0.91,2.02,2.86,2.40,1.10,0.70,0.86,0.80,0.07,0.28,0.15,0.22,0.09,0.18,0.07,0.01
VPA,11.18,11.11,10.37,7.95,6.63,6.28,5.86,5.67,5.53,4.98,4.97,4.53,4.39,4.33,4.23,4.08
EBIT por ação,2.59,4.37,5.65,4.32,1.76,1.26,1.48,1.34,0.25,0.64,0.43,0.34,0.33,0.58,0.28,0.03
Ativo por ação,37.89,35.77,33.54,29.02,19.38,15.70,12.98,11.94,12.30,11.98,10.15,9.61,8.34,8.09,6.87,6.66
Receita líquida por ação,17.30,20.58,21.47,14.27,8.74,6.86,6.37,5.01,3.74,3.97,3.38,2.67,2.52,2.27,2.00,1.33
Margem bruta,0.2464,0.2873,0.32899999999999996,0.3554,0.2763,0.2576,0.29960000000000003,0.30510000000000004,0.1485,0.2459,0.22219999999999998,0.2211,0.2268,0.36219999999999997,0.24719999999999998,0.1456
Margem líquida,0.0495,0.10279999999999999,0.1404,0.1788,0.1319,0.1036,0.14400000000000002,0.1663,0.009399999999999999,0.0688,0.046799999999999994,0.0818,0.0344,0.1591,0.066,0.0155
Margem EBIT,0.1499,0.2121,0.2632,0.3025,0.2016,0.1837,0.233,0.2673,0.0665,0.16210000000000002,0.1273,0.1274,0.1297,0.2554,0.1418,0.0195
Margem EBITDA,0.18460000000000001,0.23620000000000002,0.28190000000000004,0.3256,0.2325,0.21850000000000003,0.2724,0.3086,0.1293,0.2227,0.19390000000000002,0.22510000000000002,0.2261,0.3297,,
Margem operacional,0.042199999999999994,0.13419999999999999,0.18969999999999998,0.2468,0.1779,0.1364,0.2072,0.2257,-0.0025,0.0946,0.0594,0.1063,0.06480000000000001,0.2398,0.0944,0.0129
ROE,0.0728,0.1789,0.273,0.2995,0.16219999999999998,0.1056,0.14550000000000002,0.1367,0.0059,0.0507,0.029300000000000003,0.0452,0.019299999999999998,0.0833,0.0313,0.005
ROA,0.02,0.06,0.09,0.09,0.06,0.05,0.07,0.07,0.00,0.02,0.02,0.02,0.01,0.04,0.02,0.00
Giro do ativo,0.46,0.58,0.64,0.49,0.45,0.44,0.49,0.42,0.30,0.33,0.33,0.28,0.30,0.28,0.29,0.20
EBITDA,1416000000.0,2154000000.0,2683000000.0,2059000000.0,900000000.0,664000000.0,768000000.0,684000000.0,214000000.0,392000000.0,290000000.0,265000000.0,252000000.0,331000000.0,,
Liquidez corrente,1.71,1.82,1.53,1.33,1.80,1.51,1.37,1.35,1.27,1.25,1.20,1.22,1.35,1.21,1.50,1.85
Liquidez seca,0.67,0.92,0.80,0.60,1.24,0.99,0.91,1.01,1.00,0.83,0.74,0.79,0.83,0.71,1.01,1.22
Liquidez imediata,0.37,0.40,0.27,0.04,0.69,0.41,0.27,0.37,0.48,0.40,0.28,0.33,0.20,0.16,0.22,0.00
Dívida bruta,5899000000.0,4393000000.0,3454000000.0,2587000000.0,2417000000.0,1859000000.0,1605000000.0,1589000000.0,1901000000.0,1878000000.0,1331000000.0,1170000000.0,810000000.0,640000000.0,449000000.0,460000000.0
Dívida líquida,4168000000.0,2779000000.0,2218000000.0,2447000000.0,813000000.0,974000000.0,962000000.0,839000000.0,836000000.0,1177000000.0,960000000.0,777000000.0,653000000.0,509000000.0,339000000.0,318000000.0
Capital de giro,3292000000.0,3326000000.0,2442000000.0,1277000000.0,1864000000.0,1047000000.0,691000000.0,588000000.0,493000000.0,428000000.0,270000000.0,258000000.0,274000000.0,169000000.0,244000000.0,321000000.0
Endividamento geral,2.2192,2.0249,2.0366,2.4072999999999998,1.726,1.3315000000000001,1.0594,0.9593,1.0744,1.2195,0.8798999999999999,0.9939,0.8552,0.8667,0.6238,0.6339
