Conta,3T2024 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
P/L,7.30,7.15,10.46,7.36,10.90,9.08,17.04,9.40,15.45,21.72,10.84,24.28,28.57,13.02,13.36,19.46
P/VP,1.26,1.54,1.80,2.05,2.54,1.73,1.58,1.41,1.29,1.70,1.19,1.58,0.99,0.81,0.97,1.06
P/EBIT,3.98,4.17,5.12,4.52,6.52,4.89,7.67,5.78,6.56,9.23,6.81,13.44,11.65,6.98,8.07,15.62
PSR,1.08,1.53,1.60,1.91,2.35,1.57,1.59,1.35,1.68,1.92,1.62,2.14,1.61,1.21,1.47,1.71
P/Ativos,0.39,0.52,0.56,0.63,0.81,0.48,0.55,0.51,0.50,0.61,0.43,0.65,0.42,0.34,0.48,0.48
LPA,3.40,4.44,3.06,4.45,2.79,1.92,0.94,1.48,0.85,0.62,0.86,0.41,0.22,0.38,0.43,0.31
VPA,19.76,20.64,17.79,16.00,11.99,10.07,10.20,9.90,10.24,7.96,7.87,6.24,6.32,6.09,5.88,5.74
EBIT por ação,6.24,7.62,6.25,7.26,4.67,3.57,2.10,2.41,2.01,1.46,1.37,0.73,0.54,0.71,0.71,0.39
Ativo por ação,63.79,61.28,56.62,52.22,37.35,36.44,29.33,27.42,26.15,22.20,21.56,15.16,14.81,14.40,11.86,12.60
Receita líquida por ação,22.91,20.73,19.94,17.21,12.95,11.11,10.11,10.33,7.85,7.04,5.76,4.61,3.88,4.11,3.90,3.56
Margem bruta,0.2314,0.24309999999999998,0.3075,0.42310000000000003,0.361,0.3186,0.2593,0.32,0.2619,0.2753,0.2847,0.2899,0.2801,0.2755,0.3084,0.243
Margem líquida,0.14859999999999998,0.21420000000000003,0.1533,0.2589,0.21539999999999998,0.17300000000000001,0.0935,0.1431,0.10880000000000001,0.0885,0.1505,0.08800000000000001,0.0565,0.0926,0.1099,0.08960000000000001
Margem EBIT,0.2723,0.36729999999999996,0.31329999999999997,0.4218,0.3603,0.321,0.2077,0.2328,0.2563,0.2082,0.2377,0.159,0.13849999999999998,0.1729,0.1821,0.1091
Margem EBITDA,0.43060000000000004,0.5329,0.4756,0.5581,0.5161,0.49340000000000006,0.3357,0.33640000000000003,0.3447,0.3041,0.3406,0.2413,0.2562,0.30820000000000003,0.2929,0.2397
Margem operacional,0.16699999999999998,0.25920000000000004,0.1801,0.33899999999999997,0.2808,0.1986,0.11289999999999999,0.1812,0.1585,0.0824,0.1638,0.1229,0.0894,0.1216,0.1522,0.1233
ROE,0.1723,0.2151,0.1718,0.2784,0.23260000000000003,0.1909,0.0926,0.1495,0.0834,0.0782,0.11019999999999999,0.065,0.0347,0.0625,0.0728,0.0555
ROA,0.05,0.07,0.05,0.09,0.07,0.05,0.03,0.05,0.03,0.03,0.04,0.03,0.01,0.03,0.04,0.03
Giro do ativo,0.36,0.34,0.35,0.33,0.35,0.30,0.34,0.38,0.30,0.32,0.27,0.30,0.26,0.29,0.33,0.28
EBITDA,3279000000.0,3672000000.0,3152000000.0,3192000000.0,2221000000.0,1822000000.0,1128000000.0,1155000000.0,899000000.0,711000000.0,652000000.0,370000000.0,330000000.0,421000000.0,379000000.0,283000000.0
Liquidez corrente,2.01,2.18,2.17,2.55,1.74,2.01,2.59,2.20,1.25,1.72,1.23,1.24,1.69,1.28,1.38,0.86
Liquidez seca,1.41,1.97,1.91,2.20,1.50,1.80,2.40,1.93,1.12,1.53,1.11,1.10,1.49,1.02,0.97,0.64
Liquidez imediata,0.07,0.07,0.10,0.05,0.16,0.05,0.16,0.12,0.07,0.22,0.72,0.79,1.06,0.79,0.65,0.27
Dívida bruta,10229000000.0,9411000000.0,9665000000.0,8895000000.0,5963000000.0,6490000000.0,4452000000.0,3924000000.0,3719000000.0,3507000000.0,3240000000.0,1590000000.0,1416000000.0,1232000000.0,711000000.0,955000000.0
Dívida líquida,7644000000.0,6260000000.0,6587000000.0,5922000000.0,4613000000.0,4566000000.0,2416000000.0,2463000000.0,2547000000.0,2534000000.0,2219000000.0,1039000000.0,885000000.0,821000000.0,489000000.0,824000000.0
Capital de giro,3398000000.0,3374000000.0,3071000000.0,3378000000.0,1364000000.0,1749000000.0,1995000000.0,1466000000.0,493000000.0,875000000.0,329000000.0,168000000.0,346000000.0,145000000.0,130000000.0,-68000000.0
Endividamento geral,2.2288,1.9686000000000001,2.1837999999999997,2.2640000000000002,2.1149,2.6195999999999997,1.8749,1.7706,1.5538999999999998,1.7888,1.7403,1.4269999999999998,1.3437000000000001,1.3644,1.0178,1.1931
