Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.93,8.52,7.30,5.19,4.04,4.80,4.33,5.63,-,-,-,-,-,-,-,-
P/VP,1.66,1.79,1.61,1.72,1.52,1.06,1.01,0.84,-,-,-,-,-,-,-,-
P/EBIT,4.24,4.99,4.33,3.34,2.86,3.51,3.25,3.94,-,-,-,-,-,-,-,-
PSR,2.94,3.47,4.04,3.31,2.57,2.89,2.84,3.39,-,-,-,-,-,-,-,-
P/Ativos,0.57,0.60,0.61,0.72,0.65,0.47,0.54,0.45,-,-,-,-,-,-,-,-
LPA,1.61,1.32,1.40,2.14,2.19,1.07,1.04,0.63,-,-,-,-,-,-,-,-
VPA,6.73,6.31,6.36,6.47,5.83,4.83,4.42,4.21,-,-,-,-,-,-,-,-
EBIT por ação,2.64,2.26,2.36,3.32,3.09,1.46,1.38,0.90,-,-,-,-,-,-,-,-
Ativo por ação,19.53,18.71,16.75,15.38,13.65,10.93,8.34,7.79,-,-,-,-,-,-,-,-
Receita líquida por ação,3.81,3.25,2.53,3.36,3.45,1.78,1.58,1.04,-,-,-,-,-,-,-,-
Margem bruta,0.6214,0.631,0.8095,0.8131,0.7056999999999999,0.688,0.7784,0.8164,0.8926999999999999,0.9231999999999999,0.8858,0.8490000000000001,0.9153,0.9328,0.9116,0.7537999999999999
Margem líquida,0.4241,0.4068,0.5539000000000001,0.6376,0.6354,0.6012,0.6551,0.6019,0.6197,0.5896,0.6049,0.6167,0.5229,0.5196999999999999,0.5367000000000001,0.4023
Margem EBIT,0.6938,0.6945,0.9329999999999999,0.9894,0.8970999999999999,0.8226,0.8744,0.86,0.9856999999999999,0.9968,1.0131999999999999,0.9125,0.9328,0.8903,0.8536,0.7129000000000001
Margem EBITDA,0.6984999999999999,0.6990999999999999,0.9389,0.9934000000000001,0.8994,0.8261,0.8783,0.8636,0.9881,0.9979,1.0142,0.9137000000000001,0.9343,0.8919,0.8721,0.7167
Margem operacional,0.4629,0.4257,0.6511,0.7561,0.7635,0.6819,0.7453,0.6533,0.6975,0.6933,0.7364,0.6573,0.7132999999999999,0.7028,0.6976,0.5887
ROE,0.2396,0.2097,0.2206,0.3312,0.37549999999999994,0.2216,0.2343,0.1491,0.20010000000000003,0.2078,0.21420000000000003,0.20739999999999997,0.1438,0.21989999999999998,0.1709,0.15869999999999998
ROA,0.08,0.07,0.08,0.14,0.16,0.10,0.12,0.08,0.10,0.10,0.10,0.10,0.06,0.08,0.09,0.09
Giro do ativo,0.19,0.17,0.15,0.22,0.25,0.16,0.19,0.13,0.17,0.17,0.17,0.16,0.12,0.15,0.17,0.21
EBITDA,2746000000.0,2350000000.0,2456000000.0,3449000000.0,3203000000.0,1520000000.0,1436000000.0,930000000.0,1374000000.0,1539000000.0,1516000000.0,1322000000.0,1052000000.0,850000000.0,696000000.0,624000000.0
Liquidez corrente,1.42,2.01,3.02,1.51,2.80,3.58,2.98,3.02,1.82,2.06,2.38,1.63,5.85,0.94,3.51,1.04
Liquidez seca,1.42,2.01,3.02,1.51,2.80,3.58,2.98,3.02,1.82,2.06,2.38,1.63,5.85,0.94,3.50,1.04
Liquidez imediata,0.47,0.74,1.06,0.27,1.06,0.08,0.03,0.09,0.09,0.13,0.14,0.11,0.84,0.30,1.34,0.16
Dívida bruta,10020000000.0,9702000000.0,8156000000.0,6804000000.0,6252000000.0,5343000000.0,3299000000.0,3005000000.0,3290000000.0,3672000000.0,3845000000.0,4367000000.0,4738000000.0,3323000000.0,1541000000.0,1565000000.0
Dívida líquida,8990000000.0,8396000000.0,7073000000.0,6420000000.0,5356000000.0,5260000000.0,3279000000.0,2948000000.0,3188000000.0,3540000000.0,3743000000.0,4246000000.0,4199000000.0,2827000000.0,1126000000.0,1446000000.0
Capital de giro,933000000.0,1774000000.0,2068000000.0,718000000.0,1518000000.0,2571000000.0,1280000000.0,1302000000.0,880000000.0,1073000000.0,1035000000.0,690000000.0,3119000000.0,-92000000.0,773000000.0,31000000.0
Endividamento geral,1.9001,1.9644,1.6344,1.3779,1.3408000000000002,1.2629000000000001,0.8845999999999999,0.8527,0.9525,1.0247,1.0495999999999999,1.1264,1.3394,1.7490999999999999,0.8243,0.8484
