Conta,3T2024 (TTM),2023,2022,2021,2020,2019
P/L,8.32,9.11,10.52,9.07,-,-
P/VP,1.69,1.57,2.13,1.74,-,-
P/EBIT,6.40,11.87,11.18,11.03,-,-
PSR,0.55,0.58,0.87,0.73,-,-
P/Ativos,0.78,0.76,0.99,0.89,-,-
LPA,1.60,1.15,1.15,0.86,-,-
VPA,7.87,6.72,5.65,4.49,-,-
EBIT por ação,2.08,0.89,1.08,0.71,-,-
Ativo por ação,17.14,13.81,12.21,8.82,-,-
Receita líquida por ação,24.09,18.06,13.82,10.72,-,-
Margem bruta,0.1895,0.13849999999999998,0.1515,0.1313,0.1607,0.1416
Margem líquida,0.0663,0.0638,0.08289999999999999,0.0806,0.0791,0.054299999999999994
Margem EBIT,0.0862,0.049100000000000005,0.0781,0.0662,0.1052,0.0662
Margem EBITDA,0.0929,0.0548,0.08289999999999999,0.0706,0.1108,0.0719
Margem operacional,0.08410000000000001,0.047599999999999996,0.0785,0.0711,0.0821,0.0567
ROE,0.2028,0.17120000000000002,0.2026,0.1924,0.3458,0.30219999999999997
ROA,0.09,0.08,0.09,0.10,0.11,0.08
Giro do ativo,1.41,1.31,1.13,1.21,1.34,1.46
EBITDA,1115000000.0,492000000.0,570000000.0,376000000.0,344000000.0,159000000.0
Liquidez corrente,1.73,1.59,1.55,1.83,1.30,1.13
Liquidez seca,0.93,1.04,0.81,1.05,0.72,0.68
Liquidez imediata,0.48,0.37,0.26,0.19,0.19,0.17
Dívida bruta,1970000000.0,1272000000.0,1096000000.0,799000000.0,641000000.0,423000000.0
Dívida líquida,324000000.0,46000000.0,216000000.0,-291000000.0,388000000.0,259000000.0
Capital de giro,2482000000.0,1637000000.0,1518000000.0,1523000000.0,404000000.0,128000000.0
Endividamento geral,1.1748,1.0537,1.1578,0.9656,2.2598,2.8118
