Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,6.98,8.72,5.21,1.69,25.87,23.27,13.81,46.30,-6.55,-0.55,37.72,-70.93,-15.06,50.64,12.28,14.62
P/VP,0.27,0.51,0.36,0.70,1.17,0.35,0.70,0.78,0.32,0.13,0.29,0.60,0.64,0.68,1.11,1.19
P/EBIT,10.14,15.17,3.16,1.33,5.94,5.21,8.79,12.21,-19.79,-0.49,6.91,14.34,-34.59,17.04,9.85,15.84
PSR,0.24,0.44,0.26,0.45,1.08,0.33,0.73,1.01,0.52,0.18,0.42,0.78,0.84,0.99,1.49,1.70
P/Ativos,0.16,0.30,0.21,0.39,0.58,0.19,0.38,0.42,0.17,0.06,0.16,0.32,0.32,0.35,0.61,0.72
LPA,0.73,1.11,1.29,7.24,0.54,0.17,0.58,0.19,-0.53,-2.58,0.10,-0.11,-0.56,0.19,1.25,1.02
VPA,19.03,19.04,18.48,17.36,11.86,11.21,11.38,10.99,10.80,10.70,13.34,13.34,13.25,13.79,13.91,12.49
EBIT por ação,0.50,0.64,2.13,9.17,2.34,0.76,0.91,0.71,-0.18,-2.90,0.56,0.56,-0.25,0.55,1.56,0.94
Ativo por ação,31.47,32.05,31.92,31.51,23.90,21.02,21.17,20.74,20.95,22.15,24.33,25.02,26.15,26.62,25.37,20.70
Receita líquida por ação,20.89,22.06,25.91,26.92,12.84,11.93,10.96,8.57,6.75,8.13,9.37,10.24,10.14,9.50,10.34,8.72
Margem bruta,0.049100000000000005,0.0647,0.17489999999999997,0.3342,0.2024,0.12539999999999998,0.1613,0.1523,0.0576,0.0169,0.0883,0.115,0.0379,0.10869999999999999,0.19519999999999998,0.1358
Margem líquida,0.0418,0.0594,0.0645,0.2982,0.0803,0.0252,0.0603,0.0294,-0.0682,-0.3618,0.0178,0.0013,-0.0471,0.034,0.1222,0.1168
Margem EBIT,0.024,0.028900000000000002,0.0821,0.3406,0.182,0.0637,0.0832,0.0823,-0.0262,-0.3563,0.0602,0.0546,-0.0242,0.0582,0.1512,0.1075
Margem EBITDA,0.0699,0.0673,0.1099,0.3697,0.24420000000000003,0.1301,0.15810000000000002,0.19149999999999998,0.1177,-0.2275,0.1551,0.1382,0.051699999999999996,0.13019999999999998,0.2147,0.1864
Margem operacional,0.0152,0.042199999999999994,0.10099999999999999,0.3657,0.11470000000000001,0.0296,0.08990000000000001,0.0392,-0.0298,-0.47859999999999997,0.015700000000000002,-0.0151,-0.06280000000000001,0.054000000000000006,0.1523,0.1632
ROE,0.041100000000000005,0.061799999999999994,0.0808,0.413,0.0767,0.0242,0.0528,0.0208,-0.038,-0.2458,0.0111,0.0009,-0.0323,0.0213,0.0832,0.0797
ROA,0.03,0.04,0.05,0.25,0.04,0.01,0.03,0.01,-0.02,-0.13,0.01,0.00,-0.02,0.01,0.05,0.05
Giro do ativo,0.66,0.69,0.81,0.85,0.54,0.57,0.52,0.41,0.32,0.37,0.39,0.41,0.39,0.36,0.41,0.42
EBITDA,1828000000.0,1861000000.0,3569000000.0,12473000000.0,3928000000.0,1944000000.0,2171000000.0,2055000000.0,994000000.0,-2318000000.0,1821000000.0,1773000000.0,657000000.0,1549000000.0,2783000000.0,2036000000.0
Liquidez corrente,3.72,3.25,3.78,3.16,2.64,3.07,2.50,2.38,3.66,1.53,1.73,1.86,1.98,3.08,3.51,3.04
Liquidez seca,2.14,1.89,1.93,1.97,1.77,1.75,1.33,1.47,2.18,0.92,0.99,1.10,1.28,1.85,2.11,1.85
Liquidez imediata,1.13,0.97,0.54,1.00,0.73,0.43,0.33,0.58,0.41,0.18,0.44,0.52,0.58,0.71,1.19,1.02
Dívida bruta,6415000000.0,5916000000.0,6197000000.0,6299000000.0,5968000000.0,5106000000.0,5849000000.0,6635000000.0,6924000000.0,7868000000.0,6684000000.0,6840000000.0,7997000000.0,8762000000.0,7717000000.0,5537000000.0
Dívida líquida,516000000.0,-94000000.0,1125000000.0,-724000000.0,1100000000.0,3185000000.0,4156000000.0,4321000000.0,4666000000.0,5844000000.0,3832000000.0,3372000000.0,3336000000.0,3571000000.0,3173000000.0,2454000000.0
Capital de giro,12432000000.0,12417000000.0,14966000000.0,13667000000.0,7350000000.0,5971000000.0,4988000000.0,4208000000.0,4668000000.0,2398000000.0,3475000000.0,4372000000.0,5305000000.0,8524000000.0,8773000000.0,6203000000.0
Endividamento geral,0.48109999999999997,0.5127,0.5452,0.6209,0.7787999999999999,0.6920000000000001,0.6897,0.7112999999999999,0.7282,0.8513,0.6248,0.665,0.7703,0.7545000000000001,0.6703,0.6212
