Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,4.90,6.66,3.32,2.91,11.57,-18.85,5.65,6.65,5.93,-0.90,47.27,646.53,8.00,2.45,3.63,10.90
P/VP,1.13,1.39,1.70,1.83,1.66,0.78,0.85,0.82,0.62,0.30,0.31,0.50,0.53,0.65,0.97,1.18
P/EBIT,3.34,4.07,3.52,2.49,4.94,56.14,3.36,3.39,3.81,-1.47,2.57,2.23,5.22,1.77,2.70,8.43
PSR,1.12,1.28,1.40,1.20,1.50,0.85,1.08,1.08,0.83,0.51,0.51,0.74,0.87,0.91,1.31,2.32
P/Ativos,0.49,0.58,0.70,0.71,0.65,0.34,0.42,0.36,0.24,0.12,0.15,0.26,0.30,0.39,0.51,0.63
LPA,10.63,8.80,21.13,26.71,5.89,-1.47,5.65,3.88,2.93,-9.74,0.21,0.03,2.18,8.33,6.62,2.28
VPA,45.95,42.07,41.22,42.39,40.93,35.58,37.54,31.67,28.03,28.90,32.26,32.68,32.97,31.61,24.70,21.10
EBIT por ação,15.60,14.38,19.90,31.14,13.78,0.49,9.51,7.61,4.56,-5.99,3.87,7.37,3.34,11.52,8.91,2.94
Ativo por ação,106.69,100.46,99.89,109.96,105.34,81.44,75.28,72.28,71.09,76.13,68.17,64.30,58.81,52.23,47.29,39.16
Receita líquida por ação,46.51,45.84,49.90,64.67,45.41,32.75,29.63,23.91,20.85,17.20,19.45,22.36,20.11,22.48,18.34,10.68
Margem bruta,0.3906,0.4232,0.4517,0.6004999999999999,0.5587,0.436,0.3962,0.3803,0.3539,0.1957,0.3307,0.4826,0.45399999999999996,0.5839,0.5943999999999999,0.4278
Margem líquida,0.22870000000000001,0.1949,0.4253,0.41340000000000005,0.1208,-0.058499999999999996,0.1917,0.1628,0.1405,-0.5893,0.0025,-0.0025,0.10289999999999999,0.3667,0.3655,0.21660000000000001
Margem EBIT,0.3354,0.31370000000000003,0.39880000000000004,0.4815,0.3035,0.0151,0.321,0.3182,0.2189,-0.34840000000000004,0.1991,0.3295,0.16620000000000001,0.5124,0.48590000000000005,0.2756
Margem EBITDA,0.4114,0.3872,0.4711,0.5373,0.38409999999999994,0.1143,0.4121,0.42729999999999996,0.3469,-0.1888,0.3136,0.4177,0.2553,0.5775,0.5549000000000001,0.38789999999999997
Margem operacional,0.2635,0.267,0.449,0.5422,0.1863,-0.0754,0.1868,0.2293,0.28550000000000003,-0.8286,0.0319,0.1477,0.0759,0.4501,0.45270000000000005,0.3188
ROE,0.22329999999999997,0.2045,0.4943,0.6158,0.1376,-0.0553,0.1484,0.1193,0.09939999999999999,-0.3299,0.0015,-0.0017000000000000001,0.061399999999999996,0.255,0.2615,0.1047
ROA,0.10,0.09,0.21,0.24,0.05,-0.02,0.08,0.05,0.04,-0.13,0.00,-0.00,0.04,0.16,0.14,0.06
Giro do ativo,0.44,0.46,0.50,0.59,0.43,0.40,0.39,0.33,0.29,0.23,0.29,0.35,0.34,0.43,0.39,0.27
EBITDA,86850000000.0,80572000000.0,106712000000.0,157714000000.0,79154000000.0,16990000000.0,55414000000.0,46376000000.0,32826000000.0,-14742000000.0,27682000000.0,42390000000.0,23296000000.0,58911000000.0,46183000000.0,18811000000.0
Liquidez corrente,0.91,1.28,1.12,1.47,1.67,1.23,1.67,1.45,2.01,1.47,1.88,2.54,1.79,1.94,1.73,2.10
Liquidez seca,0.58,0.96,0.80,1.18,1.39,0.92,1.18,1.15,1.71,1.13,1.47,2.11,1.39,1.47,1.49,1.77
Liquidez imediata,0.30,0.25,0.34,0.77,0.92,0.53,0.63,0.33,0.38,0.34,0.37,0.55,0.46,0.32,0.43,0.76
Dívida bruta,77281000000.0,67404000000.0,66330000000.0,76909000000.0,78089000000.0,59842000000.0,59927000000.0,74392000000.0,95563000000.0,112666000000.0,76517000000.0,68977000000.0,61855000000.0,43071000000.0,43790000000.0,42089000000.0
Dívida líquida,51952000000.0,49680000000.0,41299000000.0,10472000000.0,3997000000.0,30215000000.0,37515000000.0,60074000000.0,81672000000.0,98645000000.0,65961000000.0,56511000000.0,49938000000.0,36478000000.0,30321000000.0,28868000000.0
Capital de giro,-7482000000.0,19581000000.0,8531000000.0,39986000000.0,50967000000.0,12891000000.0,23739000000.0,19343000000.0,36937000000.0,19235000000.0,25231000000.0,34587000000.0,20371000000.0,19464000000.0,22884000000.0,19291000000.0
Endividamento geral,1.2390999999999999,1.2992,1.3263,1.5329,1.6418000000000001,1.3524,0.9675,1.2153,1.4136000000000002,1.4785,1.0683,0.9187000000000001,0.7456,0.6164000000000001,0.8453,0.7722
