Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,1370000000.0,2970000000.0,2020000000.0,1030000000.0,2270000000.0,887160000.0,1250000000.0,976550000.0,1870000000.0,2490000000.0,-1260000000.0,1380000000.0,1910000000.0,-1160000000.0,1950000000.0,-468370000.0,1210000000.0,1540000000.0,3610000000.0,243530000.0,1350000000.0,472940000.0,588460000.0,347580000.0,881970000.0,1490000000.0,522789999.99999994,771470000.0,372960000.0,918790000.0,437510000.0,664780000.0,700030000.0,285920000.0,353950000.0,526450000.00000006,1630000000.0,400250000.0,1180000000.0,687090000.0,659590000.0,357730000.0,324620000.0,474270000.0,348450000.0,464310000.0,256450000.0,320240000.0,353120000.0,335750000.0,316010000.0,277570000.0,415560000.0,269740000.0,250660000.0,241770000.0,223620000.0,251450000.0,206660000.0
Custos,-938330000.0,-2580000000.0,-1670000000.0,-711200000.0,-1920000000.0,-523490000.0,-947570000.0,-631960000.0,-1490000000.0,-2140000000.0000002,1640000000.0,-1150000000.0,-1730000000.0,1570000000.0,-1800000000.0,779560000.0,-1090000000.0,-1560000000.0,-3920000000.0,-24740000.0,-1250000000.0,-248440000.0,-407360000.0,-129940000.0,-774740000.0,-1490000000.0,-347810000.0,-632930000.0,-178600000.0,-784180000.0,-265260000.0,-496190000.0,-550960000.0,67590000.0,-20710000.0,-309730000.0,-1900000000.0,-197140000.0,-1260000000.0,-623870000.0,-603130000.0,-187490000.0,-164760000.0,-364570000.0,-222030000.0,-425380000.0,-120130000.0,-207400000.0,-244540000.0,-285890000.0,-195830000.0,-154630000.0,-331700000.0,-135800000.0,-127430000.0,-130250000.0,-113190000.0,-152190000.0,-116820000.0
Lucro bruto,428150000.0,383830000.0,351480000.0,321780000.0,356920000.0,363670000.0,300920000.0,344590000.0,382240000.0,347860000.0,383140000.0,232800000.0,180530000.0,405640000.0,157340000.0,311190000.0,126480000.0,-19840000.0,-302070000.0,218790000.0,97670000.0,224500000.0,181090000.0,217640000.0,107230000.0,2190000.0,174990000.0,138540000.0,194360000.0,134610000.0,172250000.0,168580000.0,149070000.0,353520000.0,333250000.0,216730000.0,-270360000.0,203100000.0,-84030000.0,63220000.0,56470000.0,170250000.0,159860000.0,109700000.0,126420000.0,38930000.0,136320000.0,112840000.0,108580000.0,49860000.0,120180000.0,122950000.0,83860000.0,133940000.0,123230000.0,111520000.0,110420000.0,99260000.0,89840000.0
Despesas operacionais,-120260000.0,-76350000.0,-95690000.0,-69810000.0,-73950000.0,-131300000.00000001,-85770000.0,-85530000.0,-72740000.0,-68560000.0,-107640000.0,-77450000.0,-29970000.0,-85630000.0,-29100000.0,-59970000.0,-47950000.0,-56350000.0,-57670000.0,-18790000.0,-14920000.0,-23610000.0,-31760000.0,-8100000.0,547000.0,1430000.0,-16070000.0,-16040000.0,-12160000.0,-10890000.0,-7630000.0,-29260000.0,-13220000.0,-125500000.0,-119160000.0,-56160000.0,205450000.0,-57800000.0,114650000.0,22560000.0,29250000.0,-35940000.0,-38150000.0,-13760000.0,-22270000.0,41440000.0,-31320000.0,-19650000.0,-19220000.0,16910000.0,-27410000.0,-16410000.0,1580000.0,-25580000.0,-24140000.0,-16160000.0,-24360000.0,-14590000.0,-11960000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,,,,,,,,,,,,,,,,,,-40000.0,-973000.0,-110000.0,-1400000.0,-127000.0,-715000.0,-1070000.0,-57000.0,-10350000.0,-9940000.0,-8130000.000000001,-10580000.0,-10490000.0,-7690000.0,-2540000.0,-1510000.0,-306000.0,-7880000.0,245000.0,-2870000.0,-2830000.0,-771000.0,-457000.0,489000.0,-1950000.0,-341000.0,-135000.0,-1110000.0,-608000.0,87000.0,-433000.0,-1440000.0,-3820000.0,-922000.0,-4160000.0,2560000.0,-4000000.0,-384000.0,-518000.0,265000.0,-1910000.0,-265000.0
Antes dos impostos,307890000.0,307490000.0,255790000.0,251970000.0,282980000.0,232370000.0,215150000.0,259060000.0,309500000.0,279310000.0,275500000.0,155340000.0,150560000.0,320010000.0,128240000.00000001,251220000.0,78530000.0,-76190000.0,-359740000.0,200000000.0,82750000.0,200760000.0,148620000.0,208470000.0,107720000.0,-6730000.0,148980000.0,114370000.0,171610000.0,113230000.0,156930000.0,136790000.0,134340000.0,227710000.0,206210000.0,160810000.0,-67780000.0,142470000.0,29840000.0,85330000.0,86200000.0,132350000.0,121370000.0,95800000.0,103040000.0,79760000.0,105080000.0,92760000.0,87920000.0,62950000.0,91850000.0,102380000.0,88000000.0,104370000.0,98700000.0,94840000.0,86330000.0,82760000.0,77620000.0
Imposto,8170000.0,5620000.0,20920000.0,39520000.0,20000000.0,27690000.0,34660000.0,4770000.0,-18710000.0,-21720000.0,-38860000.0,51420000.0,40070000.0,-145550000.0,33130000.000000004,-110620000.0,23690000.0,165210000.0,477870000.0,-16360000.0,85880000.0,-31780000.0,3030000.0,-91090000.0,45000000.0,155000000.0,-6040000.0,29080000.0,-35010000.0,23390000.0,-29970000.0,2000000.0,-6580000.0,-96950000.0,-89530000.0,-26310000.0,186450000.0,-26730000.0,73370000.0,21400000.0,14840000.0,-28780000.0,-31030000.0,2420000.0,-17360000.0,4360000.0,-26430000.0,-17900000.0,-18770000.0,5210000.0,-24950000.0,-23730000.0,-12490000.0,-27390000.0,-24410000.0,-21600000.0,-20240000.0,-17150000.0,-15230000.0
Op continuadas,316060000.0,313110000.0,276710000.0,291490000.0,302970000.0,260070000.0,249810000.0,263829999.99999997,290790000.0,257579999.99999997,236640000.0,206760000.0,190620000.0,174460000.0,161370000.0,140610000.0,102220000.0,89020000.0,118130000.0,183640000.0,168640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56680000.0,,,,46930000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
