Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,2120000000.0,1410000000.0,1270000000.0,1350000000.0,1180000000.0,1200000000.0,1140000000.0,1190000000.0,980030000.0,853400000.0,765970000.0,681770000.0,615980000.0,356230000.0,262350000.00000003,225990000.0,175870000.0,157070000.0,142680000.0,123140000.0,125090000.0,127460000.0,108690000.0
Custos,-1730000000.0,-1100000000.0,-982550000.0,-1020000000.0,-897920000.0,-901860000.0,-895030000.0,-913610000.0,-742050000.0,-688580000.0,-604980000.0,-525620000.0,-491890000.0,-274940000.0,-207320000.0,-172250000.0,-137620000.0,-121630000.0,-108890000.0,-92940000.0,-100750000.0,-97390000.0,-87290000.0
Lucro bruto,395220000.0,316200000.0,284320000.0,325840000.0,284340000.0,301720000.0,246020000.0,276770000.0,237980000.0,164830000.0,161000000.0,156150000.0,124090000.0,81290000.0,55030000.0,53750000.0,38250000.0,35440000.0,33790000.0,30200000.0,24340000.0,30070000.0,21410000.0
Despesas operacionais,-27960000.0,-13720000.0,-31120000.0,-42660000.0,-14590000.0,-28840000.0,-169370000.0,-25280000.0,-38840000.0,-33910000.0,-30640000.0,-42370000.0,-22730000.0,-15580000.0,-7130000.0,-9390000.0,-10150000.0,-5990000.0,-6570000.0,-8730000.0,-778000.0,-8199999.999999999,-3670000.0
EBIT,367250000.0,302480000.0,253200000.0,283170000.0,269750000.0,272880000.0,76650000.0,251490000.0,199140000.0,130919999.99999999,130360000.00000001,113770000.0,101360000.0,65709999.99999999,47900000.0,44350000.0,28100000.0,29450000.0,27220000.0,21480000.0,23560000.0,21870000.0,17730000.0
Resultado financeiro,-280310000.0,-390340000.0,-419930000.0,-101170000.0,-189860000.0,-195630000.0,-182920000.0,-179420000.0,-158290000.0,-111200000.0,-60430000.0,-54180000.0,-42710000.0,-8820000.0,-363000.0,-5330000.0,-25440000.0,-12330000.0,-11520000.0,-13250000.0,-9480000.0,-8279999.999999999,-9010000.0
Antes dos impostos,86940000.0,-87860000.0,-166730000.0,182000000.0,79890000.0,77250000.0,-106270000.0,72070000.0,40850000.0,19710000.0,69930000.0,59590000.0,58650000.0,56890000.0,47530000.0,39030000.0,2660000.0,17120000.0,15700000.0,8230000.0,14080000.0,13590000.0,8720000.0
Imposto,-42420000.0,3230000.0,-35340000.0,-73090000.0,-45060000.0,-53350000.0,-4720000.0,-49390000.0,-7640000.0,-15760000.0,-20990000.0,-7250000.0,-15010000.0,-16300000.0,-15230000.0,-12740000.0,-2460000.0,-5010000.0,-4770000.0,-5010000.0,-314000.0,-2940000.0,-892000.0
Op continuadas,44530000.0,-84630000.0,-202070000.0,108910000.0,34830000.0,23890000.0,-110990000.0,22680000.0,33200000.000000004,3960000.0,48940000.0,52340000.0,43650000.0,40580000.0,32299999.999999996,26290000.0,196000.0,12110000.0,10930000.0,3220000.0,13770000.0,10650000.0,7830000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,44530000.0,-84630000.0,-202070000.0,108910000.0,34830000.0,23890000.0,-110990000.0,22680000.0,33200000.000000004,3960000.0,48940000.0,52340000.0,43650000.0,40580000.0,32299999.999999996,26290000.0,196000.0,12110000.0,10930000.0,3220000.0,13770000.0,10650000.0,7830000.0
Dos controladores,30130000.0,-139950000.0,-253390000.0,78660000.0,-2400000.0,-33080000.0,-99990000.0,8580000.0,9860000.0,-230000.0,45610000.0,36920000.0,38050000.0,38550000.0,30640000.0,28140000.0,-1900000.0,9930000.0,8650000.0,3070000.0,12600000.0,9090000.0,6740000.0
Dos não controladores,14400000.0,55320000.0,51320000.0,30250000.0,37230000.0,56970000.0,-11000000.0,14100000.0,23340000.0,4190000.0000000005,3330000.0,15420000.0,5590000.0,2040000.0,1660000.0,-1850000.0,2089999.9999999998,2180000.0,2280000.0,150000.0,1170000.0,1560000.0,1090000.0
