Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,2049999999.9999998,1450000000.0,1400000000.0,1700000000.0,1630000000.0,1440000000.0,1410000000.0,1480000000.0,1540000000.0,1350000000.0,1150000000.0,767310000.0,616190000.0,581100000.0,659500000.0,600200000.0,557570000.0,597140000.0,0
Custos,-1730000000.0,-1130000000.0,-1110000000.0,-1370000000.0,-1300000000.0,-1100000000.0,-1080000000.0,-1230000000.0,-1230000000.0,-1050000000.0,-863210000.0,-1370000000.0,189050000.0,-402480000.0,-423650000.0,-425420000.0,-368900000.0,-335820000.0,0
Lucro bruto,319520000.0,321540000.0,291030000.0,334410000.0,326240000.0,340460000.0,331840000.0,255900000.0,304820000.0,300310000.0,282050000.0,-607020000.0,805240000.0,178630000.0,235850000.0,174780000.0,188670000.0,261310000.0,0
Despesas operacionais,189880000.0,-45120000.0,208810000.0,-76100000.0,-100770000.0,-64099999.99999999,-18060000.0,381350000.0,89360000.0,-117080000.0,-105650000.0,-5340000.0,-98540000.0,-72010000.0,141110000.0,16390000.0,-39160000.0,74590000.0,0
EBIT,509400000.0,276420000.0,499840000.0,258310000.0,225460000.0,276360000.0,313780000.0,637250000.0,394190000.0,183240000.0,176400000.0,-612360000.0,706700000.0,106620000.0,376970000.0,191170000.0,149510000.0,335910000.0,0
Resultado financeiro,-102620000.0,-136050000.0,-108980000.0,-76240000.0,-120130000.0,-24450000.0,-17190000.0,2069999999.9999998,-53050000.0,-187450000.0,-164440000.0,-205590000.0,-151570000.0,-199950000.0,-209930000.0,-218290000.0,-222930000.0,-130180000.0,0
Antes dos impostos,406780000.0,140370000.0,390860000.0,182070000.0,105340000.0,251910000.0,296600000.0,2700000000.0,341130000.0,-4220000.0,11960000.0,-817950000.0,555130000.0,-93330000.0,167030000.0,-27120000.0,-73420000.0,205730000.0,0
Imposto,-135950000.0,-49280000.0,-137240000.0,-74470000.0,-943450000.0,-69020000.0,-66640000.0,-251320000.0,-111050000.0,2190000.0,-14550000.0,16230000.0,-238600000.0,7110000.0,-65950000.0,1580000000.0,-11560000.0,-67300000.0,0
Op continuadas,270830000.0,91090000.0,253620000.0,107590000.0,-838120000.0,182880000.0,229950000.0,2450000000.0,230090000.0,-2029999.9999999998,-2580000.0,-801710000.0,316530000.0,-86230000.0,101080000.0,1560000000.0,-84980000.0,138430000.0,0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,270830000.0,91090000.0,253620000.0,107590000.0,-838120000.0,182880000.0,229950000.0,2450000000.0,230090000.0,-2029999.9999999998,-2580000.0,-801710000.0,316530000.0,-86230000.0,101080000.0,1560000000.0,-84980000.0,138430000.0,0
Dos controladores,0,0,0,-317690000.0,0,182880000.0,0,2450000000.0,230090000.0,-2029999.9999999998,-6800000.0,14450000.0,82250000.0,-71060000.0,33100000.0,602980000.0,-46550000.0,58250000.0,0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,4210000.0,-34190000.0,234280000.0,-15170000.0,67980000.0,954480000.0,-38430000.0,80180000.0,0
