Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,2710000000.0,2730000000.0,2470000000.0,2490000000.0,2490000000.0,2480000000.0,2460000000.0,2570000000.0,2510000000.0,2490000000.0,2540000000.0,2430000000.0,2510000000.0,2420000000.0,2400000000.0,2540000000.0,2540000000.0,1910000000.0,1910000000.0,1760000000.0,1710000000.0,1420000000.0,1380000000.0,1460000000.0,1270000000.0,1250000000.0,1110000000.0,1030000000.0,1060000000.0,970900000.0,608330000.0,623650000.0,559150000.0,574470000.0,563510000.0,543230000.0,598330000.0,554630000.0,520440000.00000006,533429999.99999994,544510000.0,463930000.0,488560000.0,470410000.0,535390000.0,599820000.0,521020000.0,499170000.0,521600000.0,541150000.0,502820000.0,471190000.0,493700000.0,467640000.0,525480000.0,526409999.99999994,544090000.0,529000000.0,512049999.99999994
Custos,-275470000.0,-270230000.0,-244990000.0,-251380000.0,-241860000.0,-246900000.0,-251080000.0,-261170000.00000003,-252720000.0,-245160000.0,-259920000.00000003,-252400000.0,-258519999.99999997,0,0,-257440000.0,-246680000.0,0,0,-179510000.0,-176820000.0,0,0,-145110000.0,-116560000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53320000.0,-53160000.0,-54740000.0,-53370000.0,-51530000.0
Lucro bruto,2440000000.0,2460000000.0,2220000000.0,2240000000.0,2250000000.0,2230000000.0,2210000000.0,2310000000.0,2260000000.0,2240000000.0,2280000000.0,2180000000.0,2250000000.0,2420000000.0,2400000000.0,2280000000.0,2290000000.0,1910000000.0,1910000000.0,1580000000.0,1530000000.0,1420000000.0,1380000000.0,1310000000.0,1160000000.0,1250000000.0,1110000000.0,1030000000.0,1060000000.0,970900000.0,608330000.0,623650000.0,559150000.0,574470000.0,563510000.0,543230000.0,598330000.0,554630000.0,520440000.00000006,533429999.99999994,544510000.0,463930000.0,488560000.0,470410000.0,535390000.0,599820000.0,521020000.0,499170000.0,521600000.0,541150000.0,502820000.0,471190000.0,493700000.0,467640000.0,472160000.0,473250000.0,489340000.0,475630000.0,460520000.0
Despesas operacionais,-831700000.0,-728850000.0,-997670000.0,-1070000000.0000001,-901010000.0,-855910000.0,-852420000.0,-975750000.0,-842130000.0,-842030000.0,-853930000.0,-813690000.0,-705540000.0,-748060000.0,-659980000.0,-734040000.0,-715270000.0,-732790000.0,-598070000.0,-656110000.0,-676950000.0,-679060000.0,-663500000.0,-656330000.0,-650390000.0,-531289999.99999994,-601820000.0,-589280000.0,-592890000.0,-671260000.0,-335950000.0,-309230000.0,-446140000.0,-268790000.0,-202040000.0,-1880000000.0,2290000000.0,-157670000.0,-174530000.0,-182880000.0,-142540000.0,-131919999.99999999,-134560000.0,-207580000.0,-150770000.0,-125430000.0,-135670000.0,-223870000.0,-137530000.0,-123760000.0,-128650000.0,-160100000.0,-141260000.0,-144670000.0,-151170000.0,-173570000.0,-144420000.0,-143470000.0,-133800000.00000001
EBIT,1600000000.0,1730000000.0,1220000000.0,1170000000.0,1350000000.0,1370000000.0,1360000000.0,1330000000.0,1420000000.0,1400000000.0,1430000000.0,1370000000.0,1550000000.0,1670000000.0,1740000000.0,1550000000.0,1570000000.0,1180000000.0,1310000000.0,922550000.0,852820000.0,742020000.0,714750000.0,657210000.0,505540000.0,719240000.0,510110000.0,444310000.0,467870000.0,299640000.0,272380000.0,314420000.0,113000000.0,305690000.0,361470000.0,-1330000000.0,2890000000.0,396960000.0,345910000.0,350550000.0,401970000.0,332010000.0,353990000.0,262829999.99999997,384620000.0,474390000.0,385350000.0,275300000.0,384070000.0,417390000.0,374180000.0,311090000.0,352440000.0,322970000.0,320980000.0,299680000.0,344920000.0,332160000.0,326710000.0
Resultado financeiro,73560000.0,-38760000.0,45370000.0,24540000.0,39120000.0,102750000.0,142150000.0,48600000.0,-50100000.0,-15260000.0,229030000.0,86580000.0,20520000.0,132090000.0,-43850000.0,63500000.0,-26430000.0,-11410000.0,-112220000.0,36000000.0,-5480000.0,55600000.0,20780000.0,38100000.0,-12120000.0,-57160000.0,-22500000.0,-25240000.0,18990000.0,-58370000.0,158130000.0,188210000.0,221530000.0,-418290000.0,160540000.0,289820000.0,86030000.0,71360000.0,61590000.0,54050000.0,47040000.0,59290000.0,47770000.0,50900000.0,49580000.0,43090000.0,37130000.0,43110000.0,45520000.0,54680000.0,65540000.00000001,64069999.99999999,82650000.0,70810000.0,63190000.0,72260000.0,74930000.0,75540000.0,66310000.0
Antes dos impostos,1680000000.0,1690000000.0,1270000000.0,1200000000.0,1390000000.0,1480000000.0,1500000000.0,1380000000.0,1370000000.0,1380000000.0,1660000000.0,1450000000.0,1570000000.0,1800000000.0,1690000000.0,1610000000.0,1550000000.0,1160000000.0,1190000000.0,958560000.0,847340000.0,797620000.0,735530000.0,695310000.0,493420000.0,662080000.0,487610000.0,419070000.0,486860000.0,241270000.0,430510000.0,502630000.0,334530000.0,-112600000.0,522010000.0,-1040000000.0,2970000000.0,468320000.0,407500000.0,404600000.0,449010000.0,391300000.0,401770000.0,313730000.0,434200000.0,517470000.0,422480000.0,318410000.0,429590000.0,472070000.0,439720000.0,375150000.0,435100000.0,393780000.0,384180000.0,371950000.0,419850000.0,407690000.0,393020000.0
Imposto,-473240000.0,-445370000.0,-319460000.0,-279860000.0,-312010000.0,-424120000.0,-409660000.0,-376400000.0,-336330000.0,-292070000.0,-558750000.0,-360390000.0,-393590000.0,-608410000.0,-436850000.0,-512380000.0,-410600000.0,-272370000.0,-169790000.0,-225630000.0,-127740000.0,-143070000.0,-129410000.0,-112310000.0,-28010000.0,63130000.0,-172870000.0,97080000.0,-150520000.0,-77790000.0,-149840000.0,425440000.0,-41870000.0,-1540000.0,-182530000.0,635540000.0,-961500000.0,-150050000.0,-127750000.0,-164390000.0,-210320000.0,-140930000.0,-145320000.0,-132250000.0,-152340000.0,-166530000.0,-155470000.0,-101230000.0,-152940000.0,-172070000.0,-159300000.0,-184040000.0,-143170000.0,-99590000.0,-112880000.0,-110110000.0,-126650000.0,-102470000.0,-108810000.0
Op continuadas,1200000000.0,1240000000.0,949570000.0,915800000.0,1070000000.0000001,1050000000.0,1090000000.0,1000000000.0,1030000000.0,1090000000.0,1100000000.0,1090000000.0,1180000000.0,1190000000.0,1260000000.0,1100000000.0,1140000000.0,891760000.0,1030000000.0,732930000.0,719610000.0,654550000.0,606120000.0,583000000.0,465410000.0,725210000.0,314740000.0,516150000.0,336350000.0,163480000.0,280670000.0,928070000.0,292660000.0,-114140000.0,339480000.0,-407490000.0,2009999999.9999998,318270000.0,279750000.0,240210000.0,238690000.0,250370000.0,256440000.0,181480000.0,281860000.0,350950000.0,267010000.0,217180000.0,276650000.0,300000000.0,280420000.0,191120000.0,291930000.0,294190000.0,271290000.0,261839999.99999997,293210000.0,305220000.0,284210000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7430000.0,3000.0,-157000.0,-222000.0,-349000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,1200000000.0,1240000000.0,949570000.0,915800000.0,1070000000.0000001,1050000000.0,1090000000.0,1000000000.0,1030000000.0,1090000000.0,1100000000.0,1090000000.0,1180000000.0,1190000000.0,1260000000.0,1100000000.0,1140000000.0,891760000.0,1030000000.0,732930000.0,719610000.0,654550000.0,606120000.0,583000000.0,465410000.0,725210000.0,314740000.0,516150000.0,336350000.0,163480000.0,280670000.0,928070000.0,292660000.0,-114140000.0,339480000.0,-407490000.0,2009999999.9999998,318270000.0,279750000.0,232780000.0,238690000.0,250220000.0,256220000.00000003,181130000.0,281860000.0,350950000.0,267010000.0,217180000.0,276650000.0,300000000.0,280420000.0,191120000.0,291930000.0,294190000.0,271290000.0,261839999.99999997,293210000.0,305220000.0,284210000.0
