Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,61160000000.0,69610000000.0,64580000000.0,62610000000.0,71340000000.0,60870000000.0,58420000000.0,59980000000.0,68170000000.0,65060000000.0,36430000000.0,42780000000.0,40150000000.0,16140000000.0,31190000000.0,18290000000.0,26330000000.0,29690000000.0,47430000000.0,27810000000.0,37580000000.0,31310000000.0,31710000000.0,28540000000.0,34390000000.0,42050000000.0,30180000000.0,35130000000.0,34119999999.999996,40950000000.0,39460000000.0,44870000000.0,47070000000.0,37090000000.0,36310000000.0,39970000000.0,58730000000.0,35780000000.0,46360000000.0,37970000000.0,37240000000.0,30050000000.0,28660000000.0,28960000000.0,26020000000.0,26620000000.0,21980000000.0,22400000000.0,22910000000.0,24800000000.0,22500000000.0,22800000000.0,26810000000.0,21530000000.0,19860000000.0,19180000000.0,18440000000.0,17260000000.0,16550000000.0
Custos,-47690000000.0,-54830000000.0,-51950000000.0,-49260000000.0,-57760000000.0,-47510000000.0,-45270000000.0,-47740000000.0,-55380000000.0,-52220000000.0,-24640000000.0,-33360000000.0,-31630000000.0,-2300000000.0,-22260000000.0,-8620000000.0,-20430000000.0,-24160000000.0,-47530000000.0,-21480000000.0,-32509999999.999996,-23000000000.0,-23640000000.0,-20480000000.0,-27040000000.0,-37010000000.0,-23830000000.0,-28250000000.0,-26380000000.0,-34780000000.0,-32380000000.000004,-38160000000.0,-39650000000.0,-27990000000.0,-27950000000.0,-33070000000.0,-60210000000.0,-29060000000.0,-41530000000.0,-32280000000.0,-32150000000.0,-23690000000.0,-21930000000.0,-23200000000.0,-19520000000.0,-21300000000.0,-14720000000.0,-15040000000.0,-16110000000.0,-18930000000.0,-16180000000.0,-16440000000.000002,-22110000000.0,-15150000000.0,-14090000000.0,-12700000000.0,-12770000000.0,-11510000000.0,-11470000000.0
Lucro bruto,13460000000.0,14780000000.0,12630000000.0,13350000000.0,13580000000.0,13360000000.0,13150000000.0,12240000000.0,12790000000.0,12840000000.0,11790000000.0,9420000000.0,8520000000.0,13830000000.0,8930000000.0,9660000000.0,5900000000.0,5540000000.0,-97770000.0,6330000000.0,5070000000.0,8310000000.000001,8060000000.000001,8060000000.000001,7350000000.0,5040000000.0,6350000000.0,6880000000.0,7740000000.0,6170000000.0,7080000000.0,6710000000.0,7420000000.0,9100000000.0,8359999999.999999,6900000000.0,-1480000000.0,6720000000.0,4830000000.0,5690000000.0,5090000000.0,6360000000.0,6740000000.0,5760000000.0,6500000000.0,5310000000.0,7260000000.0,7360000000.0,6800000000.0,5860000000.0,6320000000.0,6360000000.0,4700000000.0,6380000000.0,5770000000.0,6480000000.0,5680000000.0,5760000000.0,5080000000.0
Despesas operacionais,-4410000000.0,-4280000000.0000005,-3840000000.0,-4370000000.0,-3460000000.0,-3250000000.0,-2830000000.0,-1210000000.0,-2020000000.0,-2850000000.0,-3900000000.0,-2880000000.0,-2640000000.0,-7270000000.0,-4920000000.0,-6580000000.0,-3150000000.0,-2740000000.0,693610000.0,-7450000000.0,-2280000000.0,-5620000000.0,-3800000000.0,-2700000000.0,-3330000000.0,-1990000000.0,-3270000000.0,-3180000000.0,-4190000000.0000005,-3070000000.0,-4110000000.0000005,-6110000000.0,-4700000000.0,-5520000000.0,-5320000000.0,-4050000000.0,-3180000000.0,-3430000000.0,-236940000.0,-2710000000.0,-2660000000.0,-2920000000.0,-3020000000.0,-2420000000.0,-3150000000.0,-3810000000.0,-3770000000.0,-2600000000.0,-3510000000.0,-1760000000.0,-2880000000.0,-1640000000.0,-1570000000.0,-1370000000.0,-1350000000.0,-910130000.0,-1880000000.0,-1550000000.0,-1600000000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,,,,,,,,,,,,,,,,,-2570000.0,11570000.0,33000.0,-4390000.0,-10800000.0,41070000.0,-3460000.0,-4160000.0,10080000.0,134840000.0,-16270000.0,-2180000.0,-113290000.0,6770000.0,-6880000.0,8800000.0,3810000.0,17310000.0,-18280000.0,-17040000.0,9150000.0,13560000.0,-24910000.0,27130000.0,37990000.0,31040000.0,18440000.0,41050000.0,32970000.0,9860000000.0,9850000.0,1110000000.0,60730000.0,43630000.0,25060000.0,44980000.0,22260000.0,97110000.0,11840000.0,2180000.0,15710000.0,43730000.0,128880000.0
Antes dos impostos,9050000000.0,10500000000.0,8780000000.0,8980000000.0,10120000000.0,10100000000.0,10310000000.0,11020000000.0,10770000000.0,10000000000.0,7890000000.0,6540000000.0,5880000000.0,6560000000.0,4010000000.0,3080000000.0,2750000000.0,2800000000.0,595830000.0,-1150000000.0,2780000000.0,2720000000.0,4260000000.0,5360000000.0,4030000000.0000005,3190000000.0,3060000000.0,3700000000.0,3440000000.0,3110000000.0,2960000000.0,613730000.0,2730000000.0,3600000000.0,3020000000.0,2840000000.0,-4650000000.0,3300000000.0,4570000000.0,3000000000.0,2470000000.0,3480000000.0,3740000000.0,3380000000.0,3380000000.0,11360000000.0,3490000000.0,5870000000.0,3350000000.0,4150000000.0000005,3460000000.0,4760000000.0,3150000000.0,5110000000.0,4430000000.0,5570000000.0,3810000000.0,4250000000.0,3610000000.0
Imposto,988910000.0,-471320000.0,1120000000.0,926410000.0,-660020000.0,-709690000.0,-1150000000.0,-1360000000.0,-1650000000.0,-1370000000.0,-449490000.0,-547880000.0,-749370000.0,-261740000.0,666660000.0,385430000.0,688180000.0,771180000.0,3010000000.0,12260000000.0,-150960000.0,-187880000.0,-294840000.0,578180000.0,-552890000.0,-160350000.0,-47360000.0,246700000.0,-30000000.0,-196930000.0,-306590000.0,1470000000.0,-1430000000.0,-2430000000.0,-1690000000.0,-166710000.0,236720000.0,-644240000.0,-592350000.0,283770000.0,-626450000.0,-1450000000.0,-745510000.0,1390000000.0,-832200000.0,-4400000000.0,-1220000000.0,-580780000.0,-1350000000.0,-1200000000.0,-1820000000.0,-54880000.0,-1200000000.0,-1420000000.0,-1600000000.0,-714820000.0,-1370000000.0,-1690000000.0,-1230000000.0
Op continuadas,10040000000.0,10030000000.0,9900000000.0,9910000000.0,9460000000.0,9390000000.0,9160000000.0,9670000000.0,9120000000.0,8630000000.0,7440000000.0,5990000000.0,5130000000.0,6300000000.0,4680000000.0,3470000000.0,3430000000.0,3570000000.0,3600000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
