Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,45640000000.0,54430000000.0,45940000000.0,41670000000.0,51070000000.0,45600000000.0,46130000000.0,40160000000.0,46730000000.0,51980000000.0,22710000000.0,30930000000.0,28550000000.0,20100000000.0,23160000000.0,22490000000.0,22990000000.0,18280000000.0,16100000000.000002,24190000000.0,23280000000.0,24710000000.0,26820000000.0,26560000000.0,24600000000.0,17320000000.0,23700000000.0,24010000000.0,29790000000.0,29270000000.0,34720000000.0,38460000000.0,31850000000.0,34009999999.999996,33460000000.0,29520000000.0,26660000000.0,27590000000.0,27200000000.0,25320000000.0,23530000000.0,23660000000.0,21840000000.0,17230000000.0,21180000000.0,20200000000.0,18380000000.0,18950000000.0,19150000000.0,20040000000.0,20540000000.0,20330000000.0,22560000000.0,19420000000.0,18140000000.0,17200000000.0,17240000000.0,15130000000.0,13730000000.0
Custos,-37120000000.0,-46900000000.0,-39560000000.0,-36070000000.0,-45420000000.0,-40510000000.0,-40450000000.0,-38850000000.0,-39780000000.0,-43370000000.0,-13470000000.0,-24590000000.0,-21030000000.0,-2930000000.0,-16370000000.000002,-23260000000.0,-9250000000.0,-19590000000.0,-43480000000.0,-21210000000.0,-20150000000.0,-12950000000.0,-18600000000.0,-13320000000.0,-19270000000.0,-23320000000.0,-15660000000.0,-20260000000.0,-18780000000.0,-26110000000.0,-27720000000.0,-31470000000.0,-27480000000.0,-17390000000.0,-18000000000.0,-22080000000.0,-46910000000.0,-19290000000.0,-33390000000.0,-25630000000.0,-25640000000.0,-17450000000.0,-16129999999.999998,-19340000000.0,-17390000000.0,-19920000000.0,-12910000000.0,-14170000000.0,-14580000000.0,-18960000000.0,-15520000000.0,-16760000000.000002,-24880000000.0,-14730000000.0,-14270000000.0,-13220000000.0,-12900000000.0,-11830000000.0,-10710000000.0
Lucro bruto,8510000000.0,7530000000.0,6380000000.0,5600000000.0,5660000000.0,5080000000.0,5670000000.0,1310000000.0,6950000000.0,8610000000.0,9240000000.0,6340000000.0,7510000000.0,17160000000.0,6790000000.0,-770440000.0,13740000000.0,-1310000000.0,-27380000000.0,2970000000.0,3120000000.0,11760000000.0,8210000000.000001,13240000000.0,5330000000.0,-6000000000.0,8039999999.999999,3750000000.0,11010000000.0,3160000000.0,7000000000.0,6990000000.0,4360000000.0,16620000000.000002,15460000000.0,7440000000.0,-20250000000.0,8300000000.000001,-6190000000.0,-317040000.0,-2109999999.9999998,6210000000.0,5710000000.0,-2120000000.0,3780000000.0,281330000.0,5470000000.0,4780000000.0,4570000000.0,1080000000.0,5020000000.0,3570000000.0,-2320000000.0,4690000000.0,3870000000.0,3990000000.0,4340000000.0,3300000000.0,3020000000.0
Despesas operacionais,-4310000000.0,-4350000000.0,-3730000000.0,-7470000000.0,-3380000000.0,-3210000000.0,-3120000000.0,-2740000000.0,-2480000000.0,-1250000000.0,-2260000000.0,-4070000000.0000005,-504180000.0,-7750000000.0,-696690000.0,9490000000.0,-10090000000.0,763070000.0,15990000000.0,-6750000000.0,-194120000.0,-4890000000.0,-2580000000.0,-5330000000.0,-1150000000.0,6360000000.0,-2630000000.0,-1570000000.0,-7320000000.0,-1040000000.0,-1870000000.0,-4200000000.0,-2290000000.0,-8539999999.999999,-6870000000.0,-980020000.0,11270000000.0,-2430000000.0,6330000000.0,2790000000.0,3580000000.0,-1790000000.0,-1950000000.0,3420000000.0,-977880000.0,1120000000.0,-2210000000.0,-2320000000.0,-1690000000.0,407530000.0,-2060000000.0,-1560000000.0,3920000000.0,-1720000000.0,-1250000000.0,-1100000000.0,-1560000000.0,-897740000.0,-1040000000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,,,,,,,,,,,,,,,,,,-30000000.0,23090000.0,-37030000.0,-114870000.0,-172630000.0,-96560000.0,-257860000.0,-309810000.0,-118140000.0,-177320000.0,-201710000.0,-191900000.0,-150960000.0,-125060000.0,-377700000.0,-271920000.0,-99660000.0,-88980000.0,-146370000.0,-129240000.00000001,-99750000.0,-54330000.0,-93460000.0,-57020000.0,-74610000.0,-39170000.0,-119690000.0,-49060000.0,-202000.0,-8550000.0,-28320000.0,-25070000.0,-37590000.0,-14440000.0,1380000.0,-14320000.0,-23190000.0,-14570000.0,23340000.0,-35220000.0,-19710000.0,-21720000.0
Antes dos impostos,4200000000.0,3180000000.0,2650000000.0,-1880000000.0,2280000000.0,1870000000.0,2560000000.0,-1430000000.0,4470000000.0,7360000000.0,6970000000.0,2270000000.0,7010000000.0,9420000000.0,6100000000.0,8720000000.0,3650000000.0,-548670000.0,-11390000000.0,-3770000000.0,2930000000.0,6700000000.0,5540000000.0,7650000000.0,3870000000.0,241570000.0,5230000000.0,1980000000.0,3510000000.0,1960000000.0,5000000000.0,2410000000.0,1800000000.0,7980000000.0,8510000000.0,6310000000.0,-9110000000.0,5770000000.0,86430000.0,2380000000.0,1410000000.0,4340000000.0,3720000000.0,1180000000.0,2750000000.0,1400000000.0,3250000000.0,2430000000.0,2860000000.0,1450000000.0,2950000000.0,2009999999.9999998,1580000000.0,2950000000.0,2610000000.0,2910000000.0,2740000000.0,2380000000.0,1950000000.0
Imposto,1070000000.0000001,1530000000.0,1590000000.0,3620000000.0,2340000000.0,2650000000.0,1720000000.0,2860000000.0,727240000.0,-347260000.0,-8170000.0,1050000000.0,-337400000.0,-3420000000.0,121130000.0,-3040000000.0,542820000.0,4080000000.0,14750000000.0,9080000000.0,2910000000.0,-656650000.0,280390000.0,-2570000000.0,1140000000.0,4290000000.0,-764590000.0,1820000000.0,-622500000.0,1950000000.0,-927140000.0,1180000000.0,1440000000.0,-3840000000.0,-4380000000.0,-1960000000.0,13230000000.0,-1300000000.0,4160000000.0,1610000000.0,2460000000.0,-563230000.0,-275510000.0,1900000000.0,310070000.0,1550000000.0,-333570000.0,460980000.0,4850000.0,1380000000.0,-153620000.0,717680000.0,1230000000.0,-165220000.0,93910000.0,80500000.0,-216730000.0,25700000.0,151600000.0
Op continuadas,5270000000.0,4710000000.0,4230000000.0000005,1740000000.0,4620000000.0,4520000000.0,4280000000.0000005,1430000000.0,5190000000.0,7010000000.0,6960000000.0,3320000000.0,6670000000.0,6000000000.0,6220000000.0,5670000000.0,4190000000.0000005,3540000000.0,3360000000.0,5300000000.0,5840000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Op descontinuadas,-44080000.0,10620000.0,-23720000.0,-37860000.0,-369000.0,-1900000.0,1150000.0,9260000.0,17210000.0,62210000.0,45610000.0,-152630000.0,-22570000.0,-23330000.0,-63530000.0,-209020000.0,0,-30000000.0,23090000.0,-421080000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
