Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,8500000000.0,7670000000.0,7190000000.0,6170000000.0,7070000000.0,7280000000.0,6380000000.0,6840000000.0,8439999999.999999,8470000000.000001,7230000000.0,7510000000.0,7370000000.0,6290000000.0,5800000000.0,5700000000.0,5140000000.0,4400000000.0,4170000000.0,4860000000.0,4510000000.0,4019999999.9999995,3730000000.0,4610000000.0,4340000000.0,3740000000.0,3530000000.0,3960000000.0,3420000000.0,2580000000.0,2140000000.0000002,2560000000.0,2530000000.0,2220000000.0,2340000000.0,2750000000.0,2390000000.0,2230000000.0,2160000000.0,2130000000.0,1810000000.0,1660000000.0,1400000000.0,1440000000.0,1500000000.0,1320000000.0,1190000000.0,1210000000.0,1150000000.0,1080000000.0,944060000.0,1090000000.0,1060000000.0,940210000.0,880380000.0,865550000.0,909940000.0,888300000.0,744410000.0
Custos,-6730000000.0,-6000000000.0,-5760000000.0,-4800000000.0,-5590000000.0,-5760000000.0,-5230000000.0,-5500000000.0,-6780000000.0,-6950000000.0,-6000000000.0,-6100000000.0,-6110000000.0,-5240000000.0,-4860000000.0,-4650000000.0,-4130000000.0,-3380000000.0,-3420000000.0,-3790000000.0,-3670000000.0,-3300000000.0,-3070000000.0,-3840000000.0,-3520000000.0,-3060000000.0,-2950000000.0,-3260000000.0,-2800000000.0,-2069999999.9999998,-1730000000.0,-2100000000.0,-2040000000.0,-1770000000.0,-1850000000.0,-2130000000.0,-1890000000.0,-1830000000.0,-1750000000.0,-1740000000.0,-1450000000.0,-1330000000.0,-1120000000.0,-1140000000.0,-1170000000.0,-1060000000.0,-967260000.0,-955310000.0,-886090000.0,-863070000.0,-759740000.0,-911380000.0,-909380000.0,-797090000.0,-758640000.0,-721200000.0,-726830000.0,-697400000.0,-614780000.0
Lucro bruto,1770000000.0,1670000000.0,1430000000.0,1370000000.0,1480000000.0,1510000000.0,1150000000.0,1330000000.0,1660000000.0,1520000000.0,1230000000.0,1400000000.0,1260000000.0,1040000000.0,943920000.0,1060000000.0,1010000000.0,1020000000.0,750630000.0,1070000000.0000001,836530000.0,728380000.0,660610000.0,770790000.0,822430000.0,675960000.0,579120000.0,701320000.0,620120000.0,504500000.0,411100000.0,457630000.0,491020000.0,451550000.0,485130000.0,620220000.0,499360000.0,401120000.0,402170000.0,383170000.0,356460000.0,331160000.0,282790000.0,308510000.0,322880000.0,266740000.0,227730000.0,251350000.0,265899999.99999997,214110000.0,184320000.0,181180000.0,154430000.0,143120000.0,121750000.0,144360000.0,183100000.0,190900000.0,129630000.0
Despesas operacionais,-1130000000.0,-1070000000.0000001,-952570000.0,-866500000.0,-902830000.0,-940980000.0,-753040000.0,-837240000.0,-955290000.0,-846650000.0,-675000000.0,-766760000.0,-707460000.0,-583380000.0,-552010000.0,-516840000.00000006,-548580000.0,-523419999.99999994,-452300000.0,-533840000.00000006,-449320000.0,-419760000.0,-427560000.0,-393440000.0,-421530000.0,-992060000.0,-366760000.0,-396470000.0,-357380000.0,-254970000.0,-238700000.0,-248640000.0,-261790000.00000003,-234170000.0,-253750000.0,-326220000.0,-241190000.0,-202200000.0,-231490000.0,-240420000.0,-192840000.0,-166360000.0,-160400000.0,-204620000.0,-173720000.0,-146560000.0,-141440000.0,-120030000.0,-144170000.0,-114100000.0,-118940000.0,-71380000.0,-93950000.0,-75030000.0,-77770000.0,-80360000.0,-128690000.0,-128229999.99999999,-91840000.0
EBIT,647980000.0,595170000.0,476590000.0,503240000.0,574690000.0,571400000.0,400860000.0,497630000.0,703560000.0,671040000.0,551010000.0,634780000.0,548810000.0,459910000.0,391920000.0,540540000.0,459090000.0,495810000.0,298330000.0,533200000.00000006,387220000.0,308610000.0,233050000.0,377350000.0,400900000.0,-316100000.0,212370000.0,304860000.0,262740000.0,249540000.0,172410000.0,208990000.0,229230000.0,217380000.0,231390000.0,294000000.0,258170000.00000003,198910000.0,170680000.0,142750000.0,163620000.0,164800000.0,122380000.0,103890000.0,149160000.0,120180000.0,86280000.0,131310000.0,121730000.0,100000000.0,65379999.99999999,109800000.0,60480000.0,68090000.0,43980000.0,63990000.0,54410000.0,62670000.0,37790000.0
Resultado financeiro,-565470000.0,-492790000.0,-626470000.0,-462110000.0,-535870000.0,-427080000.0,-283990000.0,-562390000.0,-523010000.0,-262100000.00000003,-687630000.0,-542570000.0,-463990000.0,-322270000.0,-120980000.0,-435850000.0,-382230000.0,-201460000.0,-8210000.000000001,-455910000.0,-461550000.0,-414750000.0,-262490000.0,-452450000.0,-530110000.0,-1160000000.0,-336190000.0,-580350000.0,-155740000.0,-321900000.0,-132639999.99999999,-222550000.0,-214060000.0,-74240000.0,-125550000.0,-213970000.0,-665670000.0,-32280000.0,-755750000.0,-477980000.0,-345650000.0,-146830000.0,-42680000.0,-233380000.0,-146830000.0,-323320000.0,-72000000.0,-106250000.0,-100900000.0,-274230000.0,-138420000.0,-104700000.0,-133840000.0,-69420000.0,-66800000.0,-93290000.0,-20170000.0,-63880000.0,-63060000.0
Antes dos impostos,82510000.0,102380000.0,-149880000.0,41140000.0,38820000.0,144320000.0,116870000.0,-64760000.00000001,180550000.0,408940000.0,-136620000.0,92210000.0,84820000.0,137640000.0,270940000.0,104700000.0,76860000.0,294350000.0,290110000.0,77290000.0,-74340000.0,-106130000.0,-29430000.0,-75100000.0,-129210000.00000001,-1480000000.0,-123820000.0,-275500000.0,107000000.0,-72370000.0,39770000.0,-13570000.0,15180000.0,143140000.0,105830000.0,80030000.0,-407500000.0,166630000.0,-585070000.0,-335240000.0,-182030000.0,17970000.0,79700000.0,-129490000.00000001,2330000.0,-203130000.0,14290000.0,25060000.0,20830000.0,-174220000.0,-73040000.0,5100000.0,-73370000.0,-1320000.0,-22820000.0,-29290000.0,34240000.0,-1200000.0,-25270000.0
Imposto,11590000.0,-6940000.0,-36270000.0,-21330000.0,102200000.0,-23590000.0,-2910000.0,39080000.0,-39060000.0,15730000.0,251210000.0,58080000.0,-12450000.0,-20970000.0,-11390000.0,9430000.0,-18510000.0,-40940000.0,-18910000.0,166330000.0,-8400000.0,-7190000.0,-1970000.0,-16960000.0,-2820000.0,554910000.0,9100000.0,-37850000.0,-21180000.0,16750000.0,-37300000.0,25860000.0,32270000.000000004,-54150000.0,-59520000.0,-13530000.0,-38600000.0,230000.0,-2130000.0,23200000.0,-11790000.0,571000.0,-10610000.0,4870000.0,-897000.0,6820000.0,-9070000.0,-46850000.0,-262000.0,43370000.0,6300000.0,9970000.0,88830000.0,-2100000.0,37420000.0,58900000.0,-9690000.0,-6000000.0,1220000.0
Op continuadas,94090000.0,95440000.0,-186150000.0,19810000.0,141030000.0,120730000.0,113960000.0,-25680000.0,141480000.0,424670000.0,114590000.0,150290000.0,72370000.0,116670000.0,259550000.0,114130000.0,58340000.0,253410000.0,271200000.0,243620000.0,-82740000.0,-113320000.0,-31410000.0,-92060000.0,-132030000.0,-925980000.0,-114720000.0,-313350000.0,85820000.0,-55610000.0,2460000.0,12290000.0,47440000.0,88990000.0,46310000.0,66500000.0,-446110000.0,166860000.0,-587210000.0,-312040000.0,-193820000.0,18540000.0,69100000.0,-124620000.0,1430000.0,-196320000.0,5220000.0,-21790000.0,20570000.0,-130850000.0,-66739999.99999999,15070000.0,15460000.0,-3420000.0,14600000.0,29610000.0,24550000.0,-7200000.0,-24060000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,94090000.0,95440000.0,-186150000.0,19810000.0,141030000.0,120730000.0,113960000.0,-25680000.0,141480000.0,424670000.0,114590000.0,150290000.0,72370000.0,116670000.0,259550000.0,114130000.0,58340000.0,253410000.0,271200000.0,243620000.0,-82740000.0,-113320000.0,-31410000.0,-92060000.0,-132030000.0,-925980000.0,-114720000.0,-313350000.0,85820000.0,-55610000.0,2460000.0,12290000.0,47440000.0,88990000.0,46310000.0,66500000.0,-446110000.0,166860000.0,-587210000.0,-312040000.0,-193820000.0,18540000.0,69100000.0,-124620000.0,1430000.0,-196320000.0,5220000.0,-21790000.0,20570000.0,-130850000.0,-66739999.99999999,15070000.0,15460000.0,-3420000.0,14600000.0,29610000.0,24550000.0,-7200000.0,-24060000.0
Dos controladores,86060000.0,88430000.0,-200930000.0,27770000.0,155500000.0,118010000.0,119780000.0,-28210000.0,141480000.0,424670000.0,114590000.0,150290000.0,72370000.0,116670000.0,259550000.0,114130000.0,58340000.0,253410000.0,271200000.0,243620000.0,-82740000.0,-113320000.0,-31410000.0,-92060000.0,-132030000.0,-925980000.0,-114720000.0,-313350000.0,85820000.0,-55850000.0,2360000.0,12210000.0,47390000.0,88970000.0,46300000.0,66330000.0,-446630000.0,166930000.0,-587330000.0,-312000000.0,-193740000.0,18590000.0,68910000.0,-124750000.0,1360000.0,-196150000.0,5570000.0,-19410000.0,21390000.0,-130340000.0,-65739999.99999999,14820000.0,18770000.0,-1500000.0,13270000.0,27840000.0,24470000.0,-7420000.0,-24020000.0
Dos não controladores,8039999.999999999,7000000.0,14780000.0,-7960000.0,-14470000.0,2720000.0,-5820000.0,2530000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241000.0,99000.0,79000.0,54000.0,23000.0,9000.0,172000.0,526000.0,-70000.0,129000.0,-40000.0,-85000.0,-47000.0,182000.0,138000.0,73000.0,-172000.0,-355000.0,-2390000.0,-820000.0,-519000.0,-996000.0,251000.0,-3310000.0,-1920000.0,1330000.0,1770000.0,84000.0,212000.0,-40000.0
