Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,4139999999.9999995,4000000000.0,3960000000.0,3990000000.0,3920000000.0,3810000000.0,3870000000.0,3670000000.0,3690000000.0,3880000000.0,2980000000.0,3020000000.0,2790000000.0,2740000000.0,1930000000.0,2620000000.0,2069999999.9999998,2490000000.0,2400000000.0,2200000000.0,2160000000.0,2020000000.0,1770000000.0,1670000000.0,1830000000.0,1900000000.0,1680000000.0,1750000000.0,1720000000.0,2190000000.0,2049999999.9999998,1880000000.0,1860000000.0,1290000000.0,1290000000.0,1660000000.0,2160000000.0,1600000000.0,1930000000.0,1630000000.0,1220000000.0,1040000000.0,933510000.0,1030000000.0,987500000.0,1040000000.0,880750000.0,892080000.0,630480000.0,635820000.0,655780000.0,391230000.0,898470000.0,325160000.0,936460000.0,33720000.0,0,0,0
Custos,-2210000000.0,-2190000000.0,-2060000000.0,-1860000000.0,-1930000000.0,-1990000000.0,-2089999999.9999998,-1950000000.0,-1790000000.0,-1990000000.0,-1550000000.0,-1400000000.0,-1050000000.0,-913900000.0,-556910000.0,-793950000.0,-682900000.0,-863430000.0,-1340000000.0,-1100000000.0,-997290000.0,-904470000.0,-823100000.0,-727040000.0,-813390000.0,-940930000.0,-711920000.0,-789490000.0,-791500000.0,-927460000.0,-942260000.0,-930890000.0,-1020000000.0,-692710000.0,-807530000.0,-956900000.0,-1530000000.0,-748030000.0,-1350000000.0,-923860000.0,-898920000.0,-637680000.0,-582750000.0,-620090000.0,-538770000.0,-595250000.0,-528780000.0,-607390000.0,-666840000.0,-744770000.0,-466360000.0,-462940000.0,-847540000.0,-265279999.99999997,-332140000.0,-39390000.0,0,0,0
Lucro bruto,1940000000.0,1810000000.0,1900000000.0,2130000000.0,1990000000.0,1830000000.0,1780000000.0,1720000000.0,1900000000.0,1890000000.0,1440000000.0,1620000000.0,1740000000.0,1820000000.0,1370000000.0,1830000000.0,1390000000.0,1630000000.0,1070000000.0000001,1100000000.0,1160000000.0,1120000000.0,950290000.0,939080000.0,1010000000.0,959020000.0,969000000.0,956880000.0,931880000.0,1270000000.0,1110000000.0,953860000.0,840000000.0,599390000.0,477790000.0,707890000.0,634330000.0,848550000.0,587120000.0,708860000.0,323290000.0,402080000.0,350750000.0,412320000.0,448730000.0,447470000.0,351960000.0,284690000.0,-36360000.0,-108950000.0,189410000.0,-71710000.0,50920000.0,59880000.0,604320000.0,-5670000.0,0,0,0
Despesas operacionais,-1690000000.0,-1600000000.0,-1670000000.0,-1920000000.0,-1780000000.0,-1630000000.0,-1580000000.0,-1530000000.0,-1700000000.0,-1700000000.0,-1200000000.0,-1320000000.0,-1480000000.0,-1560000000.0,-1080000000.0,-1580000000.0,-1150000000.0,-1420000000.0,-855490000.0,-1360000000.0,-973390000.0,-935100000.0,-820620000.0,-790460000.0,-912730000.0,-862360000.0,-853230000.0,-992430000.0,-910990000.0,-1170000000.0,-1070000000.0000001,-919310000.0,-884710000.0,-784990000.0,-622550000.0,-571810000.0,-807760000.0,-807680000.0,-692130000.0,-748950000.0,-424990000.0,-506070000.0,-480630000.0,-554710000.0,-461840000.0,-496340000.0,-344200000.0,-353870000.0,-314340000.0,-341610000.0,-271270000.0,-225800000.0,-275950000.0,-200960000.0,-430010000.0,-142780000.0,0,0,0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,-5010000.0,-4740000.0,-697000.0,3710000.0,-8540000.0,0,957000.0,8279999.999999999,-821000.0,7710000.0,4440000.0,14590000.0,17440000.0,5220000.0,-8390000.0,9750000.0,20880000.0,-721000.0,-1130000.0,-8910000.0,-2460000.0,-15320000.0,-7270000.0,-9920000.0,-6480000.0,-1980000.0,-3140000.0,156320000.0,1910000.0,-8150000.0,3840000.0,-14870000.0,-14490000.0,-16210000.0,-14030000.0,-19280000.0,-10900000.0,-12690000.0,-11600000.0,369870000.0,-14880000.0,-13550000.0,-14690000.0,-4810000.0,-22280000.0,-21900000.0,-10010000.0,-36670000.0,-36240000.0,-26490000.0,-11750000.0,-14910000.0,-13070000.0,-35210000.0,-36840000.0,-17030000.0,0,0,0
Antes dos impostos,237610000.0,203020000.0,224660000.0,216920000.0,201040000.0,194020000.0,195950000.0,191600000.0,195530000.0,196240000.0,244220000.0,315410000.0,276660000.0,271490000.0,279640000.0,257880000.0,258700000.0,200180000.0,208640000.0,-270430000.0,183080000.0,165440000.0,122400000.0,138700000.0,95750000.0,94680000.0,112630000.0,120770000.0,22790000.0,90660000.0,46940000.0,19680000.0,-59200000.0,-201820000.0,-158790000.0,116800000.0,-184340000.0,28170000.0,-116610000.0,329790000.0,-116590000.0,-117540000.0,-144570000.0,-147200000.0,-35390000.0,-70770000.0,-2240000.0,-105850000.0,-386940000.0,-477050000.0,-93610000.0,-312430000.0,-238090000.0,-176300000.0,137460000.0,-165480000.0,0,0,0
Imposto,-52780000.0,-12960000.0,-28030000.0,17610000.0,30750000.0,-24450000.0,-23700000.0,-153730000.0,612000.0,-27230000.0,-48720000.0,50880000.0,-29770000.0,-202070000.0,-89360000.0,-30280000.0,-1430000.0,-228330000.0,-38080000.0,460480000.0,-80530000.0,-59410000.0,-26300000.0,-207820000.0,-5620000.0,-1470000.0,-56080000.0,-66030000.0,-716000.0,-1100000.0,-698000.0,169530000.0,-269000.0,-132000.0,-6250000.0,145530000.0,6220000.0,3720000.0,-876000.0,64370000.00000001,7530000.0,-14770000.0,-3590000.0,32520000.000000004,18980000.0,-10890000.0,-14050000.0,501820000.0,-49790000.0,47360000.0,-39870000.0,695430000.0,-35000000.0,25420000.0,-36250000.0,23240000.0,0,0,0
Op continuadas,170460000.0,156850000.0,152810000.0,147630000.0,154850000.0,132620000.0,156570000.0,178800000.0,139110000.0,122810000.0,227560000.0,149280000.0,188510000.0,291170000.0,98510000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
