Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757180000.0
Custos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-411510000.0
Lucro bruto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345670000.0
Despesas operacionais,463830000.0,518419999.99999994,333550000.0,432490000.0,485050000.0,158430000.0,752880000.0,660130000.0,1100000000.0,974540000.0,912530000.0,2910000000.0,1160000000.0,2250000000.0,1700000000.0,261459999.99999997,857800000.0,289760000.0,51570000.0,-389450000.0,359560000.0,-25390000.0,-360340000.0,2000000000.0,100680000.0,-616050000.0,-248940000.0,1500000000.0,706440000.0,-59820000.0,461570000.0,92200000.0,101050000.0,218920000.0,369710000.0,-1950000000.0,-246310000.0,263940000.0,-545330000.0,-321150000.0,-142880000.0,165900000.0,355720000.0,-886750000.0,495630000.0,40030000.0,370670000.0,-345060000.0,234820000.0,288900000.0,401110000.0,462690000.0,483800000.0,579070000.0,642140000.0,545220000.0,642770000.0,489800000.0,-127910000.0
EBIT,463830000.0,518419999.99999994,333550000.0,432490000.0,485050000.0,158430000.0,752880000.0,660130000.0,1100000000.0,974540000.0,912530000.0,2910000000.0,1160000000.0,2250000000.0,1700000000.0,261459999.99999997,857800000.0,289760000.0,51570000.0,-389450000.0,359560000.0,-25390000.0,-360340000.0,2000000000.0,100680000.0,-616050000.0,-248940000.0,1500000000.0,706440000.0,-59820000.0,461570000.0,92200000.0,101050000.0,218920000.0,369710000.0,-1950000000.0,-246310000.0,263940000.0,-545330000.0,-321150000.0,-142880000.0,165900000.0,355720000.0,-886750000.0,495630000.0,40030000.0,370670000.0,-345060000.0,234820000.0,288900000.0,401110000.0,462690000.0,483800000.0,579070000.0,642140000.0,545220000.0,642770000.0,489800000.0,217760000.0
Resultado financeiro,11510000.0,19640000.0,11450000.0,16800000.0,13740000.0,19160000.0,18070000.0,24190000.0,21430000.0,21830000.0,13840000.0,48460000.0,4900000.0,5770000.0,2850000.0,2230000.0,986000.0,1040000.0,2190000.0,1470000.0,1850000.0,3130000.0,6080000.0,-20660000.0,-9450000.0,-5190000.0,-265000.0,-13620000.0,-26190000.0,-25950000.0,-33409999.999999996,-33980000.0,-35170000.0,-32369999.999999996,-30480000.0,-29400000.0,-30330000.0,-19650000.0,-21660000.0,-20460000.0,-23160000.0,-20920000.0,-22370000.0,-20220000.0,-18990000.0,-13920000.0,-12710000.0,-13170000.0,-16079999.999999998,-14930000.0,-17320000.0,-17810000.0,-23750000.0,-20820000.0,-18300000.0,-16780000.0,-17910000.0,-14060000.0,-84960000.0
Antes dos impostos,475340000.0,538050000.0,345000000.0,449290000.0,498790000.0,177590000.0,770950000.0,684330000.0,1120000000.0,996370000.0,926370000.0,2960000000.0,1160000000.0,2260000000.0,1700000000.0,263700000.0,858790000.0,290810000.0,53760000.0,-387970000.0,361410000.0,-22250000.0,-354260000.0,1980000000.0,91230000.0,-621240000.0,-249200000.0,1490000000.0,680250000.0,-85770000.0,428170000.0,58210000.0,65870000.00000001,186560000.0,339230000.0,-1980000000.0,-276640000.0,244290000.0,-566990000.0,-341610000.0,-166040000.0,144980000.0,333340000.0,-906970000.0,476650000.0,26120000.0,357970000.0,-358230000.0,218740000.0,273970000.0,383790000.0,444880000.0,460050000.0,558250000.0,623840000.0,528450000.00000006,624860000.0,475740000.0,132800000.00000001
Imposto,-74760000.0,-2590000.0,-1900000.0,74760000.0,-69360000.0,-2730000.0,-2670000.0,64720000.0,-58350000.0,-4139999.9999999995,-2230000.0,0,15890000.0,-15890000.0,0,62180000.0,-62180000.0,0,0,0,0,701000.0,-829000.0,-8189999.999999999,32009999.999999996,2300000.0,-34310000.0,-152950000.0,6880000.0,-31000000.0,-5180000.0,-5090000.0,-5490000.0,-5040000.0,-4940000.0,-4300000.0,-3290000.0,-2900000.0,-2250000.0,-1540000.0,145140000.0,-11850000.0,-956000.0,6580000.0,4880000.0,-12940000.0,0,17890000.0,4179999.9999999995,-54230000.0,-43000.0,19280000.0,6010000.0,-88710000.0,-54000.0,-12730000.0,-132000.0,-12890000.0,20500000.0
Op continuadas,400580000.0,535460000.00000006,343100000.0,524049999.99999994,429430000.0,174860000.0,768280000.0,749050000.0,1060000000.0,992230000.0,924140000.0,2960000000.0,1180000000.0,2240000000.0,1700000000.0,325880000.0,796610000.0,290810000.0,53760000.0,-387970000.0,361410000.0,-21550000.0,-355090000.0,1970000000.0,123240000.0,-618940000.0,-283510000.0,1340000000.0,687130000.0,-116770000.0,422980000.0,53130000.0,60390000.0,181520000.0,334290000.0,-1980000000.0,-279930000.0,241390000.0,-569240000.0,-343150000.0,-20900000.0,133139999.99999999,332390000.0,-900390000.0,481530000.0,13180000.0,357970000.0,-340340000.0,222920000.0,219740000.0,383750000.0,464160000.0,466060000.0,469540000.0,623780000.0,515720000.0,624720000.0,462850000.0,153300000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
