Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,15520000000.0,14930000000.0,13380000000.0,14430000000.0,13810000000.0,12200000000.0,13180000000.0,14770000000.0,14060000000.0,12940000000.0,12040000000.0,13720000000.0,12390000000.0,11640000000.0,10590000000.0,11470000000.0,9940000000.0,9100000000.0,8950000000.0,9290000000.0,8460000000.000001,8340000000.0,7360000000.0,8289999999.999999,7800000000.0,7070000000.0,7030000000.0,3750000000.0,8730000000.0,8029999999.999999,7810000000.0,8590000000.0,8510000000.0,8510000000.0,8119999999.999999,8950000000.0,8279999999.999999,7910000000.0,7050000000.0,8050000000.000001,7240000000.0,7020000000.0,6710000000.0,5470000000.0,7580000000.0,7530000000.0,7210000000.0,8150000000.0,7190000000.0,6840000000.0,6340000000.0,7100000000.0,6290000000.0,6290000000.0,6020000000.0,6400000000.0,5700000000.0,5530000000.0,5050000000.0
Custos,-11310000000.0,-11000000000.0,-10150000000.0,-11230000000.0,-11320000000.0,-10720000000.0,-11500000000.0,-12330000000.0,-11460000000.0,-10960000000.0,-10930000000.0,-10730000000.0,-9900000000.0,-9520000000.0,-8500000000.0,-8710000000.0,-7600000000.0,-7130000000.0,-6700000000.0,-6920000000.0,-6360000000.0,-6250000000.0,-5840000000.0,-6720000000.0,-6480000000.0,-6470000000.0,-5650000000.0,-2800000000.0,-6830000000.0,-6540000000.0,-6430000000.0,-6900000000.0,-6620000000.0,-6600000000.0,-6090000000.0,-6160000000.0,-5680000000.0,-5390000000.0,-4880000000.0,-5360000000.0,-5090000000.0,-5110000000.0,-4930000000.0,-4050000000.0,-5670000000.0,-5650000000.0,-5510000000.0,-6050000000.0,-5670000000.0,-5350000000.0,-4990000000.0,-5150000000.0,-4690000000.0,-4730000000.0,-4470000000.0,-4560000000.0,-4290000000.0,-4179999999.9999995,-3920000000.0
Lucro bruto,4210000000.0,3930000000.0,3220000000.0,3190000000.0,2480000000.0,1490000000.0,1670000000.0,2440000000.0,2600000000.0,1980000000.0,1110000000.0,3000000000.0,2490000000.0,2109999999.9999998,2100000000.0,2760000000.0,2340000000.0,1980000000.0,2250000000.0,2370000000.0,2100000000.0,2089999999.9999998,1520000000.0,1570000000.0,1320000000.0,595020000.0,1380000000.0,947480000.0,1910000000.0,1480000000.0,1380000000.0,1690000000.0,1880000000.0,1920000000.0,2029999999.9999998,2800000000.0,2600000000.0,2520000000.0,2160000000.0,2690000000.0,2140000000.0000002,1900000000.0,1780000000.0,1420000000.0,1910000000.0,1880000000.0,1700000000.0,2100000000.0,1530000000.0,1490000000.0,1340000000.0,1950000000.0,1610000000.0,1560000000.0,1550000000.0,1840000000.0,1420000000.0,1350000000.0,1120000000.0
Despesas operacionais,-2200000000.0,-2230000000.0,-1970000000.0,-2270000000.0,-2029999999.9999998,-1850000000.0,-1850000000.0,-2750000000.0,-2029999999.9999998,-1840000000.0,-1640000000.0,-1920000000.0,-1760000000.0,-1530000000.0,-1470000000.0,-1800000000.0,-1600000000.0,-1390000000.0,-1700000000.0,-1570000000.0,-1030000000.0,-1160000000.0,-1360000000.0,-1290000000.0,-1340000000.0,-1320000000.0,-1120000000.0,-1020000000.0,-1350000000.0,-1370000000.0,-1310000000.0,-1530000000.0,-1420000000.0,-1390000000.0,-1380000000.0,-1240000000.0,-1630000000.0,-1470000000.0,-1520000000.0,-1280000000.0,-1310000000.0,-1230000000.0,-1200000000.0,-1030000000.0,-1450000000.0,-1370000000.0,-1170000000.0,-1550000000.0,-1290000000.0,-1210000000.0,-1080000000.0,-1440000000.0,-1150000000.0,-1050000000.0,-1020000000.0,-1280000000.0,-1050000000.0,-998260000.0,-914210000.0
EBIT,2020000000.0,1700000000.0,1250000000.0,924480000.0,452300000.0,-361280000.0,-179360000.0,-313010000.0,563390000.0,140410000.0,-527080000.00000006,1070000000.0000001,730480000.0,580320000.0,627910000.0,960850000.0,744080000.0,587190000.0,554680000.0,798570000.0,1070000000.0000001,930040000.0,158200000.0,281000000.0,-18560000.0,-728040000.0,259269999.99999997,-72880000.0,558660000.0,109200000.0,68200000.0,162870000.0,468510000.0,528770000.0,655030000.0,1560000000.0,969250000.0,1060000000.0,640910000.0,1410000000.0,832640000.0,666850000.0,572390000.0,398290000.0,464450000.0,502510000.0,531059999.99999994,542710000.0,232090000.0,280590000.0,268029999.99999997,508260000.0,454970000.0,512909999.99999994,524990000.0,559890000.0,362200000.0,351890000.0,210600000.0
Resultado financeiro,-513280000.0,-390080000.0,-537630000.0,-187770000.0,-673670000.0,-1100000000.0,-860070000.0,-602050000.0,-682370000.0,-610030000.0,-774300000.0,-697600000.0,-984960000.0,-759380000.0,-602640000.0,-465800000.0,-436420000.0,-190300000.0,-606470000.0,-541120000.0,-256690000.0,-619320000.0,-448260000.0,-356980000.0,-642480000.0,-755600000.0,-486420000.0,-423470000.0,-350750000.0,-694990000.0,-412550000.0,-599930000.0,-424740000.0,-503690000.0,-604290000.0,-381200000.0,-524770000.0,-656630000.0,-107550000.0,-200600000.0,-199770000.0,-393830000.0,-196490000.0,-259670000.00000003,-127130000.0,-258990000.0,-101750000.0,-90950000.0,-117210000.0,-287490000.0,-74950000.0,-185510000.0,-186550000.0,-55200000.0,-52260000.0,-152500000.0,-30380000.0,-148420000.0,-151830000.0
Antes dos impostos,1500000000.0,1310000000.0,714670000.0,736710000.0,-221370000.0,-1460000000.0,-1040000000.0,-915060000.0,-118980000.0,-469630000.0,-1300000000.0,373480000.0,-254480000.0,-179060000.0,25270000.0,495050000.0,307660000.0,396880000.0,-51790000.0,257440000.0,809280000.0,310720000.0,-290070000.0,-75980000.0,-661040000.0,-1480000000.0,-227150000.0,-496340000.0,207910000.0,-585790000.0,-344340000.0,-437070000.0,43770000.0,25080000.0,50740000.0,1180000000.0,444480000.0,401190000.0,533360000.0,1210000000.0,632870000.0,273010000.0,375900000.0,138620000.0,337320000.0,243520000.0,429310000.0,451760000.0,114890000.0,-6910000.0,193080000.0,322750000.0,268410000.00000003,457720000.0,472730000.0,407390000.0,331820000.0,203470000.0,58770000.0
Imposto,-365590000.0,-219320000.0,-120920000.0,17720000.0,-41010000.0,123340000.0,15800000.0,-41260000.0,-17800000.0,18510000.0,-245080000.0,590920000.0,-16500000.0,-19500000.0,-2810000.0,407420000.0,-88950000.0,-89750000.0,13560000.0,432470000.0,-363670000.0,-119700000.0,176790000.0,388690000.0,-198520000.0,48840000.0,94290000.0,-155960000.0,-70320000.0,419480000.0,58610000.0,-5160000.0,-27420000.0,-7960000.0,-9310000.0,255130000.0,234740000.0,-28680000.0,-71690000.0,-214340000.0,-65410000.0,-24210000.0,-48610000.0,22400000.0,-43870000.0,-34670000.0,-72980000.0,72850000.0,-26140000.0,18130000.0,-40230000.0,-199940000.0,87730000.0,41670000.0,-85980000.0,-47680000.0,-117920000.0,-33130000.000000004,2270000.0
Op continuadas,1140000000.0,1090000000.0,593740000.0,754440000.0,-262390000.0,-1340000000.0,-1020000000.0,-956320000.0,-136780000.0,-451120000.0,-1550000000.0,964390000.0,-270980000.0,-198560000.0,22460000.0,902460000.0,218710000.0,307130000.0,-38230000.0,689910000.0,445610000.0,191020000.0,-113280000.0,312710000.0,-859560000.0,-1430000000.0,-132860000.00000001,-652310000.0,137590000.0,-166310000.0,-285730000.0,-442220000.0,16340000.0,17120000.0,41420000.0,1430000000.0,679220000.0,372510000.0,461680000.0,991500000.0,567460000.0,248810000.0,327290000.0,161030000.0,293450000.0,208850000.0,356330000.0,524610000.0,88750000.0,11230000.0,152850000.0,122810000.0,356150000.0,499390000.0,386750000.0,359710000.0,213900000.0,170350000.0,61050000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,-16410000.0,-34540000.0,-32130000.000000004,-6520000.0,-41290000.0,0,0,0,0,0,-9490000.0,-141200000.0,133930000.0,-899050000.0,-2440000000.0,47100000.0,-31470000.0,70670000.0,-132090000.0,0,0,0,0,0,0,0,0,190160000.0,-10050000.0,2980000.0,27250000.0,51940000.0,18480000.0,-7840000.0,47180000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
