Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,21260000000.0,19070000000.0,17920000000.0,16690000000.000002,16680000000.0,17760000000.0,19450000000.0,18990000000.0,25390000000.0,25410000000.0,26730000000.0,28210000000.0,28300000000.0,26420000000.0,22690000000.0,18740000000.0,15990000000.0,11190000000.0,12620000000.0,12640000000.0,13370000000.0,13340000000.0,12980000000.0,14840000000.0,16350000000.000002,13790000000.0,13030000000.0,12630000000.0,12160000000.0,11870000000.0,12600000000.0,12050000000.0,11980000000.0,11720000000.0,11910000000.0,11930000000.0,13160000000.0,11590000000.0,10200000000.0,11610000000.0,11720000000.0,10850000000.0,11840000000.0,10780000000.0,10940000000.0,9750000000.0,9500000000.0,9880000000.0,9250000000.0,8960000000.0,8070000000.0,8029999999.999999,8690000000.0,8369999999.999999,7390000000.0,6970000000.0,7550000000.0,6270000000.0,4720000000.0
Custos,-19020000000.0,-17680000000.0,-16710000000.0,-15680000000.0,-16110000000.0,-17300000000.0,-18460000000.0,-19070000000.0,-23160000000.0,-21330000000.0,-21600000000.0,-21510000000.0,-19990000000.0,-16610000000.0,-15450000000.0,-13800000000.0,-12430000000.0,-9660000000.0,-11450000000.0,-11060000000.0,-11650000000.0,-11700000000.0,-11260000000.0,-12900000000.0,-12750000000.0,-10500000000.0,-10330000000.0,-9260000000.0,-9160000000.0,-9050000000.0,-8940000000.0,-9150000000.0,-8770000000.0,-8460000000.000001,-8610000000.0,-9350000000.0,-9960000000.0,-8830000000.0,-8590000000.0,-10080000000.0,-10050000000.0,-9600000000.0,-10320000000.0,-9470000000.0,-9210000000.0,-8650000000.0,-8490000000.0,-8810000000.0,-8270000000.0,-8150000000.0,-7480000000.0,-7520000000.0,-7760000000.0,-7140000000.0,-6390000000.0,-5760000000.0,-6460000000.0,-5270000000.0,-3920000000.0
Lucro bruto,2250000000.0,1390000000.0,1210000000.0,1010000000.0,570000000.0,458000000.0,985000000.0,-79040000.0,2230000000.0,4080000000.0,5130000000.0,6700000000.0,8300000000.000001,9810000000.0,7240000000.0,4940000000.0,3570000000.0,1530000000.0,1170000000.0,1580000000.0,1720000000.0,1640000000.0,1710000000.0,1940000000.0,3600000000.0,3280000000.0,2700000000.0,3370000000.0,3000000000.0,2820000000.0,3660000000.0,2900000000.0,3220000000.0,3260000000.0,3300000000.0,2580000000.0,3200000000.0,2760000000.0,1600000000.0,1530000000.0,1670000000.0,1250000000.0,1520000000.0,1320000000.0,1730000000.0,1090000000.0,1010000000.0,1070000000.0000001,981440000.0,809900000.0,589650000.0,514039999.99999994,920970000.0,1230000000.0,997880000.0,1200000000.0,1090000000.0,993760000.0,793860000.0
Despesas operacionais,-1230000000.0,-1550000000.0,-1250000000.0,-2040000000.0,-1190000000.0,-2100000000.0,-489000000.0,-1760000000.0,-1540000000.0,-2420000000.0,-1360000000.0,-2980000000.0,-1790000000.0,-749470000.0,-498090000.0,-3810000000.0,-4150000000.0000005,-2530000000.0,-796430000.0,-5150000000.0,-1160000000.0,-794430000.0,400770000.0,-777000000.0,-809380000.0,-846140000.0,-787630000.0,-1160000000.0,-1070000000.0000001,-512820000.00000006,-756290000.0,-4139999999.9999995,-919640000.0,-897480000.0,-770540000.0,-1240000000.0,-737210000.0,-644710000.0,-636730000.0,-694330000.0,-703120000.0,-618670000.0,-388720000.0,-690630000.0,-611100000.0,-543630000.0,-563450000.0,-600060000.0,-545440000.0,-427140000.0,-287300000.0,-309420000.0,-504540000.0,-493080000.0,-492000000.0,-588880000.0,-486290000.0,518169999.99999994,-311080000.0
EBIT,1020000000.0,-157000000.0,-41000000.0,-1030000000.0,-620000000.0,-1640000000.0,496000000.0,-1840000000.0,690260000.0,1650000000.0,3770000000.0,3720000000.0,6520000000.0,9060000000.0,6740000000.0,1130000000.0,-584290000.0,-995610000.0,376920000.0,-3570000000.0,558640000.0,842930000.0,2120000000.0,1160000000.0,2790000000.0,2440000000.0,1910000000.0,2210000000.0,1930000000.0,2310000000.0,2910000000.0,-1240000000.0,2300000000.0,2360000000.0,2530000000.0,1340000000.0,2470000000.0,2120000000.0,968100000.0,835480000.0,969800000.0,634650000.0,1130000000.0,625210000.0,1120000000.0,549530000.0,447560000.0,470220000.0,436000000.0,382760000.0,302350000.0,204620000.0,416430000.0,737890000.0,505870000.0,616120000.0,604130000.0,1510000000.0,482780000.0
Resultado financeiro,-2330000000.0,-5860000000.0,-2029999999.9999998,-798000000.0,-2410000000.0,160000000.0,-352000000.0,-384130000.0,-1700000000.0,-3390000000.0,1250000000.0,-2470000000.0,-3100000000.0,957420000.0,-3460000000.0,897770000.0,-1830000000.0,-2420000000.0,-6250000000.0,-872250000.0,-2029999999.9999998,-918880000.0,-922780000.0,-1090000000.0,-931270000.0,-2140000000.0000002,-487000000.0,-1940000000.0,-940160000.0,-677460000.0,-385490000.0,-1570000000.0,-1140000000.0,-1890000000.0,-1490000000.0,-1080000000.0,-180080000.0,-616100000.0,-588780000.0,-720830000.0,-631940000.0,-477730000.0,-560140000.0,-459710000.0,-536809999.99999994,-671650000.0,-107800000.0,-617860000.0,-566990000.0,-2100000000.0,-107110000.0,-588930000.0,-2060000000.0,-78780000.0,-56960000.0,-541250000.0,179570000.0,-523510000.0,-442340000.0
Antes dos impostos,-1310000000.0,-6020000000.0,-2069999999.9999998,-1830000000.0,-3030000000.0,-1480000000.0,144000000.0,-2230000000.0,-1010000000.0,-1740000000.0,5020000000.0,1250000000.0,3420000000.0,10020000000.0,3280000000.0,2029999999.9999998,-2420000000.0,-3420000000.0,-5880000000.0,-4450000000.0,-1470000000.0,-75950000.0,1190000000.0,71530000.0,1860000000.0,294860000.0,1430000000.0,268490000.0,991470000.0,1630000000.0,2520000000.0,-2810000000.0,1150000000.0,469730000.0,1050000000.0,256010000.0,2290000000.0,1500000000.0,379320000.0,114650000.0,337870000.0,156920000.0,569130000.0,165500000.0,580810000.0,-122120000.0,339760000.0,-147640000.0,-130990000.00000001,-1720000000.0,195240000.0,-384320000.0,-1650000000.0,659110000.0,448920000.0,74870000.0,783710000.0,988420000.0,40440000.0
Imposto,444000000.0,2109999999.9999998,681000000.0,75000000.0,472000000.0,656000000.0,98000000.0,343380000.0,-416400000.0,275320000.0,-1070000000.0000001,-780020000.0,101950000.0,-2460000000.0,-862780000.0,-1150000000.0,1080000000.0,923000000.0,1820000000.0,1560000000.0,487480000.0,133360000.00000001,-275120000.0,-250100000.0,-416950000.0,197780000.0,-276020000.0,44380000.0,-227690000.0,-491560000.0,-617400000.0,188020000.0,-340840000.0,-202410000.0,-260820000.0,-225970000.0,-810480000.0,-448560000.0,-175330000.0,-138830000.0,-108130000.0,-32520000.000000004,-172790000.0,-165710000.0,-181370000.0,-2960000.0,-106870000.0,100420000.0,59280000.0,676550000.0,-53140000.0,156160000.0,601440000.0,-239020000.0,-143940000.0,281550000.0,-251320000.0,-10660000.0,-17520000.0
Op continuadas,-869000000.0,-3910000000.0,-1390000000.0,-1750000000.0,-2560000000.0,-824000000.0,242000000.0,-1880000000.0,-1420000000.0,-1460000000.0,3950000000.0,468200000.0,3520000000.0,7560000000.0,2410000000.0,877520000.0,-1340000000.0,-2500000000.0,-4059999999.9999995,-2890000000.0,-986360000.0,57410000.0,917170000.0,-178570000.0,1440000000.0,492650000.0,1150000000.0,312870000.0,763780000.0,1140000000.0,1910000000.0,-2620000000.0,812970000.0,267320000.0,784670000.0,30040000.0,1480000000.0,1050000000.0,203990000.0,-24180000.0,229740000.0,124400000.0,396340000.0,-213000.0,399440000.0,-125080000.0,232900000.0,-47220000.0,-71700000.0,-1040000000.0,142100000.0,-228160000.0,-1050000000.0,420090000.0,304980000.0,356420000.0,532390000.0,977770000.0,22910000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8880000.0,3530000.0,5050000.0,7380000.0,10890000.0,6380000.0,0,0,0,0,0,0,0,0,0,0,0,314140000.0,-52540000.0,9850000.0,10100000.0,55960000.0,0,0,0,0,0,0,0
Lucro líquido,-869000000.0,-3910000000.0,-1390000000.0,-1750000000.0,-2560000000.0,-824000000.0,242000000.0,-1880000000.0,-1420000000.0,-1460000000.0,3950000000.0,468200000.0,3520000000.0,7560000000.0,2410000000.0,877520000.0,-1340000000.0,-2500000000.0,-4059999999.9999995,-2890000000.0,-986360000.0,57410000.0,917170000.0,-178570000.0,1440000000.0,492650000.0,1150000000.0,312870000.0,763780000.0,1140000000.0,1910000000.0,-2620000000.0,818020000.0,274710000.0,795550000.0,36420000.0,1480000000.0,1050000000.0,203990000.0,-24180000.0,229740000.0,124400000.0,396340000.0,-213000.0,399440000.0,-125080000.0,232900000.0,266920000.00000003,-124250000.0,-1030000000.0,152200000.0,-172190000.0,-1050000000.0,420090000.0,304980000.0,356420000.0,532390000.0,977770000.0,22910000.0
Dos controladores,-1080000000.0,-3730000000.0,-1340000000.0,-1570000000.0,-2420000000.0,-771000000.0,184000000.0,-1710000000.0,-1100000000.0,-1410000000.0,3880000000.0,530340000.00000006,3540000000.0,7420000000.0,2490000000.0,846230000.0,-1410000000.0,-2480000000.0,-3650000000.0,-2920000000.0,-887800000.0,83890000.0,928250000.0,-78440000.0,1340000000.0,547250000.0,1050000000.0,386220000.0,799370000.0,1090000000.0,1810000000.0,-2530000000.0,889430000.0,406980000.0,823390000.0,97560000.0,1570000000.0,1100000000.0,251400000.0,61280000.0,269000000.0,128479999.99999999,405310000.0,9240000.0,398540000.0,-114090000.0,216010000.0,280320000.0,-134600000.0,-1030000000.0,153560000.0,-168310000.0,-1050000000.0,414440000.0,308230000.0,360900000.0,535289999.99999994,976210000.0,22910000.0
Dos não controladores,-276000000.0,-171000000.0,-45000000.0,-176000000.0,-140000000.0,-53000000.0,58000000.0,-173090000.0,-318800000.0,-56620000.0,63520000.0,-62140000.0,-19100000.0,138380000.0,-80460000.0,31300000.0,75570000.0,-20520000.0,-409940000.0,36720000.0,-98560000.0,-26480000.0,-11080000.0,-100130000.0,97840000.0,-54610000.0,97430000.0,-73350000.0,-35590000.0,52570000.0,106700000.0,-86200000.0,-71410000.0,-132270000.00000001,-27840000.0,-61140000.0,-91580000.0,-41400000.0,-47410000.0,-85470000.0,-39260000.0,-4070000.0000000005,-8960000.0,-9460000.0,903000.0,-11000000.0,16890000.0,-13400000.0,10360000.0,-2760000.0,-1360000.0,-3880000.0,4890000.0,5640000.0,-3250000.0,-4480000.0,-2900000.0,1560000.0,0
