Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,4099999999.9999995,4290000000.0,3940000000.0,4139999999.9999995,4130000000.0,3760000000.0,3670000000.0,3630000000.0,3640000000.0,3380000000.0,2320000000.0,2530000000.0,2440000000.0,1290000000.0,1940000000.0,1510000000.0,1760000000.0,2040000000.0,2920000000.0,1990000000.0,2580000000.0,2250000000.0,2260000000.0,2440000000.0,2440000000.0,2500000000.0,2130000000.0,2440000000.0,2330000000.0,2590000000.0,2560000000.0,2690000000.0,2890000000.0,2450000000.0,2590000000.0,2590000000.0,3160000000.0,2100000000.0,2920000000.0,2320000000.0,2280000000.0,1820000000.0,1760000000.0,1770000000.0,1710000000.0,1710000000.0,1390000000.0,1430000000.0,1380000000.0,1980000000.0,1550000000.0,1540000000.0,1660000000.0,1430000000.0,1300000000.0,1300000000.0,1300000000.0,1160000000.0,1070000000.0000001
Custos,-2620000000.0,-2730000000.0,-2450000000.0,-2720000000.0,-2820000000.0,-2430000000.0,-2490000000.0,-2400000000.0,-2530000000.0,-2300000000.0,-1230000000.0,-1380000000.0,-1240000000.0,-265390000.0,-865510000.0,-51710000.0,-528650000.0,-1230000000.0,-1960000000.0,-604360000.0,-1160000000.0,-1210000000.0,-1210000000.0,-1330000000.0,-1270000000.0,-1460000000.0,-1110000000.0,-1380000000.0,-1460000000.0,-1670000000.0,-1730000000.0,-1780000000.0,-2150000000.0,-1510000000.0,-1760000000.0,-1840000000.0,-2510000000.0,-1330000000.0,-2290000000.0,-1570000000.0,-1520000000.0,-1030000000.0,-1090000000.0,-1010000000.0,-962190000.0,-936690000.0,-682310000.0,-707630000.0,-703140000.0,-1260000000.0,-830460000.0,-805480000.0,-983900000.0,-752170000.0,-688070000.0,-655040000.0,-646030000.0,-585600000.0,-577610000.0
Lucro bruto,1480000000.0,1560000000.0,1490000000.0,1420000000.0,1310000000.0,1330000000.0,1190000000.0,1230000000.0,1110000000.0,1080000000.0,1090000000.0,1150000000.0,1200000000.0,1020000000.0,1070000000.0000001,1460000000.0,1230000000.0,808500000.0,957350000.0,1380000000.0,1420000000.0,1040000000.0,1050000000.0,1120000000.0,1170000000.0,1050000000.0,1030000000.0,1060000000.0,878420000.0,919880000.0,833470000.0,914620000.0,736640000.0,939030000.0,822710000.0,747000000.0,648430000.0,767190000.0,634660000.0,749650000.0,758690000.0,791410000.0,664320000.0,752400000.0,747960000.0,768480000.0,704720000.0,722090000.0,676050000.0,728990000.0,719220000.0,730430000.0,680370000.0,680110000.0,608000000.0,646380000.0,651050000.0,577890000.0,488350000.0
Despesas operacionais,-1230000000.0,-1220000000.0,-1250000000.0,-871100000.0,-1250000000.0,-1130000000.0,-1020000000.0,-922580000.0,-1130000000.0,-1020000000.0,-968510000.0,-846840000.0,-1050000000.0,-738970000.0,-693130000.0,-1190000000.0,-1060000000.0,-628830000.0,-638830000.0,-1210000000.0,-1040000000.0,-588210000.0,-626550000.0,-743880000.0,-703430000.0,-643460000.0,-642650000.0,-302740000.0,-592050000.0,-652450000.0,-681320000.0,-710620000.0,-568340000.0,-615970000.0,-538020000.0,-576110000.0,-314670000.0,-499090000.0,-468260000.0,-404200000.0,-459410000.0,-639610000.0,-572160000.0,-483540000.0,-475290000.0,-449210000.0,-390650000.0,-450780000.0,-382700000.0,-433540000.0,-396490000.0,-410860000.0,-324610000.0,-331330000.0,-282740000.0,-291750000.0,-328840000.0,-304560000.0,-310310000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antes dos impostos,251280000.0,336490000.0,235900000.0,548120000.0,60070000.0,202930000.0,171310000.0,305000000.0,-25410000.0,54510000.0,120410000.0,300800000.0,152850000.0,285340000.0,380350000.0,270070000.0,172230000.0,179670000.0,318520000.0,169220000.0,383910000.0,454180000.0,421310000.0,372400000.0,465180000.0,402580000.0,385650000.0,756760000.0,286360000.0,267430000.0,152160000.0,204000000.0,168300000.0,323060000.0,284690000.0,170890000.0,333750000.0,268100000.00000003,166400000.0,345450000.0,299280000.0,151790000.0,92160000.0,268860000.0,272660000.0,319260000.0,314060000.0,271310000.0,293350000.0,295450000.0,322720000.0,319570000.0,355760000.0,348780000.0,325260000.0,354630000.0,322210000.0,273320000.0,178040000.0
Imposto,6550000.0,-26630000.0,10290000.0,-176860000.0,126110000.0,86000000.0,104430000.0,4360000.0,119300000.0,226660000.0,93430000.0,-22920000.0,33970000.0,12140000.0,-68500000.0,-5160000.0,-30390000.0,-32970000.0,-28860000.0,270210000.0,-59500000.0,-45170000.0,-63140000.0,-9400000.0,-103020000.0,-31670000.0,-102800000.0,-220040000.0,-56060000.0,-97340000.0,-83410000.0,-124060000.0,-138530000.0,-71520000.0,-173690000.0,-70540000.0,-140360000.0,-75210000.0,-91170000.0,-90630000.0,-135080000.0,5120000.0,-34070000.0,-34200000.0,-99440000.0,-93070000.0,-117430000.0,-104390000.0,-118560000.0,-117780000.0,-116180000.0,-101740000.0,-127130000.0,-130560000.0,-105040000.0,-103010000.0,-127670000.0,-88630000.0,-52200000.0
Op continuadas,257839999.99999997,309860000.0,246190000.0,371250000.0,186180000.0,288930000.0,275740000.0,309350000.0,93890000.0,281160000.0,213840000.0,277880000.0,186820000.0,297480000.0,311850000.0,264910000.00000003,141840000.0,146700000.0,289660000.0,439430000.0,324400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
