Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,496640000.0,466290000.0,463020000.0,434830000.0,408340000.0,386360000.0,404570000.0,393530000.0,370750000.0,310280000.0,335410000.0,317360000.0,299810000.0,297270000.0,303330000.0,292600000.0,272170000.0,272690000.0,306230000.0,298420000.0,266399999.99999997,272110000.0,287090000.0,281690000.0,260339999.99999997,264890000.0,278630000.0,266890000.0,255000000.0,239260000.0,259649999.99999997,244910000.0,228760000.0,214120000.0,229640000.0,212140000.0,203060000.0,186390000.0,0,196460000.0,184510000.0,175410000.0,0,175030000.0,165440000.0,156650000.0,162830000.0,160200000.0,154480000.0,146940000.0,148720000.0,142300000.0,131550000.00000001,130389999.99999999,134910000.0,124760000.0,122100000.0,120590000.0,121590000.0
Custos,-242420000.0,-238190000.0,-241690000.0,-246040000.0,-225430000.0,-250630000.0,-228970000.0,-200970000.0,-209460000.0,-191650000.0,-182260000.0,-167870000.0,-151930000.0,-152110000.0,-141590000.0,-151560000.0,-140370000.0,-136100000.0,-134100000.0,-128530000.0,-134039999.99999999,-119990000.0,-122370000.0,-125010000.0,-123370000.0,-113380000.0,-118290000.0,-117030000.0,-115470000.0,-108280000.0,-109000000.0,-108790000.0,-110130000.0,-93660000.0,-99880000.0,-109430000.0,-97980000.0,-94720000.0,0,-96090000.0,-78990000.0,-69770000.0,0,-65019999.99999999,-63100000.0,-61160000.0,-60930000.0,-60770000.0,-56020000.0,-58180000.0,-54940000.0,-48580000.0,-48980000.0,-45880000.0,-39970000.0,-33240000.000000004,-44020000.0,-42930000.0,-40880000.0
Lucro bruto,254220000.0,228090000.0,221330000.0,188780000.0,182910000.0,135730000.0,175600000.0,192560000.0,161280000.0,118630000.0,153150000.0,149490000.0,147880000.0,145160000.0,161740000.0,141040000.0,131800000.00000001,136580000.0,172130000.0,169890000.0,132360000.00000001,152130000.0,164720000.0,156680000.0,136970000.0,151500000.0,160340000.0,149860000.0,139530000.0,130979999.99999999,150650000.0,136120000.0,118630000.0,120470000.0,129759999.99999999,102720000.0,105090000.0,91680000.0,0,100380000.0,105530000.0,105640000.0,0,110020000.0,102340000.0,95490000.0,101900000.0,99430000.0,98460000.0,88760000.0,93780000.0,93710000.0,82580000.0,84520000.0,94950000.0,91520000.0,78080000.0,77670000.0,80710000.0
Despesas operacionais,-95230000.0,-89610000.0,-105510000.0,-116240000.0,-121830000.0,-97640000.0,-88310000.0,-109660000.0,-83460000.0,-115610000.0,-80670000.0,-86340000.0,-66260000.00000001,-99410000.0,-73670000.0,-97530000.0,-59280000.0,-77230000.0,-70290000.0,-86350000.0,-92000000.0,-100540000.0,-68930000.0,-148490000.0,-102310000.0,-247990000.0,-173770000.0,-276080000.0,-80560000.0,-85110000.0,-93950000.0,-101880000.0,-110600000.0,-42650000.0,-88390000.0,-84100000.0,-78150000.0,-68500000.0,0,-64319999.99999999,-96020000.0,14920000.0,0,-65940000.0,-80250000.0,-76560000.0,-83690000.0,-78020000.0,-78960000.0,-86940000.0,-85000000.0,-81500000.0,-62750000.0,-104090000.0,-69630000.0,-158480000.0,-58840000.0,-53430000.0,-69500000.0
EBIT,158980000.0,138490000.0,115820000.0,72540000.0,61080000.0,38090000.0,87290000.0,82900000.0,77820000.0,3010000.0,72480000.0,63150000.0,81630000.0,45750000.0,88070000.0,43520000.0,72520000.0,59360000.0,101840000.0,83540000.0,40360000.0,51580000.0,95790000.0,8189999.999999999,34660000.0,-96480000.0,-13430000.0,-126220000.0,58970000.0,45880000.0,56700000.0,34240000.0,8029999.999999999,77820000.0,41370000.0,18610000.0,26940000.0,23180000.0,0,36060000.0,9500000.0,120560000.0,0,44070000.0,22090000.0,18930000.0,18210000.0,21410000.0,19500000.0,1820000.0,8780000.0,12210000.0,19830000.0,-19580000.0,25310000.0,-66959999.99999999,19230000.0,24240000.0,11210000.0
Resultado financeiro,-48560000.0,-49950000.0,-51110000.0,-57300000.0,-52930000.0,-29700000.0,-41920000.0,-52760000.0,-25750000.0,-38950000.0,20020000.0,-24100000.0,-27980000.0,-973000.0,-21450000.0,2190000.0,-39000000.0,-25040000.0,-45160000.0,-17600000.0,-18110000.0,-38780000.0,-16270000.0,-45880000.0,-40430000.0,-23790000.0,-18450000.0,-15660000.0,-19130000.0,-12020000.0,-24900000.0,-27570000.0,-21660000.0,-23190000.0,-52140000.0,-20900000.0,-28680000.0,-22150000.0,0,-16830000.0,-22890000.0,-17490000.0,0,-9520000.0,-8600000.0,-9680000.0,-8170000.0,-6920000.0,-8480000.0,-8990000.0,-7230000.0,-3560000.0,-8690000.0,-7880000.0,-8680000.0,-10600000.0,-5830000.0,-5140000.0,-5430000.0
Antes dos impostos,110430000.0,88530000.0,64709999.99999999,15240000.0,8150000.0,8400000.0,45370000.0,30140000.0,52070000.0,-35940000.0,92490000.0,39050000.0,53640000.0,44780000.0,66610000.0,45700000.0,33509999.999999996,34310000.0,56670000.0,65940000.0,22240000.0,12800000.0,79530000.0,-37690000.0,-5770000.0,-120270000.0,-31890000.0,-141880000.0,39840000.0,33860000.0,31800000.0,6670000.0,-13630000.0,54630000.0,-10770000.0,-2290000.0,-1740000.0,1030000.0,0,19230000.0,-13380000.0,103070000.0,0,34560000.0,13490000.0,9250000.0,10040000.0,14490000.0,11020000.0,-7170000.0,1550000.0,8660000.0,11130000.0,-27460000.0,16629999.999999998,-77560000.0,13410000.0,19090000.0,5780000.0
Imposto,-37320000.0,-30010000.0,-22110000.0,-5050000.0,-2940000.0,-3020000.0,-15410000.0,-9990000.0,-17750000.0,12090000.0,-31150000.0,-13340000.0,-13240000.0,-19670000.0,-22880000.0,-15320000.0,-11370000.0,-11630000.0,-19380000.0,-21500000.0,-7790000.0,-4590000.0,-26940000.0,69220000.0,2120000.0,2690000.0,2350000.0,40510000.0,-12410000.0,-10380000.0,-9830000.0,-2480000.0,6900000.0,-14870000.0,1930000.0,1690000.0,1230000.0,661000.0,0,-5140000.0,5370000.0,-34160000.0,0,-12840000.0,-6180000.0,-3420000.0,-3300000.0,-5840000.0,-2420000.0,5100000.0,4680000.0,-1490000.0,322000.0,4900000.0,-4800000.0,32369999.999999996,-1280000.0,-5480000.0,2200000.0
Op continuadas,73100000.0,58520000.0,42600000.0,10200000.0,5210000.0,5380000.0,29960000.0,20160000.0,34330000.0,-23840000.0,61350000.0,25700000.0,40400000.0,25110000.0,43740000.0,30390000.0,22140000.0,22680000.0,37290000.0,44440000.0,14450000.0,8210000.000000001,52590000.0,31530000.0,-3640000.0,-117580000.0,-29530000.0,-101370000.0,27430000.0,23480000.0,21980000.0,4190000.0000000005,-6720000.0,39760000.0,-8850000.0,-597000.0,-509000.0,1690000.0,0,14080000.0,-8010000.0,68910000.0,0,21710000.0,7310000.0,5830000.0,6740000.0,8640000.0,8610000.0,-2069999.9999999998,6240000.0,7170000.0,11460000.0,-22550000.0,11830000.0,-45200000.0,12130000.0,13610000.0,7980000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
