Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,3850000000.0,3800000000.0,4010000000.0,3910000000.0,3610000000.0,3590000000.0,4050000000.0,3450000000.0,3320000000.0,3540000000.0,3670000000.0,3790000000.0,4030000000.0000005,3330000000.0,3120000000.0,3640000000.0,2810000000.0,2310000000.0,2520000000.0,2550000000.0,2650000000.0,2470000000.0,2550000000.0,2410000000.0,2550000000.0,2280000000.0,2000000000.0,2080000000.0,2330000000.0,1890000000.0,1830000000.0,1960000000.0,1730000000.0,1760000000.0,1620000000.0,1880000000.0,1490000000.0,2029999999.9999998,1320000000.0,1970000000.0,1270000000.0,1150000000.0,1220000000.0,1140000000.0,1190000000.0,1220000000.0,1440000000.0,1600000000.0,1500000000.0,1370000000.0,1340000000.0,1390000000.0,1260000000.0,1170000000.0,1160000000.0,1220000000.0,1140000000.0,1080000000.0,962700000.0
Custos,-2840000000.0,-2710000000.0,-2650000000.0,-2680000000.0,-2620000000.0,-2530000000.0,-2640000000.0,-2410000000.0,-2620000000.0,-2360000000.0,-2510000000.0,-2790000000.0,-3030000000.0,-2490000000.0,-2380000000.0,-2830000000.0,-2170000000.0,-1840000000.0,-1890000000.0,-1950000000.0,-2100000000.0,-1860000000.0,-1990000000.0,-1910000000.0,-2049999999.9999998,-1840000000.0,-1710000000.0,-1790000000.0,-2069999999.9999998,-1550000000.0,-1490000000.0,-1720000000.0,-1440000000.0,-1340000000.0,-1280000000.0,-1480000000.0,-1200000000.0,-1670000000.0,-952690000.0,-1030000000.0,-1060000000.0,-989800000.0,-1010000000.0,-775720000.0,-894350000.0,-894150000.0,-963230000.0,-1210000000.0,-1040000000.0,-1010000000.0,-875490000.0,-924990000.0,-849590000.0,-754800000.0,-786050000.0,-780460000.0,-788480000.0,-695860000.0,-638060000.0
Lucro bruto,1010000000.0,1080000000.0,1360000000.0,1240000000.0,983000000.0,1060000000.0,1410000000.0,1040000000.0,704000000.0,1180000000.0,1160000000.0,993000000.0,996000000.0,841000000.0,742000000.0,813000000.0,638000000.0,471000000.0,631000000.0,600000000.0,552000000.0,609000000.0,564500000.0,504300000.0,499300000.0,435770000.0,285570000.0,289740000.0,259610000.0,343960000.0,339510000.0,245550000.0,286700000.0,418220000.0,336720000.0,400430000.0,289920000.0,355900000.0,368610000.0,940950000.0,210150000.0,163590000.0,213040000.0,364680000.0,294520000.0,322400000.0,473810000.0,387150000.0,460900000.0,361700000.0,465060000.0,460790000.0,406750000.0,411420000.0,372980000.0,439300000.0,348000000.0,379520000.0,324650000.0
Despesas operacionais,-248000000.0,-216000000.0,-244000000.0,-175000000.0,-232000000.0,-262000000.0,-238000000.0,-226000000.0,-208000000.0,-227000000.0,-216000000.0,-195000000.0,-181000000.0,-190000000.0,-188000000.0,-183000000.0,-190000000.0,-200000000.0,-169000000.0,-200000000.0,-165000000.0,-163000000.0,-152400000.0,-201210000.0,-115970000.0,-139830000.0,-120820000.0,-109230000.0,-146950000.0,-153950000.0,-133889999.99999999,-70600000.0,-164940000.0,-168750000.0,-143690000.0,-188940000.0,-166680000.0,-149600000.0,-132759999.99999999,-432030000.0,-68770000.0,-67650000.0,-70930000.0,-179470000.0,-155250000.0,-149740000.0,-156220000.0,-206520000.0,-212540000.0,-115870000.0,-201110000.0,-255140000.0,-126640000.0,-95690000.0,-128360000.00000001,-96970000.0,-79570000.0,-97430000.0,-83930000.0
EBIT,765000000.0,868000000.0,1110000000.0,1060000000.0,751000000.0,795000000.0,1170000000.0,817000000.0,496000000.0,950000000.0,939000000.0,798000000.0,815000000.0,651000000.0,554000000.0,630000000.0,448000000.0,271000000.0,462000000.0,400000000.0,387000000.0,446000000.0,412100000.0,303090000.0,383330000.0,295940000.0,164750000.0,180510000.0,112660000.0,190000000.0,205620000.0,174950000.0,121760000.0,249460000.0,193040000.0,211490000.0,123250000.0,206300000.0,235850000.0,508920000.0,141380000.0,95950000.0,142120000.0,185210000.0,139270000.0,172660000.0,317590000.0,180620000.0,248360000.0,245840000.0,263950000.0,205640000.0,280100000.0,315730000.0,244620000.0,342330000.0,268430000.0,282090000.0,240720000.0
Resultado financeiro,-423000000.0,-424000000.0,-459000000.0,-425000000.0,-431000000.0,-448000000.0,-446000000.0,-361000000.0,-322000000.0,-347000000.0,-285000000.0,-293000000.0,-189000000.0,-162000000.0,-113000000.0,-104000000.0,-64000000.0,-68000000.0,-117000000.0,-111000000.0,-130000000.0,-125000000.0,-116200000.0,-118860000.0,-77580000.0,-92500000.0,-98100000.0,-99310000.0,-138780000.0,-131860000.00000001,-106740000.0,-115470000.0,-114920000.0,-120360000.0,-115980000.0,-86240000.0,-86250000.0,-53060000.0,-107590000.0,-147500000.0,-92580000.0,-69810000.0,-39900000.0,-85700000.0,-32259999.999999996,-49940000.0,-43510000.0,14670000.0,-53970000.0,-53740000.0,-68130000.0,-48030000.0,-45180000.0,-41680000.0,-43710000.0,-26510000.0,44760000.0,-25240000.0,-11680000.0
Antes dos impostos,342000000.0,444000000.0,654000000.0,636000000.0,320000000.0,347000000.0,722000000.0,456000000.0,174000000.0,603000000.0,654000000.0,505000000.0,626000000.0,489000000.0,441000000.0,526000000.0,384000000.0,203000000.0,345000000.0,289000000.0,257000000.0,321000000.0,295900000.0,184230000.0,305750000.0,203440000.0,66650000.00000001,81200000.0,-26130000.0,58150000.0,98870000.0,59480000.0,6840000.0,129100000.0,77060000.0,125250000.0,37000000.0,153240000.0,128259999.99999999,361420000.0,48800000.0,26130000.0,102220000.0,99510000.0,107010000.0,122720000.0,274080000.0,195300000.0,194390000.0,192100000.0,195820000.0,157620000.0,234920000.0,274060000.0,200910000.0,315820000.0,313190000.0,256860000.0,229040000.0
Imposto,-48000000.0,-99000000.0,-114000000.0,-67000000.0,-50000000.0,83000000.0,-152000000.0,-69000000.0,21000000.0,-136000000.0,-136000000.0,-74000000.0,-145000000.0,-69000000.0,-104000000.0,-56000000.0,-83000000.0,-29000000.0,-71000000.0,-14000000.0,-49000000.0,-26000000.0,-65400000.00000001,-4840000.0,-68110000.0,-31550000.0,-17010000.0,-28750000.0,8600000.0,4300000.0,-19200000.0,22870000.0,14850000.0,-25010000.0,-25500000.0,-52050000.0,-7200000.0,-22440000.0,-25940000.0,-37350000.0,-5650000.0,-6420000.0,-13380000.0,-19300000.0,-15300000.0,-22350000.0,-41360000.0,-13440000.0,-29310000.0,-29570000.0,-32630000.000000004,-19530000.0,-30810000.0,-43550000.0,-23130000.0,-51370000.0,-46120000.0,-35590000.0,-36100000.0
Op continuadas,294000000.0,345000000.0,540000000.0,569000000.0,270000000.0,430000000.0,570000000.0,387000000.0,195000000.0,467000000.0,518000000.0,431000000.0,481000000.0,420000000.0,337000000.0,470000000.0,301000000.0,174000000.0,274000000.0,275000000.0,208000000.0,295000000.0,230500000.0,179390000.0,237640000.0,171890000.0,49640000.0,52460000.0,-17520000.0,62440000.0,79670000.0,82340000.0,21690000.0,104090000.0,51550000.0,73200000.0,29800000.0,130789999.99999999,102310000.0,324060000.0,43150000.0,19710000.0,88850000.0,80210000.0,91710000.0,100370000.0,232720000.0,181850000.0,165080000.0,162530000.0,163190000.0,138090000.0,204110000.0,230510000.0,177780000.0,264450000.0,267070000.0,221260000.0,192940000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
