Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,2520000000.0,2480000000.0,2560000000.0,2770000000.0,2620000000.0,2640000000.0,2570000000.0,2750000000.0,2640000000.0,2540000000.0,2760000000.0,3140000000.0,3010000000.0,2810000000.0,2720000000.0,1310000000.0,1180000000.0,977720000.0,1210000000.0,1290000000.0,1250000000.0,1320000000.0,1430000000.0,3010000000.0,2960000000.0,2930000000.0,2780000000.0,3040000000.0,2930000000.0,2830000000.0,2800000000.0,3120000000.0,3060000000.0,3070000000.0,3050000000.0,3060000000.0,2920000000.0,2800000000.0,2350000000.0,2130000000.0,1940000000.0,1840000000.0,1820000000.0,1850000000.0,1740000000.0,1620000000.0,1520000000.0,1610000000.0,1320000000.0,1250000000.0,1200000000.0,1200000000.0,1060000000.0,983140000.0,965000000.0,1040000000.0,1030000000.0,970090000.0,953110000.0
Custos,-1470000000.0,-1440000000.0,-1410000000.0,-1430000000.0,-1370000000.0,-1400000000.0,-1410000000.0,-1490000000.0,-1470000000.0,-1470000000.0,-1850000000.0,-2109999999.9999998,-2140000000.0000002,-2000000000.0,-2029999999.9999998,-751280000.0,-700530000.0,-642510000.0,-726340000.0,-739730000.0,-641370000.0,-612540000.0,-643920000.0,-1630000000.0,-1610000000.0,-1570000000.0,-1430000000.0,-1530000000.0,-1500000000.0,-1400000000.0,-1370000000.0,-1510000000.0,-1500000000.0,-1520000000.0,-1460000000.0,-1570000000.0,-1440000000.0,-1300000000.0,-993370000.0,-905820000.0,-781290000.0,-703780000.0,-659730000.0,-727140000.0,-655110000.0,-610360000.0,-557050000.0,-604230000.0,-422010000.0,-395830000.0,-385540000.0,-405740000.0,-365620000.0,-342390000.0,-311490000.0,-354650000.0,-317060000.0,-257459999.99999997,-251660000.0
Lucro bruto,1050000000.0,1040000000.0,1150000000.0,1340000000.0,1250000000.0,1250000000.0,1160000000.0,1270000000.0,1170000000.0,1070000000.0000001,913850000.0,1030000000.0,867910000.0,808540000.0,692350000.0,553920000.0,481140000.0,335210000.0,484650000.0,550800000.0,612710000.0,711040000.0,788570000.0,1380000000.0,1350000000.0,1360000000.0,1350000000.0,1500000000.0,1440000000.0,1430000000.0,1430000000.0,1610000000.0,1560000000.0,1550000000.0,1580000000.0,1490000000.0,1470000000.0,1490000000.0,1360000000.0,1220000000.0,1160000000.0,1140000000.0,1160000000.0,1130000000.0,1080000000.0,1010000000.0,966470000.0,1010000000.0,899320000.0,849220000.0,818780000.0,798580000.0,690640000.0,640750000.0,653510000.0,683580000.0,714000000.0,712630000.0,701450000.0
Despesas operacionais,-694470000.0,-533760000.0,-623210000.0,-559390000.0,-479480000.0,-46250000.0,-401070000.0,-587720000.0,-395020000.0,-289560000.0,-467070000.0,-1980000000.0,-451930000.0,-486690000.0,-374560000.0,-216520000.0,-340020000.0,-434640000.0,-307440000.0,-355180000.0,-290800000.0,-310510000.0,-291940000.0,-524270000.0,-431500000.0,-442120000.0,-339890000.0,-359920000.0,-371560000.0,-393950000.0,-352120000.0,-450800000.0,-416600000.0,-444230000.0,-424930000.0,-418670000.0,-369780000.0,-363220000.0,-328270000.0,-412400000.0,-306620000.0,-285220000.0,-259220000.00000003,-313550000.0,-250020000.0,-235480000.0,-201530000.0,-265240000.0,-187460000.0,-219820000.0,-123150000.0,-201330000.0,-159980000.0,-115410000.0,-139920000.0,-130400000.0,-108830000.0,-102570000.0,-99250000.0
EBIT,354450000.0,508060000.0,528780000.0,778560000.0,767160000.0,1200000000.0,759860000.0,679220000.0,773890000.0,785100000.0,446780000.0,-951820000.0,415980000.0,321850000.0,317790000.0,337400000.0,141120000.0,-99430000.0,177210000.0,195620000.0,321910000.0,400530000.0,496630000.0,859110000.0,919000000.0,916830000.0,1010000000.0,1140000000.0,1060000000.0,1040000000.0,1080000000.0,1160000000.0,1140000000.0,1110000000.0,1160000000.0,1070000000.0000001,1100000000.0,1130000000.0,1030000000.0,810480000.0,850550000.0,851730000.0,898740000.0,812760000.0,832390000.0,773920000.0,764940000.0,745080000.0,711860000.0,629400000.0,695630000.0,597250000.0,530669999.99999994,525340000.00000006,513590000.00000006,553180000.0,605170000.0,610060000.0,602210000.0
Resultado financeiro,93250000.0,85900000.0,37870000.0,4560000.0,-38370000.0,-49790000.0,-71060000.0,-97360000.0,-104870000.0,-100350000.0,-83710000.0,-62080000.0,-33090000.000000004,-16610000.0,33770000.0,13890000.0,8020000.0,38480000.0,50730000.0,72920000.0,111540000.0,126210000.0,230710000.0,238740000.0,292750000.0,323210000.0,389410000.0,437890000.0,477970000.0,435130000.0,403970000.0,387580000.0,370640000.0,351830000.0,341260000.0,297510000.0,258290000.00000003,217350000.0,330000000.0,391370000.0,377630000.0,325660000.0,301710000.0,263910000.00000003,219070000.0,186620000.0,185040000.0,179310000.0,198910000.0,188620000.0,177890000.0,166380000.0,149430000.0,118840000.0,118980000.0,106410000.0,111220000.0,77110000.0,79700000.0
Antes dos impostos,447700000.0,593960000.0,566650000.0,783130000.0,728790000.0,1150000000.0,688800000.0,581860000.0,669010000.0,684750000.0,363060000.0,-1010000000.0,382890000.0,305240000.0,351560000.0,351290000.0,149140000.0,-60950000.0,227940000.0,268550000.0,433450000.0,526740000.0,727340000.0,1100000000.0,1210000000.0,1240000000.0,1400000000.0,1580000000.0,1540000000.0,1480000000.0,1490000000.0,1540000000.0,1520000000.0,1460000000.0,1500000000.0,1370000000.0,1360000000.0,1350000000.0,1360000000.0,1200000000.0,1230000000.0,1180000000.0,1200000000.0,1080000000.0,1050000000.0,960550000.0,949980000.0,924390000.0,910770000.0,818020000.0,873520000.0,763630000.0,680100000.0,644180000.0,632570000.0,659590000.0,716390000.0,687160000.0,681900000.0
Imposto,-203320000.0,-133880000.0,12170000.0,-207380000.0,-186220000.0,-325010000.0,-163740000.0,-165190000.0,-169010000.0,-134590000.0,-115220000.0,-49300000.0,-115150000.0,-82770000.0,-95610000.0,-53070000.0,-48700000.0,-14260000.0,-61140000.0,-47230000.0,-80600000.0,-98290000.0,-182570000.0,-317630000.0,-359870000.0,-369690000.0,-342880000.0,-474470000.0,-471450000.0,-435570000.0,-439690000.0,-480540000.0,-463690000.0,-430010000.0,-463040000.0,-466740000.0,-443110000.0,-439600000.0,-433950000.0,-396240000.0,-407680000.0,-380450000.0,-394570000.0,-353880000.0,-359930000.0,-326630000.0,-317540000.0,-301200000.0,-320080000.0,-267430000.0,-305820000.0,-255970000.0,-221060000.0,-219240000.0,-207300000.0,-215080000.0,-227910000.0,-229440000.0,-241690000.0
Op continuadas,244390000.0,460080000.0,578830000.0,575750000.0,542580000.0,825080000.0,525070000.00000006,416670000.0,500000000.0,550160000.0,247850000.0,-1060000000.0,267730000.00000003,222470000.0,255960000.0,298210000.0,100440000.0,-75210000.0,166800000.0,221310000.0,352850000.0,428450000.0,544770000.0,780220000.0,851880000.0,870340000.0,1060000000.0,1110000000.0,1070000000.0000001,1040000000.0,1050000000.0,1060000000.0,1050000000.0,1030000000.0,1040000000.0,899170000.0,918540000.0,907560000.0,926170000.0,805610000.0,820510000.0,796940000.0,805880000.0,722790000.0,691530000.0,633920000.0,632430000.0,623190000.0,590680000.0,550600000.0,567700000.0,507660000.0,459040000.0,424950000.0,425270000.0,444500000.0,488480000.0,457720000.0,440210000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,244390000.0,460080000.0,578830000.0,575750000.0,542580000.0,825080000.0,525070000.00000006,416670000.0,500000000.0,550160000.0,247850000.0,-1060000000.0,267730000.00000003,222470000.0,255960000.0,298210000.0,100440000.0,-75210000.0,166800000.0,221310000.0,352850000.0,428450000.0,544770000.0,780220000.0,851880000.0,870340000.0,1060000000.0,1110000000.0,1070000000.0000001,1040000000.0,1050000000.0,1060000000.0,1050000000.0,1030000000.0,1040000000.0,899170000.0,918540000.0,907560000.0,926170000.0,805610000.0,820510000.0,796940000.0,805880000.0,722790000.0,691530000.0,633920000.0,632430000.0,623190000.0,590680000.0,550600000.0,567700000.0,507660000.0,459040000.0,424950000.0,425270000.0,444500000.0,488480000.0,457720000.0,440210000.0
Dos controladores,169690000.0,385610000.0,503330000.0,481300000.0,456780000.0,708560000.0,440500000.0,328040000.0,422140000.0,476740000.0,184550000.0,-1130000000.0,212860000.0,181330000.0,232070000.0,,,,,,,,,724130000.0,793220000.0,817510000.0,1010000000.0,1040000000.0,1020000000.0,994250000.0,1000000000.0,1010000000.0,1010000000.0,989170000.0,995390000.0,852680000.0,877460000.0,869450000.0,911850000.0,803010000.0,817370000.0,796790000.0,802680000.0,720740000.0,689500000.0,633100000.0,630260000.0,621800000.0,588920000.0,548850000.0,566590000.0,504550000.0,457550000.0,423580000.0,424650000.0,443340000.0,488060000.0,457720000.0,440210000.0
Dos não controladores,74700000.0,74480000.0,75490000.0,94450000.0,85790000.0,116510000.0,84570000.0,88620000.0,77860000.0,73420000.0,63300000.0,68130000.0,54880000.0,41140000.0,23890000.0,,,,,,,,,56090000.0,58660000.0,52830000.0,49940000.0,65319999.99999999,52920000.0,46240000.0,44070000.0,52510000.0,42140000.0,40540000.0,42870000.0,46490000.0,41090000.0,38110000.0,14320000.0,2600000.0,3140000.0,152000.0,3200000.0,2049999.9999999998,2029999.9999999998,821000.0,2170000.0,1390000.0,1760000.0,1740000.0,1110000.0,3110000.0,1490000.0,1370000.0,616000.0,1160000.0,419000.0,0,0
