Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,2630000000.0,2620000000.0,2600000000.0,2720000000.0,2550000000.0,2560000000.0,2570000000.0,2400000000.0,2460000000.0,2370000000.0,2680000000.0,2800000000.0,3600000000.0,2410000000.0,2520000000.0,2730000000.0,2049999999.9999998,1970000000.0,2109999999.9999998,2069999999.9999998,2029999999.9999998,1780000000.0,2130000000.0,1690000000.0,2220000000.0,1980000000.0,1770000000.0,1970000000.0,1930000000.0,1650000000.0,1540000000.0,1690000000.0,1540000000.0,1240000000.0,1650000000.0,1990000000.0,1590000000.0,1650000000.0,1810000000.0,2150000000.0,1430000000.0,1360000000.0,1300000000.0,1320000000.0,1190000000.0,1090000000.0,1280000000.0,1290000000.0,1010000000.0,992890000.0,1120000000.0,1100000000.0,1050000000.0,982280000.0,1060000000.0,1100000000.0,983160000.0,912560000.0,1040000000.0
Custos,-2280000000.0,-2080000000.0,-2080000000.0,-2300000000.0,-2280000000.0,-2080000000.0,-2080000000.0,-2060000000.0,-2210000000.0,-2049999999.9999998,-2140000000.0000002,-2510000000.0,-3250000000.0,-2140000000.0000002,-2160000000.0,-2340000000.0,-1780000000.0,-1750000000.0,-1790000000.0,-1850000000.0,-1750000000.0,-1570000000.0,-1860000000.0,-1540000000.0,-2040000000.0,-1740000000.0,-1530000000.0,-1760000000.0,-1690000000.0,-1480000000.0,-1270000000.0,-1470000000.0,-1290000000.0,-1340000000.0,-1480000000.0,-1610000000.0,-1540000000.0,-1540000000.0,-1680000000.0,-1600000000.0,-1230000000.0,-1150000000.0,-1250000000.0,-1190000000.0,-989150000.0,-579850000.0,-1290000000.0,-1260000000.0,-898960000.0,-974800000.0,-871230000.0,-901320000.0,-805750000.0,-756880000.0,-799510000.0,-945330000.0,-895700000.0,-784360000.0,-752950000.0
Lucro bruto,349930000.0,537040000.0,525049999.99999994,420010000.0,269360000.0,471990000.0,496200000.0,337640000.0,245880000.0,314600000.0,540860000.0,297960000.0,357120000.0,272070000.0,359890000.0,393600000.0,264160000.00000003,226290000.0,319670000.0,228240000.0,278030000.0,216680000.0,269960000.0,155710000.0,178850000.0,243410000.0,236750000.0,207240000.0,239880000.0,164670000.0,267760000.0,218510000.0,242960000.0,-100880000.0,164000000.0,385520000.0,52060000.0,103170000.0,133320000.0,557710000.0,196480000.0,212740000.0,53250000.0,123420000.0,200200000.0,508120000.0,-11900000.0,34150000.0,113340000.0,18090000.0,246760000.0,203140000.0,242060000.0,225400000.0,257350000.00000003,151950000.0,87470000.0,128199999.99999999,290820000.0
Despesas operacionais,-182520000.0,-92970000.0,-151370000.0,-382380000.0,-147260000.0,-159070000.0,-143740000.0,-185170000.0,-138550000.0,-161510000.0,-151400000.0,-161300000.0,-119540000.0,-144640000.0,-64190000.0,-145700000.0,-144770000.0,-139230000.0,-92380000.0,-135480000.0,-121070000.0,-121760000.0,-117470000.0,-97600000.0,-126280000.0,-111700000.0,-98530000.0,-173860000.0,-153980000.0,-139720000.0,-106800000.0,-107010000.0,-104080000.0,-117840000.0,-101900000.0,-130350000.0,-76230000.0,-115960000.0,-68970000.0,193730000.0,-107000000.0,-129630000.0,-129520000.00000001,-153480000.0,-148090000.0,-179040000.0,-194190000.0,-330230000.0,-318190000.0,-125330000.0,-143400000.0,-133840000.0,-144070000.0,-113840000.0,-97360000.0,-87340000.0,-116930000.0,-82800000.0,-98330000.0
EBIT,167410000.0,444070000.0,373690000.0,37630000.0,122090000.0,312920000.0,352460000.0,152470000.0,107330000.0,153080000.0,389470000.0,136660000.0,237590000.0,127430000.0,295690000.0,247900000.0,119390000.0,87060000.0,227280000.0,92760000.0,156960000.0,94910000.0,152490000.0,58110000.0,52570000.0,131699999.99999999,138230000.0,33380000.000000004,85900000.0,24950000.0,160960000.0,111500000.0,138880000.0,-218720000.0,62100000.0,255160000.0,-24170000.0,-12780000.0,64349999.99999999,751440000.0,89470000.0,83100000.0,-76270000.0,-30070000.0,52100000.0,329070000.0,-206080000.0,-296080000.0,-204840000.0,-107240000.0,103370000.0,69300000.0,97990000.0,111560000.0,159980000.0,64610000.0,-29470000.0,45410000.0,192490000.0
Resultado financeiro,-82190000.0,-55640000.0,-49540000.0,27400000.0,-96090000.0,-20200000.0,-52900000.0,-24960000.0,-28960000.0,-9280000.0,-19490000.0,-29580000.0,19840000.0,24690000.0,9220000.0,36620000.0,14970000.0,49000.0,-8570000.0,-17640000.0,-2400000.0,-29920000.0,-26190000.0,-77240000.0,19670000.0,-16520000.0,-19340000.0,-1950000.0,-15090000.0,-136620000.0,4620000.0,-85200000.0,43360000.0,-52960000.0,-25510000.0,-114250000.0,-50750000.0,47760000.0,8740000.0,-24250000.0,-30430000.0,-4550000.0,46000000.0,106610000.0,15410000.0,19720000.0,9540000.0,90650000.0,15340000.0,8590000.0,15640000.0,7100000.0,-22720000.0,17360000.0,13480000.0,32250000.0,20010000.0,16970000.0,15580000.0
Antes dos impostos,85220000.0,388440000.0,324140000.0,65030000.0,26000000.0,292730000.0,299560000.0,127510000.0,78360000.0,143810000.0,369970000.0,107080000.0,257430000.0,152120000.0,304910000.0,284520000.0,134370000.0,87110000.0,218720000.0,75120000.0,154560000.0,64989999.99999999,126300000.0,-19130000.0,72240000.0,115190000.0,118890000.0,31430000.0,70820000.0,-111670000.0,165580000.0,26300000.0,182240000.0,-271680000.0,36590000.0,140910000.0,-74920000.0,34980000.0,73090000.0,727190000.0,59040000.0,78560000.0,-30270000.0,76550000.0,67510000.0,348790000.0,-196540000.0,-205430000.0,-189500000.0,-98650000.0,119000000.0,76400000.0,75270000.0,128910000.0,173470000.0,96860000.0,-9460000.0,62370000.0,208070000.0
Imposto,-9080000.0,-110870000.0,-92130000.0,23940000.0,9040000.0,-77750000.0,-81500000.0,-24140000.0,-2200000.0,-42640000.0,-110110000.0,-18800000.0,-81830000.0,-51960000.0,-105760000.0,-50880000.0,-54040000.0,-26420000.0,-74680000.0,-9810000.0,-55420000.0,-18540000.0,-53630000.0,1870000.0,-30160000.0,-45970000.0,-47900000.0,-26490000.0,-11490000.0,12230000.0,-63920000.0,-6820000.0,-60590000.0,94780000.0,-10640000.0,-39290000.0,17680000.0,-4430000.0,-17330000.0,-243490000.0,-21490000.0,-13930000.0,-42540000.0,-27230000.0,144890000.0,-230920000.0,15810000.0,72160000.0,53500000.0,33439999.999999996,-40260000.0,1630000.0,-26680000.0,-47830000.0,-57290000.0,910000.0,-551000.0,-18650000.0,-66040000.00000001
Op continuadas,76140000.0,277570000.0,232010000.0,88960000.0,35040000.0,214970000.0,218060000.0,103370000.0,76170000.0,101170000.0,259860000.0,88270000.0,175590000.0,100150000.0,199150000.0,233640000.0,80320000.0,60690000.0,144030000.0,65310000.0,99140000.0,46450000.0,72670000.0,-17260000.0,42080000.0,69220000.0,70990000.0,4950000.0,59330000.0,-99440000.0,101660000.0,19470000.0,121650000.0,-176900000.0,25950000.0,101610000.0,-57240000.0,30540000.0,55760000.0,483700000.0,37550000.0,64620000.00000001,-72810000.0,49320000.0,212410000.0,117880000.0,-180730000.0,-133259999.99999999,-136000000.0,-65209999.99999999,78750000.0,78030000.0,48590000.0,81090000.0,116180000.0,97770000.0,-10010000.0,43720000.0,142030000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,76140000.0,277570000.0,232010000.0,88960000.0,35040000.0,214970000.0,218060000.0,103370000.0,76170000.0,101170000.0,259860000.0,88270000.0,175590000.0,100150000.0,199150000.0,233640000.0,80320000.0,60690000.0,144030000.0,65310000.0,99140000.0,46450000.0,72670000.0,-17260000.0,42080000.0,69220000.0,70990000.0,4950000.0,59330000.0,-99440000.0,101660000.0,19470000.0,121650000.0,-176900000.0,25950000.0,101610000.0,-57240000.0,30540000.0,55760000.0,483700000.0,37550000.0,64620000.00000001,-72810000.0,49320000.0,212410000.0,117880000.0,-180730000.0,-133259999.99999999,-136000000.0,-65209999.99999999,78750000.0,78030000.0,48590000.0,81090000.0,116180000.0,97770000.0,-10010000.0,43720000.0,142030000.0
Dos controladores,76140000.0,0,232010000.0,88960000.0,35040000.0,214970000.0,218060000.0,103370000.0,76170000.0,101170000.0,259860000.0,88270000.0,175590000.0,100150000.0,199150000.0,233640000.0,80320000.0,60690000.0,144030000.0,65310000.0,99140000.0,46450000.0,72670000.0,-17260000.0,42080000.0,69220000.0,70990000.0,4950000.0,59330000.0,-99440000.0,101660000.0,19470000.0,121650000.0,-176900000.0,25950000.0,101610000.0,-57240000.0,30540000.0,55760000.0,483700000.0,37550000.0,64620000.00000001,-72810000.0,49320000.0,212410000.0,117880000.0,-180730000.0,-133259999.99999999,-136000000.0,-65209999.99999999,78750000.0,78030000.0,48590000.0,81090000.0,116180000.0,97770000.0,-10010000.0,43720000.0,142030000.0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
