Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,10150000000.0,9440000000.0,9060000000.0,9960000000.0,9430000000.0,8820000000.0,8650000000.0,9750000000.0,9220000000.0,8210000000.000001,7850000000.0,9660000000.0,9520000000.0,7350000000.0,7110000000.0,7260000000.0,6420000000.0,5500000000.0,6040000000.0,6490000000.0,6070000000.0,7020000000.0,5910000000.0,5470000000.0,6250000000.0,5610000000.0,4940000000.0,6560000000.0,5140000000.0,5210000000.0,4810000000.0,4670000000.0,4900000000.0,4760000000.0,4450000000.0,5560000000.0,4870000000.0,5490000000.0,5940000000.0,6330000000.0,3800000000.0,4700000000.0,4710000000.0,3960000000.0,3550000000.0,3440000000.0,3680000000.0,3810000000.0,3670000000.0,3460000000.0,3190000000.0,4320000000.0,4040000000.0,3800000000.0,0,3670000000.0,3650000000.0,3430000000.0,0
Custos,-8490000000.0,-6930000000.0,-7030000000.0,-7720000000.0,-7380000000.0,-6800000000.0,-6560000000.0,-7590000000.0,-7660000000.0,-7860000000.0,-5950000000.0,-7840000000.0,-7860000000.0,-5900000000.0,-5330000000.0,-5880000000.0,-4920000000.0,-4520000000.0,-4530000000.0,-5070000000.0,-5890000000.0,-4420000000.0,-4219999999.9999995,-4340000000.0,-5120000000.0,-4490000000.0,-3730000000.0,-5090000000.0,-4690000000.0,-4260000000.0,-3440000000.0,-3730000000.0,-3640000000.0,-3630000000.0,-3430000000.0,-3840000000.0,-4090000000.0,-3890000000.0,-3960000000.0,-4139999999.9999995,-3030000000.0,-3060000000.0,-2560000000.0,-2880000000.0,-2630000000.0,-2390000000.0,-1960000000.0,-2990000000.0,-2500000000.0,-2240000000.0,-1970000000.0,-2780000000.0,-2500000000.0,-2520000000.0,0,-2190000000.0,-2500000000.0,-2410000000.0,0
Lucro bruto,1660000000.0,2500000000.0,2029999999.9999998,2240000000.0,2040000000.0,2020000000.0,2080000000.0,2160000000.0,1560000000.0,355730000.0,1900000000.0,1810000000.0,1670000000.0,1460000000.0,1780000000.0,1380000000.0,1500000000.0,983770000.0,1520000000.0,1410000000.0,176910000.0,2600000000.0,1700000000.0,1130000000.0,1130000000.0,1120000000.0,1210000000.0,1460000000.0,442710000.0,940890000.0,1380000000.0,934980000.0,1250000000.0,1130000000.0,1030000000.0,1710000000.0,783410000.0,1610000000.0,1980000000.0,2190000000.0,769120000.0,1640000000.0,2150000000.0,1090000000.0,918460000.0,1050000000.0,1720000000.0,822180000.0,1170000000.0,1220000000.0,1230000000.0,1540000000.0,1540000000.0,1290000000.0,0,1480000000.0,1160000000.0,1020000000.0,0
Despesas operacionais,2950000000.0,-470880000.0,-342770000.0,-135740000.0,-348750000.0,-443700000.0,-225520000.0,-508210000.0,-62010000.0,-290060000.0,-263339999.99999997,-445690000.0,-41130000.0,891660000.0,-175930000.0,-72640000.0,-273790000.0,636580000.0,-966730000.0,-640610000.0,-534720000.0,-1040000000.0,-467790000.0,-777140000.0,-449960000.0,-454220000.0,-411800000.0,-144720000.0,-548130000.0,-410680000.0,-478630000.0,-1050000000.0,-262690000.0,-648190000.0,-579920000.0,-1120000000.0,-247340000.0,-455460000.0,445220000.0,-204030000.0,-462500000.0,-272640000.0,-220350000.0,-284340000.0,183610000.0,14320000.0,-329650000.0,-769230000.0,165320000.0,-180890000.0,-182880000.0,-529909999.99999994,-299840000.0,-270280000.0,0,-616710000.0,-162740000.0,-189300000.0,0
EBIT,4610000000.0,2029999999.9999998,1680000000.0,2100000000.0,1690000000.0,1580000000.0,1860000000.0,1660000000.0,1500000000.0,65670000.0,1630000000.0,1370000000.0,1630000000.0,2350000000.0,1610000000.0,1310000000.0,1230000000.0,1620000000.0,548370000.0,773950000.0,-357810000.0,1560000000.0,1230000000.0,357850000.0,680230000.0,663800000.0,794010000.0,1320000000.0,-105410000.0,530210000.00000006,898870000.0,-112940000.0,991450000.0,480460000.0,446140000.0,590010000.0,536070000.00000006,1150000000.0,2420000000.0,1990000000.0,306620000.0,1370000000.0,1930000000.0,804400000.0,1100000000.0,1070000000.0000001,1390000000.0,52950000.0,1340000000.0,1040000000.0,1040000000.0,1010000000.0,1240000000.0,1020000000.0,0,866330000.0,996090000.0,834060000.0,0
Resultado financeiro,-61550000.0,118120000.0,-180990000.0,-98010000.0,-214850000.0,39810000.0,-105910000.0,-69800000.0,-109460000.0,-870950000.0,314160000.0,-310810000.0,-1160000000.0,478530000.0,-1270000000.0,353220000.0,-496620000.0,-35320000.0,-726750000.0,-212960000.0,-233790000.0,1910000000.0,-101560000.0,668850000.0,-332700000.0,-696830000.0,-157800000.0,-274670000.0,12410000.0,-341550000.0,-392750000.0,-384370000.0,-422910000.0,-215510000.0,-414400000.0,-252170000.0,-369740000.0,-353700000.0,-365000000.0,-529010000.0,-209530000.0,-273560000.0,-97540000.0,125960000.0,-119310000.0,-151590000.0,-163540000.0,2140000000.0000002,-169830000.0,-181680000.0,-159190000.0,-204360000.0,-271890000.0,-234230000.0,0,-301060000.0,-167170000.0,-226840000.0,0
Antes dos impostos,4550000000.0,2150000000.0,1500000000.0,2000000000.0,1480000000.0,1620000000.0,1750000000.0,1590000000.0,1390000000.0,-805270000.0,1950000000.0,1060000000.0,471190000.0,2830000000.0,341680000.0,1660000000.0,733220000.0,1590000000.0,-178380000.0,560990000.0,-591600000.0,3470000000.0,1130000000.0,1030000000.0,347530000.0,-33030000.0,636210000.0,1040000000.0,-93000000.0,188650000.0,506120000.0,-497310000.0,568540000.0,264959999.99999997,31740000.0,337840000.0,166320000.0,799100000.0,2060000000.0,1460000000.0,97090000.0,1100000000.0,1830000000.0,930360000.0,982750000.0,916680000.0,1220000000.0,2190000000.0,1170000000.0,858560000.0,883750000.0,805540000.0,968650000.0,782210000.0,0,565280000.0,828910000.0,607220000.0,0
Imposto,-1270000000.0,-462340000.0,-348810000.0,-116700000.0,-242340000.0,-370100000.0,-355190000.0,-179970000.0,-209870000.0,855150000.0,-491500000.0,-95930000.0,-49710000.0,-880350000.0,80670000.0,-388650000.0,-153920000.0,-503380000.0,110240000.0,2970000.0,85700000.0,-1360000000.0,-331490000.0,-311010000.0,-117270000.0,773000.0,-171620000.0,-439670000.0,9330000.0,-50540000.0,-163390000.0,191230000.0,-135030000.0,-62830000.0,-26530000.0,-54680000.0,632000.0,-264839999.99999997,-573700000.0,-339650000.0,-68030000.0,-355960000.0,-578870000.0,-97930000.0,-193910000.0,-299440000.0,-358860000.0,-94260000.0,-231640000.0,-254320000.0,-252360000.0,-96540000.0,-311410000.0,-259149999.99999997,0,105850000.0,-169240000.0,-200110000.0,0
Op continuadas,3280000000.0,1690000000.0,1150000000.0,1890000000.0,1240000000.0,1250000000.0,1400000000.0,1410000000.0,1180000000.0,49880000.0,1460000000.0,962400000.0,421480000.0,1950000000.0,422350000.0,1270000000.0,579300000.0,1080000000.0,-68130000.0,563960000.0,-505900000.0,2109999999.9999998,797240000.0,715690000.0,230260000.0,-32259999.999999996,464600000.0,604410000.0,-83670000.0,138110000.0,342730000.0,-306080000.0,433500000.0,202120000.0,5210000.0,283160000.0,166950000.0,534260000.0,1480000000.0,1120000000.0,29060000.0,740870000.0,1250000000.0,832430000.0,788840000.0,617240000.0,865350000.0,2100000000.0,937130000.0,604230000.0,631390000.0,709000000.0,657250000.0,523059999.99999994,0,671130000.0,659670000.0,407110000.0,0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224070000.0,0,0,327770000.0,14280000.0,21370000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
