Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,10850000000.0,9660000000.0,10170000000.0,10540000000.0,9970000000.0,9390000000.0,9840000000.0,10740000000.0,10010000000.0,9320000000.0,9290000000.0,10920000000.0,11190000000.0,8810000000.0,8289999999.999999,9270000000.0,7780000000.0,6560000000.0,7280000000.0,8020000000.0,7750000000.0,7040000000.0,7130000000.0,6690000000.0,8130000000.000001,6950000000.0,6370000000.0,7460000000.0,7780000000.0,5960000000.0,5540000000.0,5510000000.0,4780000000.0,4480000000.0,4250000000.0,5180000000.0,4970000000.0,5160000000.0,5290000000.0,5240000000.0,4240000000.0,3890000000.0,3930000000.0,3720000000.0,3600000000.0,3600000000.0,3720000000.0,4170000000.0,3830000000.0,3500000000.0,3390000000.0,3400000000.0,3290000000.0,3040000000.0,3020000000.0,3180000000.0,3100000000.0,2870000000.0,2880000000.0
Custos,-7680000000.0,-6670000000.0,-6340000000.0,-6670000000.0,-6760000000.0,-6360000000.0,-6310000000.0,-7260000000.0,-7150000000.0,-6430000000.0,-6680000000.0,-8199999999.999999,-8660000000.0,-6730000000.0,-6360000000.0,-7220000000.0,-5840000000.0,-5340000000.0,-5580000000.0,-6190000000.0,-6060000000.0,-5510000000.0,-5590000000.0,-5180000000.0,-6530000000.0,-5580000000.0,-5060000000.0,-6010000000.0,-6540000000.0,-4890000000.0,-4310000000.0,-4400000000.0,-3660000000.0,-3480000000.0,-3270000000.0,-3750000000.0,-3880000000.0,-4370000000.0,-4280000000.0000005,-3750000000.0,-3310000000.0,-3070000000.0,-3130000000.0,-2810000000.0,-2550000000.0,-2780000000.0,-2540000000.0,-3180000000.0,-2800000000.0,-2670000000.0,-2330000000.0,-2290000000.0,-2230000000.0,-2100000000.0,-1890000000.0,-2300000000.0,-2220000000.0,-2020000000.0,-1800000000.0
Lucro bruto,3170000000.0,2990000000.0,3820000000.0,3870000000.0,3210000000.0,3030000000.0,3520000000.0,3480000000.0,2860000000.0,2890000000.0,2600000000.0,2710000000.0,2530000000.0,2080000000.0,1930000000.0,2060000000.0,1940000000.0,1220000000.0,1700000000.0,1830000000.0,1680000000.0,1530000000.0,1530000000.0,1500000000.0,1600000000.0,1360000000.0,1320000000.0,1450000000.0,1240000000.0,1070000000.0000001,1230000000.0,1110000000.0,1130000000.0,1000000000.0,979780000.0,1430000000.0,1090000000.0,797110000.0,1010000000.0,1490000000.0,936970000.0,823890000.0,793840000.0,905320000.0,1050000000.0,822220000.0,1170000000.0,990540000.0,1020000000.0,833120000.0,1060000000.0,1110000000.0,1060000000.0,939970000.0,1140000000.0,875260000.0,879230000.0,848760000.0,1080000000.0
Despesas operacionais,-604440000.0,-721170000.0,-522450000.00000006,-1360000000.0,-634380000.0,-534559999.99999994,-534010000.0,-243320000.0,-411240000.0,-519559999.99999994,-431460000.0,-633050000.0,-372520000.0,-456730000.0,-387250000.0,-561220000.0,-371980000.0,-445770000.0,-428800000.0,-540570000.0,-483020000.0,-434960000.0,-406490000.0,-550810000.0,-443450000.0,-408570000.0,-343690000.0,-474420000.0,-349880000.0,-422350000.0,-413950000.0,-459570000.0,-321480000.0,-350630000.0,-340500000.0,-361310000.0,-322800000.0,-429290000.0,-355470000.0,-456840000.0,-364640000.0,-337730000.0,-285430000.0,-259880000.0,-252220000.0,-571540000.0,-378520000.0,-530710000.00000006,-356410000.0,-294030000.0,-267350000.00000003,-333350000.0,-277080000.0,-303080000.0,-282390000.0,-243720000.0,-257230000.00000003,-204630000.0,-237870000.0
EBIT,2570000000.0,2270000000.0,3300000000.0,2510000000.0,2580000000.0,2500000000.0,2990000000.0,3240000000.0,2450000000.0,2370000000.0,2170000000.0,2080000000.0,2160000000.0,1620000000.0,1540000000.0,1500000000.0,1570000000.0,775490000.0,1270000000.0,1290000000.0,1200000000.0,1100000000.0,1130000000.0,951190000.0,1160000000.0,955590000.0,975950000.0,979350000.0,889800000.0,645890000.0,819180000.0,649600000.0,803640000.0,654120000.0,639280000.0,1070000000.0000001,765760000.0,367830000.0,657980000.0,1030000000.0,572330000.0,486160000.0,508410000.0,645440000.0,800450000.0,250680000.0,794070000.0,459830000.0,665600000.0,539090000.0,791250000.0,777030000.0,782470000.0,636890000.0,854160000.0,631530000.0,622000000.0,644130000.0,841650000.0
Resultado financeiro,-742510000.0,-716000000.0,-815930000.0,-637310000.0,-683110000.0,-685330000.0,-551090000.0,-1350000000.0,-479690000.0,-648910000.0,-431740000.0,-472770000.0,-189410000.0,-9260000.0,-121040000.0,-172680000.0,-192040000.0,-72260000.0,121010000.0,-162530000.0,-132360000.00000001,-211320000.0,-220040000.0,-270520000.0,-278970000.0,-245670000.0,-307520000.0,-289850000.0,-343400000.0,-418170000.0,-436140000.0,-453600000.0,-416890000.0,-263959999.99999997,-231650000.0,-507840000.0,-346540000.0,-186760000.0,-366730000.0,-267519999.99999997,-374980000.0,-224040000.0,-222910000.0,-171100000.0,-241660000.0,-415040000.0,-143650000.0,-137960000.0,-120410000.0,-152240000.0,-167160000.0,-107020000.0,-205200000.0,-182050000.0,-131110000.00000001,-114710000.0,-73100000.0,-84120000.0,-82010000.0
Antes dos impostos,1830000000.0,1550000000.0,2480000000.0,1880000000.0,1890000000.0,1810000000.0,2440000000.0,1880000000.0,1970000000.0,1730000000.0,1740000000.0,1610000000.0,1970000000.0,1610000000.0,1420000000.0,1320000000.0,1380000000.0,703230000.0,1390000000.0,1130000000.0,1070000000.0000001,884850000.0,906470000.0,680670000.0,880970000.0,709910000.0,668430000.0,689500000.0,546400000.0,227720000.0,383040000.0,196000000.0,386750000.0,390170000.0,407630000.0,562910000.0,419220000.0,181070000.0,291250000.0,765340000.0,197340000.0,262110000.0,285500000.0,474340000.0,558790000.0,-164350000.0,650420000.0,321880000.0,545190000.0,386850000.0,624090000.0,670010000.0,577270000.0,454840000.0,723050000.0,516820000.00000006,548900000.0,560010000.0,759640000.0
Imposto,-494150000.0,-450150000.0,-728270000.0,-549860000.0,-581260000.0,-565630000.0,-788870000.0,-509220000.0,-550370000.0,-462690000.0,-578550000.0,-278450000.0,-535960000.00000006,-487520000.0,-459780000.0,-334330000.0,-28880000.0,-241030000.0,-486120000.0,-270830000.0,-319870000.0,-311180000.0,-336110000.0,-10480000.0,-254740000.0,-259740000.0,-249020000.0,-191950000.0,-156210000.0,-104550000.0,-150920000.0,-58800000.0,-117480000.0,-150030000.0,-175180000.0,-200410000.0,-139000000.0,-90830000.0,-148940000.0,-295730000.0,-100210000.0,-116820000.0,-111100000.0,-151490000.0,-203850000.0,30290000.0,-245120000.0,-129740000.00000001,-188730000.0,-140990000.0,-211480000.0,-184760000.0,-198200000.0,-160760000.0,-257180000.0,-155200000.0,-198120000.0,-200240000.0,-271780000.0
Op continuadas,1330000000.0,1100000000.0,1760000000.0,1330000000.0,1310000000.0,1250000000.0,1650000000.0,1380000000.0,1420000000.0,1260000000.0,1160000000.0,1330000000.0,1440000000.0,1130000000.0,961240000.0,989060000.0,1350000000.0,462210000.0,904130000.0,856530000.0,747740000.0,573670000.0,570360000.0,670190000.0,626220000.0,450180000.0,419400000.0,497550000.0,390200000.0,123170000.0,232120000.0,137200000.0,269270000.0,240130000.0,232450000.0,362510000.0,280220000.0,90240000.0,142310000.0,469620000.0,97130000.0,145290000.0,174400000.0,322860000.0,354940000.0,-134070000.0,405300000.0,192130000.0,356460000.0,245860000.0,412610000.0,485250000.0,379060000.0,294080000.0,465880000.0,361620000.0,350780000.0,359770000.0,487860000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
