Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,5740000000.0,5480000000.0,5420000000.0,5570000000.0,5540000000.0,5100000000.0,5270000000.0,5260000000.0,5110000000.0,5260000000.0,5590000000.0,6590000000.0,6980000000.0,5430000000.0,4990000000.0,5660000000.0,4330000000.0,4580000000.0,4070000000.0000005,4320000000.0,4179999999.9999995,3670000000.0,3900000000.0,3670000000.0,4310000000.0,3610000000.0,3350000000.0,3910000000.0,3640000000.0,3170000000.0,3300000000.0,3300000000.0,2910000000.0,3810000000.0,3080000000.0,3550000000.0,3250000000.0,3910000000.0,4240000000.0,4460000000.0,3290000000.0,3120000000.0,3050000000.0,2440000000.0,2250000000.0,2100000000.0,2380000000.0,2400000000.0,2040000000.0,2029999999.9999998,2020000000.0,2089999999.9999998,2009999999.9999998,1840000000.0,1830000000.0,1890000000.0,1750000000.0,1620000000.0,1640000000.0
Custos,-4560000000.0,-4290000000.0,-4150000000.0000005,-4150000000.0000005,-4580000000.0,-3970000000.0,-3880000000.0,-4019999999.9999995,-4050000000.0,-3960000000.0,-4179999999.9999995,-5560000000.0,-5850000000.0,-3980000000.0,-3720000000.0,-4450000000.0,-3120000000.0,-2820000000.0,-2950000000.0,-3250000000.0,-2900000000.0,-2670000000.0,-2730000000.0,-2860000000.0,-3460000000.0,-2720000000.0,-2460000000.0,-3130000000.0,-2840000000.0,-2450000000.0,-2240000000.0,-3130000000.0,-2400000000.0,-2230000000.0,-2470000000.0,-2570000000.0,-2840000000.0,-3240000000.0,-3150000000.0,-3920000000.0,-2670000000.0,-2530000000.0,-2160000000.0,-2100000000.0,-1720000000.0,-1520000000.0,-1710000000.0,-2089999999.9999998,-1510000000.0,-1590000000.0,-1360000000.0,-1520000000.0,-1430000000.0,-1280000000.0,-1230000000.0,-1380000000.0,-1260000000.0,-1170000000.0,-1150000000.0
Lucro bruto,1170000000.0,1190000000.0,1260000000.0,1410000000.0,964280000.0,1130000000.0,1390000000.0,1250000000.0,1060000000.0,1300000000.0,1410000000.0,1030000000.0,1120000000.0,1450000000.0,1260000000.0,1200000000.0,1210000000.0,1760000000.0,1120000000.0,1080000000.0,1280000000.0,999690000.0,1170000000.0,811260000.0,849380000.0,883960000.0,888490000.0,779210000.0,800090000.0,726410000.0,1050000000.0,168390000.0,510060000.0,1580000000.0,613170000.0,985640000.0,409030000.0,664830000.0,1090000000.0,539280000.0,615940000.0,583430000.0,891100000.0,348860000.0,537030000.0,582500000.0,673830000.0,311820000.0,535960000.00000006,437410000.0,667420000.0,571340000.0,588200000.0,562860000.0,596750000.0,505460000.0,482510000.0,449420000.0,487580000.0
Despesas operacionais,-12380000.0,-245850000.0,-227650000.0,-228240000.0,-512740000.0,-267300000.0,-195050000.0,-598380000.0,-269170000.0,-911660000.0,-238470000.0,-399770000.0,1380000000.0,-185720000.0,-216400000.0,-163760000.0,-317440000.0,-281650000.0,-269310000.0,-315810000.0,-240590000.0,-313300000.0,-295900000.0,-338210000.0,-181310000.0,-237910000.0,-281610000.0,-439710000.0,-344340000.0,-203280000.0,-229970000.0,-227840000.0,-262839999.99999997,-131180000.0,-256970000.00000003,16890000.0,-288120000.0,-337480000.0,-411370000.0,-170940000.0,-274420000.0,-270840000.0,-186510000.0,-249120000.0,-221980000.0,-289170000.0,-155760000.0,-393990000.0,-177670000.0,-175320000.0,-206450000.0,-407330000.0,-209910000.0,-213790000.0,-128979999.99999999,-469430000.0,-153710000.0,-165620000.0,-103910000.0
EBIT,1160000000.0,948230000.0,1040000000.0,1190000000.0,451550000.0,865910000.0,1190000000.0,647750000.0,792070000.0,387910000.0,1170000000.0,634180000.0,2510000000.0,1260000000.0,1050000000.0,1040000000.0,887920000.0,1480000000.0,846890000.0,762410000.0,1040000000.0,686400000.0,869370000.0,473050000.0,668070000.0,646050000.0,606870000.0,339500000.0,455750000.0,523130000.0,823000000.0,-59440000.0,247220000.0,1440000000.0,356210000.0,1000000000.0,120920000.0,327350000.0,675650000.0,368340000.0,341520000.0,312590000.0,704590000.0,99740000.0,315050000.0,293330000.0,518070000.00000006,-82170000.0,358290000.0,262089999.99999997,460970000.0,164010000.0,378300000.0,349060000.0,467780000.0,36030000.0,328810000.0,283800000.0,383670000.0
Resultado financeiro,-222380000.0,-289690000.0,-268170000.00000003,-305700000.0,-322810000.0,-247250000.0,-329230000.0,-279750000.0,-216490000.0,-1280000000.0,-213230000.0,-207180000.0,-110470000.0,9420000.0,-19130000.0,-1690000.0,46980000.0,905840000.0,-84850000.0,-121230000.0,-126710000.0,-127740000.0,-98210000.0,-137590000.0,-125890000.0,-104910000.0,-69670000.0,-230460000.0,-99720000.0,-262240000.0,-156020000.0,-181530000.0,-261700000.0,14160000.0,-165590000.0,-482920000.0,-7260000.0,120630000.0,40880000.0,-6300000.0,-16140000.0,42060000.0,110970000.0,47090000.0,84270000.0,75060000.0,73900000.0,-113260000.0,110130000.0,-38790000.0,15280000.0,58920000.0,18700000.0,36780000.0,110360000.0,105850000.0,59890000.0,96810000.0,85870000.0
Antes dos impostos,935920000.0,658540000.0,766910000.0,880040000.0,128740000.00000001,618660000.0,862280000.0,368000000.0,575590000.0,-890890000.0,957250000.0,427000000.0,2400000000.0,1270000000.0,1030000000.0,1040000000.0,934900000.0,2380000000.0,762030000.0,641190000.0,912860000.0,558650000.0,771160000.0,335470000.0,542180000.0,541140000.0,537210000.0,109040000.0,356030000.0,260890000.0,666980000.0,-240970000.0,-14480000.0,1460000000.0,190620000.0,519610000.0,113660000.0,447980000.0,716540000.0,362040000.0,325380000.0,354650000.0,815560000.0,146830000.0,399320000.0,368390000.0,591970000.0,-195430000.0,468420000.0,223300000.0,476240000.0,222940000.0,397000000.0,385840000.0,578140000.0,141890000.0,388690000.0,380610000.0,469540000.0
Imposto,-198540000.0,-195480000.0,-234720000.0,-261000000.0,308160000.0,-169090000.0,-232130000.0,366770000.0,-195000000.0,368520000.0,-287460000.0,-30830000.0,-648980000.0,-311970000.0,-267850000.00000003,49240000.0,-266850000.00000003,-810470000.0,-257279999.99999997,15500000.0,-230300000.0,-211710000.0,-265200000.0,-33530000.0,-111310000.0,-185800000.0,-181350000.0,24230000.0,60700000.0,-109910000.0,-249710000.0,132539999.99999999,-97270000.0,-499610000.0,-55360000.0,-117490000.0,-22220000.0,-145970000.0,-246550000.0,-91180000.0,-91930000.0,-106400000.0,-232510000.0,31380000.0,-126370000.0,-116770000.0,-193310000.0,97940000.0,-149090000.0,-38360000.0,-156500000.0,-34170000.0,-51220000.0,-128360000.00000001,-193310000.0,8440000.0,-99450000.0,-129259999.99999999,-150180000.0
Op continuadas,737380000.0,463060000.0,532190000.00000006,619040000.0,436900000.0,449570000.0,630150000.0,734770000.0,380580000.0,-522370000.0,669790000.0,396170000.0,1750000000.0,957000000.0,759240000.0,1090000000.0,668050000.0,1570000000.0,504750000.0,656680000.0,682550000.0,346940000.0,505960000.0,301940000.0,430870000.0,355340000.0,355850000.0,133270000.00000001,416730000.0,150980000.0,417270000.0,-108420000.0,-111750000.0,959390000.0,135260000.0,402110000.0,91430000.0,302010000.0,469990000.0,270860000.0,233450000.0,248260000.0,583050000.0,178210000.0,272950000.0,251620000.0,398660000.0,-97490000.0,319320000.0,184940000.0,319750000.0,188760000.0,345780000.0,257480000.00000003,384830000.0,150330000.0,289240000.0,251350000.0,319360000.0
Op descontinuadas,479710000.0,10510000.0,1350000.0,323770000.0,4260000.0,-141870000.0,5340000.0,-111260000.0,-2190000.0,0,0,0,1110000000.0,47660000.0,35940000.0,35180000.0,12400000.0,21840000.0,6160000.0,-60230000.0,-69040000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
