Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,2049999999.9999998,1960000000.0,1860000000.0,2000000000.0,1880000000.0,1800000000.0,1730000000.0,1590000000.0,1620000000.0,1530000000.0,1430000000.0,1560000000.0,1510000000.0,1450000000.0,1380000000.0,1450000000.0,1360000000.0,1260000000.0,1280000000.0,1400000000.0,1330000000.0,1210000000.0,1210000000.0,1250000000.0,1200000000.0,1160000000.0,1130000000.0,1180000000.0,1110000000.0,995140000.0,1050000000.0,1000000000.0,1040000000.0,971270000.0,1010000000.0,1010000000.0,999510000.0,924390000.0,905310000.0,1030000000.0,1170000000.0,973830000.0,953360000.0,978700000.0,974370000.0,917280000.0,863050000.0,923290000.0,873780000.0,833260000.0,817850000.0,835640000.0,828480000.0,781900000.0,778910000.0,831400000.0,853260000.0,821240000.0,732180000.0
Custos,-1180000000.0,-1100000000.0,-1030000000.0,-1140000000.0,-1110000000.0,-1140000000.0,-948090000.0,-983450000.0,-1010000000.0,-957510000.0,-913780000.0,-1100000000.0,-1030000000.0,-849970000.0,-769480000.0,-781420000.0,-738160000.0,-712680000.0,-706970000.0,-801710000.0,-767930000.0,-732700000.0,-698560000.0,-757760000.0,-780070000.0,-705680000.0,-644160000.0,-698410000.0,-679620000.0,-531510000.0,-581460000.0,-584020000.0,-584900000.0,-653860000.0,-661610000.0,-712290000.0,-691440000.0,-669950000.0,-624530000.0,-702640000.0,-812130000.0,-629810000.0,-578710000.0,-621760000.0,-629870000.0,-583370000.0,-506920000.0,-574250000.0,-515789999.99999994,-527090000.00000006,-479920000.0,-520260000.0,-482390000.0,-462260000.0,-458510000.0,-546520000.0,-531299999.99999994,-530280000.0,-435270000.0
Lucro bruto,866960000.0,859060000.0,836810000.0,852760000.0,765330000.0,660320000.0,783540000.0,604720000.0,615160000.0,576140000.0,519500000.0,457480000.0,483440000.0,599070000.0,609230000.0,663730000.0,622720000.0,544300000.0,573360000.0,600290000.0,565560000.0,477010000.0,513460000.00000006,490050000.0,421510000.0,450750000.0,487300000.0,476610000.0,429540000.0,463630000.0,465630000.0,419800000.0,458730000.0,317410000.0,352530000.0,292970000.0,308070000.0,254440000.0,280780000.0,328570000.0,360910000.0,344020000.0,374650000.0,356940000.0,344500000.0,333910000.0,356130000.0,349040000.0,358000000.0,306160000.0,337930000.0,315380000.0,346090000.0,319640000.0,320400000.0,284880000.0,321950000.0,290950000.0,296910000.0
Despesas operacionais,-344630000.0,-327140000.0,-327490000.0,-372460000.0,-272450000.0,-335020000.0,-292820000.0,-261660000.00000003,-281270000.0,-261630000.0,-258610000.0,-347980000.0,-419040000.0,-278210000.0,-257240000.0,-282220000.0,-257380000.0,-326030000.0,-258120000.0,-243410000.0,-261120000.0,-279950000.0,-216460000.0,-234640000.0,-216050000.0,-247960000.0,-228500000.0,-219070000.0,-188870000.0,-260630000.0,-210120000.0,-180310000.0,-253350000.0,-138400000.0,-177090000.0,-291030000.0,-158050000.0,-190400000.0,-181840000.0,-239800000.0,-178980000.0,-190720000.0,-178860000.0,-172070000.0,-149980000.0,-181320000.0,-161830000.0,-152630000.0,-169200000.0,-125860000.0,-140330000.0,-160970000.0,-152810000.0,-144470000.0,-107430000.0,169230000.0,-141770000.0,-141460000.0,-131050000.00000001
EBIT,522330000.00000006,531909999.99999994,509320000.0,480300000.0,492870000.0,325300000.0,490720000.0,343060000.0,333890000.0,314500000.0,260890000.0,109500000.0,64400000.00000001,320860000.0,352000000.0,381500000.0,365340000.0,218270000.0,315240000.0,356880000.0,304440000.0,197060000.0,297000000.0,255410000.0,205460000.0,202790000.0,258800000.0,257540000.00000003,240670000.0,203000000.0,255510000.0,239500000.0,205380000.0,179010000.0,175440000.0,1950000.0,150010000.0,64040000.00000001,98940000.0,88770000.0,181930000.0,153310000.0,195790000.0,184860000.0,194520000.0,152590000.0,194300000.0,196410000.0,188790000.0,180300000.0,197600000.0,154410000.0,193280000.0,175160000.0,212970000.0,454110000.0,180190000.0,149490000.0,165860000.0
Resultado financeiro,-49330000.0,-117140000.0,-47270000.0,-20460000.0,92280000.0,-20540000.0,-54200000.0,-75860000.0,-30240000.0,-78680000.0,-21600000.0,-58790000.0,-89600000.0,3560000.0,-47470000.0,-25130000.0,-37620000.0,-19870000.0,-92460000.0,-22230000.0,-38990000.0,-30580000.0,-41290000.0,-34540000.0,-41380000.0,-63920000.0,-50740000.0,-55520000.0,-35200000.0,-57220000.0,-50060000.0,-50040000.0,-57470000.0,-24510000.0,-66810000.0,-49980000.0,-141980000.0,-69250000.0,-81700000.0,-51020000.0,-47650000.0,-43990000.0,-44500000.0,-48430000.0,-30620000.0,-43580000.0,-37430000.0,-32200000.000000004,-23680000.0,-36600000.0,-31220000.0,-33930000.0,-25080000.0,-16390000.0,-20490000.0,-22900000.0,-7220000.0,1090000.0,-10130000.0
Antes dos impostos,473000000.0,414770000.0,462050000.0,459830000.0,585150000.0,304760000.0,436530000.0,267200000.0,303650000.0,235820000.0,239280000.0,50700000.0,-25200000.0,324420000.0,304520000.0,356380000.0,327730000.0,198400000.0,222780000.0,334660000.0,265459999.99999997,166470000.0,255720000.0,220870000.0,164080000.0,138860000.0,208060000.0,202010000.0,205470000.0,145780000.0,205440000.0,189460000.0,147910000.0,154500000.0,108630000.0,-48040000.0,8029999.999999999,-5220000.0,17240000.0,37760000.0,134280000.0,109310000.0,151290000.0,136440000.0,163900000.0,109010000.0,156870000.0,164200000.0,165110000.0,143700000.0,166380000.0,120480000.0,168200000.0,158770000.0,192490000.0,431210000.0,172970000.0,150580000.0,155730000.0
Imposto,-104740000.0,-89600000.0,-110500000.0,-104580000.0,-148040000.0,-55480000.0,-98820000.0,1080000.0,-76480000.0,-55440000.0,-71760000.0,13600000.0,41570000.0,-87290000.0,-84740000.0,-87620000.0,-87180000.0,-52050000.0,-61940000.0,-79370000.0,-72160000.0,-47410000.0,-68980000.0,-42870000.0,-37770000.0,-28710000.0,-43830000.0,-51220000.0,-55720000.0,-34890000.0,-56430000.0,-57710000.0,-38250000.0,-51560000.0,-18820000.0,7270000.0,910000.0,9000000.0,-794000.0,-16210000.0,-36220000.0,-27390000.0,-34680000.0,-35070000.0,-38070000.0,-32790000.0,-40500000.0,-39390000.0,-38350000.0,-36550000.0,-43370000.0,-16440000.000000002,-49680000.0,-45450000.0,-63860000.0,-109120000.0,-56230000.0,-31970000.0,-43400000.0
Op continuadas,368270000.0,325170000.0,351550000.0,355250000.0,437110000.0,249280000.0,337710000.0,268279999.99999997,227170000.0,180390000.0,167520000.0,64300000.0,16370000.000000002,237130000.0,219790000.0,268750000.0,240540000.0,146340000.0,160840000.0,255290000.0,193290000.0,119060000.0,186740000.0,178000000.0,126310000.0,110150000.0,164230000.0,150790000.0,149750000.0,110890000.0,149010000.0,131750000.0,109660000.0,102940000.0,89810000.0,-40770000.0,8940000.0,3790000.0,16450000.0,21540000.0,98060000.0,81920000.0,116610000.0,101370000.0,125830000.0,76220000.0,116370000.0,124810000.0,126760000.0,107150000.0,123010000.0,104050000.0,118520000.0,113310000.0,128630000.0,322100000.0,116730000.0,118610000.0,112330000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
