Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,11070000000.0,10880000000.0,9710000000.0,12010000000.0,11130000000.0,10990000000.0,11320000000.0,11130000000.0,10900000000.0,10570000000.0,11770000000.0,10360000000.0,10250000000.0,15390000000.0,11910000000.0,9790000000.0,8710000000.0,6220000000.0,5330000000.0,6520000000.0,6010000000.0,6900000000.0,6010000000.0,6050000000.0,6160000000.0,5690000000.0,5070000000.0,4990000000.0,4810000000.0,4310000000.0,4410000000.0,4520000000.0,4470000000.0,4160000000.0,4000000000.0,3650000000.0,3930000000.0,3690000000.0,4010000000.0,3820000000.0,3880000000.0,4050000000.0,4370000000.0,4950000000.0,4660000000.0,4059999999.9999995,3640000000.0,4440000000.0,3780000000.0,3570000000.0,3440000000.0,4170000000.0,4240000000.0,4320000000.0,3790000000.0,3440000000.0,3950000000.0,3870000000.0,3180000000.0
Custos,-8330000000.0,-7890000000.0,-7520000000.0,-8340000000.0,-8320000000.0,-8750000000.0,-8070000000.0,-7850000000.0,-8359999999.999999,-7560000000.0,-7290000000.0,-6610000000.0,-5940000000.0,-7110000000.0,-6180000000.0,-5600000000.0,-5130000000.0,-4380000000.0,-4019999999.9999995,-4430000000.0,-4370000000.0,-4440000000.0,-4019999999.9999995,-4000000000.0,-4300000000.0,-4120000000.0,-3680000000.0,-3580000000.0,-3600000000.0,-3330000000.0,-3090000000.0,-3170000000.0,-3160000000.0,-3240000000.0,-3070000000.0,-2890000000.0,-2990000000.0,-2850000000.0,-3030000000.0,-2900000000.0,-2910000000.0,-2750000000.0,-3030000000.0,-3290000000.0,-3260000000.0,-3020000000.0,-2850000000.0,-3310000000.0,-2830000000.0,-2690000000.0,-2420000000.0,-2560000000.0,-2520000000.0,-2490000000.0,-2230000000.0,-1970000000.0,-2049999999.9999998,-1980000000.0,-1780000000.0
Lucro bruto,2730000000.0,2990000000.0,2190000000.0,3670000000.0,2810000000.0,2240000000.0,3250000000.0,3280000000.0,2540000000.0,3010000000.0,4480000000.0,3750000000.0,4300000000.0,8279999999.999999,5730000000.0,4200000000.0,3580000000.0,1840000000.0,1320000000.0,2089999999.9999998,1640000000.0,2460000000.0,1980000000.0,2049999999.9999998,1870000000.0,1560000000.0,1380000000.0,1410000000.0,1210000000.0,984720000.0,1320000000.0,1350000000.0,1310000000.0,924130000.0,923620000.0,763890000.0,939700000.0,840040000.0,984720000.0,920660000.0,971020000.0,1310000000.0,1340000000.0,1660000000.0,1400000000.0,1040000000.0,790410000.0,1130000000.0,948810000.0,881100000.0,1010000000.0,1610000000.0,1720000000.0,1840000000.0,1560000000.0,1480000000.0,1890000000.0,1900000000.0,1400000000.0
Despesas operacionais,-1950000000.0,-1380000000.0,-1610000000.0,-1850000000.0,-1160000000.0,-1100000000.0,-2660000000.0,-2089999999.9999998,-1410000000.0,-1230000000.0,-927250000.0,-1180000000.0,-625290000.0,-1170000000.0,1440000000.0,-1290000000.0,-1420000000.0,-1290000000.0,-1220000000.0,-1140000000.0,-1370000000.0,-1330000000.0,-803250000.0,-701500000.0,-453100000.0,-19770000.0,1260000000.0,-176290000.0,-550540000.0,-651330000.0,-566340000.0,-696350000.0,-504810000.0,-659620000.0,-702650000.0,2190000000.0,246830000.0,-688080000.0,-225730000.0,-499260000.0,-244160000.0,-456530000.0,-515900000.0,-900280000.0,-238750000.0,-242150000.0,-388790000.0,-442150000.0,-322060000.0,-2180000000.0,-312000000.0,-512490000.0,-382790000.0,300210000.0,-366750000.0,-422790000.0,-386720000.0,-415460000.0,-447260000.0
EBIT,781480000.0,1610000000.0,582930000.0,1820000000.0,1650000000.0,1140000000.0,580520000.0,1190000000.0,1130000000.0,1770000000.0,3560000000.0,2570000000.0,3680000000.0,7110000000.0,7180000000.0,2910000000.0,2160000000.0,553270000.0,95630000.0,957950000.0,270170000.0,1130000000.0,1180000000.0,1350000000.0,1410000000.0,1540000000.0,2640000000.0,1240000000.0,662200000.0,333390000.0,751790000.0,652610000.0,807370000.0,264510000.0,220980000.0,2960000000.0,1190000000.0,151970000.0,758990000.0,421400000.0,726870000.0,849290000.0,820450000.0,756850000.0,1160000000.0,797830000.0,401620000.0,686690000.0,626750000.0,-1290000000.0,699170000.0,1100000000.0,1340000000.0,2140000000.0000002,1190000000.0,1050000000.0,1510000000.0,1480000000.0,956300000.0
Resultado financeiro,-1930000000.0,-1500000000.0,-1120000000.0,-552370000.0,-1220000000.0,-1190000000.0,-1190000000.0,-1180000000.0,-318490000.0,-890010000.0,-1130000000.0,-460200000.0,-943430000.0,-339050000.0,-201510000.0,276020000.0,-156050000.0,284860000.0,-1200000000.0,-298330000.0,-840070000.0,-357680000.0,-635100000.0,510350000.0,-423230000.0,-989060000.0,-593700000.0,-859990000.0,-277800000.0,-828620000.0,-497220000.0,-703640000.0,-744350000.0,-189840000.0,-884600000.0,-171870000.0,-1550000000.0,-771700000.0,-869700000.0,-580840000.0,-944460000.0,-814930000.0,-741200000.0,-929380000.0,-597120000.0,-457820000.0,-527280000.0,-541580000.0,-516100000.0,-455010000.0,-638660000.0,-497200000.0,-340500000.0,-649660000.0,-518440000.00000006,-537730000.0,-475230000.0,-420580000.0,-477910000.0
Antes dos impostos,-1150000000.0,118120000.0,-541590000.0,1270000000.0,424040000.0,-44950000.0,-609110000.0,6650000.0,808430000.0,881270000.0,2430000000.0,2109999999.9999998,2740000000.0,6770000000.0,6980000000.0,3180000000.0,2000000000.0,838130000.0,-1110000000.0,659610000.0,-569900000.0,775400000.0,545620000.0,1860000000.0,990120000.0,554260000.0,2049999999.9999998,376610000.0,384400000.0,-495230000.0,254560000.0,-51030000.0,63030000.0,74670000.0,-663620000.0,2790000000.0,-362520000.0,-619730000.0,-110720000.0,-159440000.0,-217590000.0,34350000.0,79250000.0,-172530000.0,566330000.0,340010000.0,-125660000.0,145110000.0,110650000.0,-1750000000.0,60510000.0,598570000.0,995290000.0,1490000000.0,670990000.0,516549999.99999994,1030000000.0,1060000000.0,478390000.0
Imposto,399240000.0,-340730000.0,61930000.0,-414270000.0,-333250000.0,328240000.0,-213440000.0,190140000.0,-570790000.0,-511940000.0,-1070000000.0000001,-1050000000.0,-1410000000.0,-1260000000.0,0,714720000.0,-741800000.0,-392230000.0,-206200000.0,474330000.0,-300750000.0,1120000000.0,-458860000.0,-89080000.0,-237960000.0,635420000.0,-558710000.0,781000.0,-128210000.00000001,-144730000.0,-136950000.0,-1930000.0,-122800000.0,-28410000.0,-113410000.0,-3240000000.0,-169410000.0,5140000.0,502520000.0,226430000.0,-32799999.999999996,-15320000.0,-27160000.0,-314570000.0,-63450000.0,161880000.0,141980000.0,171030000.0,48440000.0,700610000.0,32130000.000000004,218570000.0,101940000.0,-349110000.0,-55300000.0,-66220000.0,-294520000.0,-178830000.0,-31120000.0
Op continuadas,-750870000.0,-222610000.0,-479660000.0,851110000.0,90790000.0,283300000.0,-822550000.0,196790000.0,237630000.0,369330000.0,1360000000.0,1060000000.0,1320000000.0,5510000000.0,6980000000.0,3900000000.0,1260000000.0,445900000.0,-1310000000.0,1130000000.0,-870660000.0,1890000000.0,86760000.0,1770000000.0,752160000.0,1190000000.0,1490000000.0,377390000.0,256180000.0,-639960000.0,117610000.0,-52960000.0,-59770000.0,46260000.0,-777030000.0,-456420000.0,-531919999.99999994,-614590000.0,391800000.0,66989999.99999999,-250390000.0,19030000.0,52100000.0,-487100000.0,502890000.0,501890000.0,16320000.0,316140000.0,159090000.0,-1050000000.0,92640000.0,817150000.0,1100000000.0,1140000000.0,615700000.0,450340000.0,738270000.0,880310000.0,447270000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2770000.0,-6980000.0,-135000.0,333000.0,-4099999.9999999995,-728000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
