Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,2540000000.0,2800000000.0,2610000000.0,2710000000.0,2510000000.0,2610000000.0,2910000000.0,3100000000.0,2750000000.0,3000000000.0,3060000000.0,2770000000.0,3390000000.0,3130000000.0,3250000000.0,3770000000.0,3210000000.0,2690000000.0,2590000000.0,2800000000.0,2490000000.0,2180000000.0,2340000000.0,2300000000.0,2490000000.0,2130000000.0,1870000000.0,2069999999.9999998,1650000000.0,1680000000.0,1610000000.0,1670000000.0,1600000000.0,1570000000.0,1600000000.0,1710000000.0,1640000000.0,1540000000.0,1620000000.0,1730000000.0,1740000000.0,1360000000.0,1640000000.0,1490000000.0,1420000000.0,1270000000.0,1390000000.0,1270000000.0,1300000000.0,1190000000.0,1150000000.0,1100000000.0,1150000000.0,1060000000.0,1020000000.0,1110000000.0,1080000000.0,964250000.0,945520000.0
Custos,-1230000000.0,-1110000000.0,-1090000000.0,-1330000000.0,-1190000000.0,-1080000000.0,-1230000000.0,-1690000000.0,-1660000000.0,-1440000000.0,-1540000000.0,-882010000.0,-1990000000.0,-1910000000.0,-1850000000.0,-1630000000.0,-2040000000.0,-1580000000.0,-1540000000.0,-1730000000.0,-1420000000.0,-1240000000.0,-1260000000.0,-1330000000.0,-1580000000.0,-1020000000.0,-943580000.0,-1160000000.0,-1070000000.0000001,-946970000.0,-826350000.0,-950880000.0,-910040000.0,-924250000.0,-916280000.0,-844770000.0,-970160000.0,-1060000000.0,-930590000.0,-941280000.0,-818800000.0,-1160000000.0,-1050000000.0,-939260000.0,-709310000.0,-648630000.0,-614480000.0,-569430000.0,-524270000.0,-508250000.0,-528980000.0,-468980000.0,-528400000.0,-448880000.0,-414360000.0,-500470000.0,-478170000.0,-462080000.0,-447360000.0
Lucro bruto,1300000000.0,1690000000.0,1520000000.0,1380000000.0,1320000000.0,1530000000.0,1680000000.0,1410000000.0,1090000000.0,1550000000.0,1530000000.0,1890000000.0,1400000000.0,1220000000.0,1400000000.0,2140000000.0000002,1170000000.0,1100000000.0,1060000000.0,1070000000.0000001,1070000000.0000001,932610000.0,1080000000.0,976230000.0,905400000.0,1110000000.0,925270000.0,902840000.0,588720000.0,734970000.0,779560000.0,715330000.0,692780000.0,646440000.0,686370000.0,864430000.0,669860000.0,487280000.0,687380000.0,786800000.0,917770000.0,201480000.0,591660000.0,548690000.0,707150000.0,624740000.0,776400000.0,697980000.0,772980000.0,686120000.0,624490000.0,627310000.0,622290000.0,608960000.0,607770000.0,607100000.0,604880000.0,502170000.0,498170000.0
Despesas operacionais,78600000.0,2960000.0,1400000000.0,193800000.0,156270000.0,-52840000.0,155920000.0,80420000.0,127770000.0,-96160000.0,114500000.0,-1140000000.0,111870000.0,-91920000.0,103850000.0,-70120000.0,40800000.0,94670000.0,40900000.0,7990000.0,283730000.0,-84190000.0,-64150000.00000001,-73110000.0,-56270000.0,-72610000.0,-49700000.0,-22320000.0,-42060000.0,-46590000.0,-44900000.0,-174810000.0,-44060000.0,-52660000.0,-47770000.0,-59340000.0,-51180000.0,-50270000.0,-44320000.0,-53030000.0,-47500000.0,-48990000.0,-45230000.0,-125250000.0,-47660000.0,-49820000.0,-47020000.0,-86670000.0,-62080000.0,-47330000.0,-46200000.0,6290000.0,-26000000.0,-4120000.0,-33910000.0,-34790000.0,-27770000.0,20920000.0,-20510000.0
EBIT,1380000000.0,1700000000.0,2920000000.0,1570000000.0,1480000000.0,1480000000.0,1840000000.0,1490000000.0,1220000000.0,1460000000.0,1640000000.0,749920000.0,1510000000.0,1130000000.0,1510000000.0,2060000000.0,1210000000.0,1200000000.0,1100000000.0,1070000000.0000001,1360000000.0,848420000.0,1020000000.0,903120000.0,849120000.0,1040000000.0,875580000.0,880510000.0,546650000.0,688380000.0,734660000.0,540520000.0,648720000.0,593780000.0,638600000.0,805100000.0,618670000.0,437010000.0,643050000.0,733770000.0,870270000.0,152480000.0,546430000.0,423450000.0,659480000.0,574920000.0,729380000.0,611310000.0,710900000.0,638790000.0,578290000.0,633600000.0,596290000.0,604840000.0,573860000.0,572300000.0,577110000.0,523090000.00000006,477660000.0
Resultado financeiro,-487210000.0,-516669999.99999994,-525000000.0,-424320000.0,-326410000.0,-492010000.0,-720260000.0,-427750000.0,-282530000.0,-980720000.0,-824290000.0,-820580000.0,-670000000.0,-755800000.0,-832310000.0,-722720000.0,-598920000.0,-168540000.0,-392260000.0,-406830000.0,-295740000.0,-290270000.0,-214120000.0,-161340000.0,-195320000.0,-185740000.0,-156900000.0,-97900000.0,-50460000.0,-6840000.0,-71630000.0,-44380000.0,-65459999.99999999,-116860000.0,-128150000.0,-97470000.0,-106250000.0,-132110000.00000001,-134770000.0,-118380000.0,-74490000.0,-33060000.000000004,-120370000.0,-133259999.99999999,-61940000.0,-91830000.0,-98490000.0,-108920000.0,-128330000.00000001,-128530000.0,-87200000.0,-84620000.0,-101400000.0,-79380000.0,-108410000.0,-119490000.0,-89180000.0,-116580000.0,-103590000.0
Antes dos impostos,894950000.0,1180000000.0,2390000000.0,1150000000.0,1150000000.0,986210000.0,1120000000.0,1060000000.0,933280000.0,475510000.0,817200000.0,-70660000.0,839260000.0,375760000.0,675080000.0,1340000000.0,610340000.0,1030000000.0,704270000.0,667470000.0,1060000000.0,558150000.0,802520000.0,741770000.0,653800000.0,853560000.0,718670000.0,782610000.0,496200000.0,681540000.0,663040000.0,496140000.0,583260000.0,476920000.0,510450000.0,707620000.0,512419999.99999994,304900000.0,508290000.0,615380000.0,795780000.0,119420000.0,426060000.0,290190000.0,597540000.0,483090000.0,630890000.0,502380000.0,582570000.0,510260000.0,491080000.0,548980000.0,494890000.0,525470000.0,465450000.0,452810000.0,487930000.0,406500000.0,374070000.0
Imposto,-237160000.0,-307410000.0,-710240000.0,-198320000.0,-282080000.0,-253570000.0,-234270000.0,-168680000.0,-198980000.0,-80920000.0,-172150000.0,148440000.0,-200220000.0,-56720000.0,-145970000.0,-312760000.0,-120330000.0,-264519999.99999997,-192250000.0,-49930000.0,-317100000.0,-172780000.0,-237030000.0,19790000.0,-178450000.0,-264399999.99999997,-229340000.0,-77940000.0,-138150000.0,-190390000.0,-212340000.0,-20590000.0,-186380000.0,-148170000.0,-163340000.0,-107950000.0,-164800000.0,-95640000.0,-163540000.0,-133479999.99999999,-257560000.0,-45680000.0,-136830000.0,-3870000.0,-196000000.0,-159080000.0,-206010000.0,-70920000.0,-192510000.0,-168170000.0,-163820000.0,-98880000.0,-162610000.0,-166690000.0,-158500000.0,-79470000.0,-165840000.0,-137000000.0,-127350000.0
Op continuadas,657800000.0,870940000.0,1680000000.0,947550000.0,866640000.0,732640000.0,882220000.0,890630000.0,734290000.0,394590000.0,645050000.0,77780000.0,639040000.0,319040000.0,529110000.0,1030000000.0,490010000.0,765760000.0,512020000.0,617530000.0,742710000.0,385370000.0,565490000.0,761560000.0,475350000.0,589160000.0,489330000.0,704670000.0,358050000.0,491150000.0,450690000.0,475560000.0,396880000.0,328750000.0,347110000.0,599670000.0,347620000.0,209260000.0,344750000.0,481900000.0,538220000.0,73750000.0,289230000.0,286310000.0,401540000.0,324010000.0,424880000.0,431470000.0,390060000.0,342090000.0,327260000.0,450100000.0,332280000.0,358770000.0,306950000.0,373350000.0,322080000.0,269500000.0,246720000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
