Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,11040000000.0,8400000000.0,8720000000.0,9920000000.0,8780000000.0,9250000000.0,9210000000.0,9010000000.0,8029999999.999999,8860000000.0,8170000000.0,10500000000.0,9210000000.0,7440000000.0,8210000000.000001,9510000000.0,6630000000.0,5340000000.0,7600000000.0,9330000000.0,7320000000.0,6600000000.0,6470000000.0,7130000000.0,6640000000.0,5910000000.0,6080000000.0,2590000000.0,8890000000.0,9090000000.0,8860000000.0,12180000000.0,8520000000.0,32970000000.0,6760000000.0,7860000000.0,7900000000.0,8230000000.0,8600000000.0,9670000000.0,6590000000.0,6870000000.0,7010000000.0,5950000000.0,6080000000.0,6890000000.0,6800000000.0,9840000000.0,8199999999.999999,7560000000.0,8060000000.000001,10000000000.0,8199999999.999999,7450000000.0,8550000000.000001,10740000000.0,7000000000.0,6590000000.0,6160000000.0
Custos,-5790000000.0,-4660000000.0,-4500000000.0,-5530000000.0,-4720000000.0,-4410000000.0,-4010000000.0,-4960000000.0,-4490000000.0,-3190000000.0,-3200000000.0,-4010000000.0,-276910000.0,-2890000000.0,-2940000000.0,-4240000000.0,-3170000000.0,-2970000000.0,-3040000000.0,-2720000000.0,-1870000000.0,-1570000000.0,-1290000000.0,-1340000000.0,-1730000000.0,-1360000000.0,-1100000000.0,1130000000.0,-3930000000.0,-3240000000.0,-3420000000.0,-5590000000.0,-3570000000.0,-3600000000.0,-3440000000.0,-3470000000.0,-4300000000.0,-4980000000.0,-4250000000.0,-5540000000.0,-4480000000.0,-3410000000.0,-2900000000.0,-2850000000.0,-3020000000.0,-970370000.0,-992060000.0,-1600000000.0,-1490000000.0,-1280000000.0,-1260000000.0,-1250000000.0,-1180000000.0,-1150000000.0,-1130000000.0,-4280000000.0000005,0,0,-960060000.0
Lucro bruto,5250000000.0,3730000000.0,4219999999.9999995,4390000000.0,4070000000.0000005,4830000000.0,5190000000.0,4050000000.0,3540000000.0,5660000000.0,4960000000.0,6490000000.0,8930000000.0,4550000000.0,5270000000.0,5270000000.0,3460000000.0,2370000000.0,4560000000.0,6610000000.0,5450000000.0,5030000000.0,5180000000.0,5790000000.0,4910000000.0,4550000000.0,4980000000.0,3720000000.0,4960000000.0,5850000000.0,5440000000.0,6590000000.0,4940000000.0,29370000000.0,3320000000.0,4390000000.0,3610000000.0,3250000000.0,4350000000.0,4130000000.0,2109999999.9999998,3460000000.0,4110000000.0000005,3110000000.0,3060000000.0,5920000000.0,5810000000.0,8240000000.0,6710000000.0,6280000000.0,6790000000.0,8750000000.0,7020000000.0,6300000000.0,7420000000.0,6460000000.0,7000000000.0,6590000000.0,5200000000.0
Despesas operacionais,5920000000.0,-271470000.0,-595180000.0,-4240000000.0,-174710000.0,863250000.0,-1210000000.0,-3510000000.0,-1940000000.0,-2910000000.0,-2150000000.0,-4930000000.0,-3990000000.0,-1780000000.0,-1870000000.0,-6070000000.0,1450000000.0,-838430000.0,-1570000000.0,-2680000000.0,-3130000000.0,-4130000000.0,-2650000000.0,6020000000.0,-4660000000.0,-1440000000.0,-2860000000.0,-5260000000.0,-3180000000.0,-3610000000.0,-1720000000.0,-13890000000.0,-2150000000.0,-6430000000.0,-5790000000.0,-13350000000.0,-7180000000.0,-4179999999.9999995,-3430000000.0,-4540000000.0,-5020000000.0,-3390000000.0,-2810000000.0,-6840000000.0,-3870000000.0,-6380000000.0,-6010000000.0,-21230000000.0,-5560000000.0,-5300000000.0,-5010000000.0,-8029999999.999999,-6360000000.0,-5520000000.0,-5280000000.0,-5070000000.0,-6070000000.0,-4820000000.0,-4860000000.0
EBIT,11170000000.0,3460000000.0,3620000000.0,155590000.0,3890000000.0,5700000000.0,3990000000.0,540190000.0,1610000000.0,2750000000.0,2810000000.0,1560000000.0,4940000000.0,2760000000.0,3400000000.0,-800360000.0,4900000000.0,1530000000.0,2990000000.0,3930000000.0,2330000000.0,891440000.0,2520000000.0,11810000000.0,251750000.0,3120000000.0,2130000000.0,-1540000000.0,1780000000.0,2240000000.0,3730000000.0,-7300000000.0,2790000000.0,22930000000.0,-2480000000.0,-8960000000.0,-3570000000.0,-927080000.0,917980000.0,-411990000.0,-2910000000.0,64980000.00000001,1300000000.0,-3740000000.0,-806430000.0,-457040000.0,-202730000.0,-13000000000.0,1140000000.0,972780000.0,1780000000.0,719910000.0,664340000.0,776500000.0,2140000000.0000002,1380000000.0,925670000.0,1760000000.0,338040000.0
Resultado financeiro,-2790000000.0,-2920000000.0,-2990000000.0,-2530000000.0,-3120000000.0,-3560000000.0,-3130000000.0,-1680000000.0,-1820000000.0,-1460000000.0,588730000.0,-732260000.0,-881930000.0,690330000.0,-583770000.0,425110000.0,-622430000.0,-302250000.0,-1170000000.0,-1680000000.0,-860870000.0,425500000.0,-336120000.0,731430000.0,-1250000000.0,-1880000000.0,1020000000.0,2020000000.0,-937600000.0,-1720000000.0,-1100000000.0,135500000.0,-1490000000.0,-1230000000.0,-1350000000.0,-1690000000.0,-342800000.0,-263680000.0,593420000.0,616500000.0,30660000.0,3260000.0,44210000.0,-444770000.0,113390000.0,519150000.0,188910000.0,435530000.0,229960000.0,953730000.0,65260000.00000001,-328930000.0,1530000000.0,-688690000.0,-276070000.0,-445800000.0,-344720000.0,100410000.0,325980000.0
Antes dos impostos,8380000000.000001,539700000.0,635630000.0,-2370000000.0,771230000.0,2140000000.0000002,854060000.0,-1140000000.0,-212590000.0,1290000000.0,3400000000.0,828830000.0,4059999999.9999995,3450000000.0,2820000000.0,-375250000.0,4280000000.0000005,1230000000.0,1820000000.0,2250000000.0,1470000000.0,1320000000.0,2190000000.0,12540000000.0,-993840000.0,1230000000.0,3150000000.0,479930000.0,844920000.0,527549999.99999994,2630000000.0,-7160000000.0,1300000000.0,21700000000.0,-3820000000.0,-10650000000.0,-3920000000.0,-1190000000.0,1510000000.0,204510000.0,-2880000000.0,68240000.0,1350000000.0,-4179999999.9999995,-693040000.0,62100000.0,-13820000.0,-12560000000.0,1370000000.0,1930000000.0,1850000000.0,390980000.0,2190000000.0,87810000.0,1870000000.0,938540000.0,580950000.0,1860000000.0,664020000.0
Imposto,-1190000000.0,1200000000.0,-305100000.0,3260000000.0,705350000.0,-523500000.0,-448090000.0,659270000.0,212500000.0,-793320000.0,-774070000.0,-179530000.0,-3070000000.0,-846640000.0,-1210000000.0,2250000000.0,-1470000000.0,-757710000.0,-593940000.0,3010000000.0,-750450000.0,-1020000000.0,-616650000.0,-692740000.0,-254540000.0,-780920000.0,-755510000.0,-298810000.0,-294760000.0,-183460000.0,-1250000000.0,903760000.0,-429660000.0,-8910000000.0,-73640000.0,210650000.0,-309690000.0,-213290000.0,-397780000.0,-1340000000.0,116350000.0,-172290000.0,-304780000.0,-1230000000.0,-224930000.0,106650000.0,-20070000.0,2009999999.9999998,-369300000.0,-571550000.0,-574210000.0,176660000.0,-634040000.0,259269999.99999997,-578700000.0,-132180000.0,-417550000.0,-471640000.0,-472900000.0
Op continuadas,7200000000.0,1740000000.0,330530000.0,893410000.0,1480000000.0,1620000000.0,405960000.0,-478620000.0,-88000.0,501590000.0,2630000000.0,649300000.0,990300000.0,2610000000.0,1610000000.0,1880000000.0,2810000000.0,469250000.0,1230000000.0,5260000000.0,715870000.0,301180000.0,1570000000.0,11850000000.0,-1250000000.0,452250000.0,2390000000.0,181120000.0,550160000.0,344090000.0,1380000000.0,-6260000000.0,875120000.0,12790000000.0,-3890000000.0,-10440000000.0,-4230000000.0000005,-1400000000.0,1110000000.0,-1140000000.0,-2760000000.0,-104050000.0,1040000000.0,-5410000000.0,-917970000.0,168750000.0,-33890000.0,-10560000000.0,1000000000.0,1350000000.0,1270000000.0,567640000.0,1560000000.0,347090000.0,1290000000.0,806360000.0,163400000.0,1390000000.0,191130000.0
Op descontinuadas,0,0,0,0,0,3360000.0,0,0,0,899130000.0,87650000.0,-39290000.0,-25740000.0,-76360000.0,0,0,0,0,0,-1750000000.0,0,5260000000.0,-222620000.0,1900000000.0,-1010000000.0,919400000.0,-1910000000.0,-4179999999.9999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
