Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,4820000000.0,3880000000.0,3950000000.0,4660000000.0,4740000000.0,4080000000.0,4320000000.0,4520000000.0,4590000000.0,4070000000.0000005,4110000000.0000005,5230000000.0,5690000000.0,3950000000.0,4010000000.0,4940000000.0,3450000000.0,2980000000.0,3610000000.0,4740000000.0,3920000000.0,3280000000.0,3290000000.0,3270000000.0,4150000000.0000005,3450000000.0,2950000000.0,3720000000.0,3460000000.0,2710000000.0,2440000000.0,2530000000.0,2540000000.0,2140000000.0000002,2150000000.0,3100000000.0,2420000000.0,2590000000.0,2140000000.0000002,2810000000.0,2080000000.0,1840000000.0,2170000000.0,1820000000.0,1740000000.0,1640000000.0,1890000000.0,1910000000.0,1580000000.0,1460000000.0,1510000000.0,1430000000.0,1420000000.0,1480000000.0,1380000000.0,1360000000.0,1250000000.0,1220000000.0,1200000000.0
Custos,-3350000000.0,-2860000000.0,-2750000000.0,-3390000000.0,-3240000000.0,-2960000000.0,-2960000000.0,-3210000000.0,-3170000000.0,-2880000000.0,-2790000000.0,-4139999999.9999995,-4570000000.0,-3130000000.0,-2930000000.0,-3470000000.0,-2710000000.0,-2350000000.0,-2840000000.0,-3910000000.0,-3090000000.0,-2710000000.0,-2570000000.0,-2680000000.0,-3470000000.0,-2800000000.0,-2280000000.0,-3140000000.0,-2890000000.0,-2140000000.0000002,-1850000000.0,-2060000000.0,-1890000000.0,-1620000000.0,-1620000000.0,-2330000000.0,-1800000000.0,-2220000000.0,-1680000000.0,-1940000000.0,-1680000000.0,-1750000000.0,-1710000000.0,-1510000000.0,-1150000000.0,-1230000000.0,-1360000000.0,-1560000000.0,-1240000000.0,-1120000000.0,-1060000000.0,-1060000000.0,-1020000000.0,-1000000000.0,-875150000.0,-908420000.0,-880540000.0,-785690000.0,-753220000.0
Lucro bruto,1470000000.0,1010000000.0,1200000000.0,1280000000.0,1490000000.0,1120000000.0,1350000000.0,1310000000.0,1420000000.0,1180000000.0,1320000000.0,1090000000.0,1120000000.0,820900000.0,1080000000.0,1470000000.0,741630000.0,635910000.0,764310000.0,827970000.0,828850000.0,571420000.0,723540000.0,591850000.0,685130000.0,655190000.0,668870000.0,584430000.0,572920000.0,573270000.0,592320000.0,467230000.0,650920000.0,518250000.0,528650000.0,768170000.0,615910000.0,379190000.0,468860000.0,874250000.0,393950000.0,87260000.0,459890000.0,311310000.0,595050000.0,415160000.0,527940000.00000006,341900000.0,332170000.0,345110000.0,450930000.0,370770000.0,400420000.0,473510000.0,509670000.0,454410000.0,366180000.0,438680000.0,447190000.0
Despesas operacionais,-180080000.0,-176000000.0,222360000.0,-404270000.0,-261490000.0,-778720000.0,-191900000.0,-1190000000.0,-259320000.0,-186940000.0,-180180000.0,99520000.0,-126180000.0,-144580000.0,-127530000.0,-208310000.0,-193820000.0,-174040000.0,-221680000.0,-54920000.0,-197310000.0,-162810000.0,-176280000.0,111400000.0,-152300000.0,-213280000.0,-183580000.0,-186530000.0,-168180000.0,-180910000.0,-195370000.0,-293870000.0,-171590000.0,-204220000.0,146550000.0,-149370000.0,-170270000.0,661930000.0,-186210000.0,-283820000.0,-111460000.0,234890000.0,-152090000.0,-173400000.0,-132060000.0,-217780000.0,-213550000.0,-57540000.0,-170170000.0,-142280000.0,-123850000.0,-156130000.0,-132380000.0,-133680000.0,-143690000.0,-132199999.99999999,-140440000.0,-128110000.00000001,-122610000.0
EBIT,1290000000.0,837070000.0,1420000000.0,871940000.0,1230000000.0,340170000.0,1160000000.0,122320000.0,1160000000.0,996320000.0,1140000000.0,1190000000.0,997970000.0,676320000.0,948340000.0,1260000000.0,547820000.0,461880000.0,542630000.0,773050000.0,631530000.0,408610000.0,547270000.0,703250000.0,532830000.00000006,441910000.0,485280000.0,397900000.0,404740000.0,392360000.0,396960000.0,173360000.0,479340000.0,314030000.0,675200000.0,618800000.0,445640000.0,1040000000.0,282640000.0,590430000.0,282490000.0,322150000.0,307800000.0,137910000.0,462990000.0,197380000.0,314390000.0,284370000.0,162000000.0,202830000.0,327080000.0,214640000.0,268040000.00000003,339830000.0,365990000.0,322210000.0,225730000.0,310570000.0,324580000.0
Resultado financeiro,-239490000.0,-303400000.0,-377450000.0,-559100000.0,-353140000.0,-370700000.0,-406690000.0,-372710000.0,-327920000.0,-417600000.0,-348380000.0,-289180000.0,-166330000.0,-136090000.0,-209980000.0,-204260000.0,-61010000.0,-85310000.0,-100670000.0,-133300000.00000001,-78970000.0,-115940000.0,-104970000.0,-119220000.0,-71410000.0,-74020000.0,-101680000.0,-150920000.0,-128300000.00000001,-121110000.0,-147470000.0,-167670000.0,-130789999.99999999,-153090000.0,-201200000.0,-141780000.0,-275840000.0,-113450000.0,-94440000.0,-105470000.0,-74450000.0,-48820000.0,-87250000.0,-90430000.0,-71970000.0,-77170000.0,-59480000.0,-39490000.0,-59490000.0,-58610000.0,-39820000.0,-79020000.0,-66620000.00000001,-86940000.0,-50870000.0,-48820000.0,-48700000.0,-72930000.0,-26940000.0
Antes dos impostos,1050000000.0,533669999.99999994,1040000000.0,312840000.0,878540000.0,-30520000.0,755530000.0,-250390000.0,833670000.0,578720000.0,788760000.0,905180000.0,831640000.0,540230000.0,738360000.0,1060000000.0,486800000.0,376560000.0,441960000.0,639750000.0,552570000.0,292660000.0,442290000.0,584030000.0,461420000.0,367890000.0,383600000.0,246990000.0,276440000.0,271240000.0,249490000.0,5690000.0,348550000.0,160950000.0,474000000.0,477020000.0,169800000.0,927670000.0,188200000.0,484960000.0,208040000.0,273330000.0,220550000.0,47480000.0,391020000.0,120200000.0,254910000.0,244870000.0,102520000.0,144210000.0,287250000.0,135620000.0,201420000.0,252890000.0,315110000.0,273390000.0,177030000.0,237630000.0,297640000.0
Imposto,-296470000.0,-304630000.0,-294080000.0,61490000.0,-227380000.0,-140310000.0,-225080000.0,-85920000.0,-263750000.0,-159720000.0,-228650000.0,-34080000.0,-241250000.0,-159480000.0,-213060000.0,-239540000.0,-164800000.0,-104470000.0,-139280000.0,-97130000.0,-172030000.0,-79550000.0,-96110000.0,-12850000.0,-125980000.0,-122040000.0,-121340000.0,-67890000.0,-108180000.0,-94390000.0,-85370000.0,87810000.0,-87490000.0,-25380000.0,-133169999.99999999,-29360000.0,-73040000.0,-175130000.0,-78790000.0,-144770000.0,-54980000.0,-64629999.99999999,-84140000.0,55230000.0,-153530000.0,-58740000.0,-102470000.0,-44970000.0,-48600000.0,-54930000.0,-95000000.0,19260000.0,-65160000.0,-64340000.0,-103100000.0,-17170000.0,-61860000.0,-72820000.0,-97220000.0
Op continuadas,751790000.0,229050000.0,748750000.0,374330000.0,651160000.0,-170840000.0,530450000.00000006,-336310000.0,569920000.0,419010000.0,560110000.0,871100000.0,590390000.0,380750000.0,525299999.99999994,817140000.0,322000000.0,272090000.0,302690000.0,542620000.0,380540000.0,213110000.0,346190000.0,571180000.0,335440000.0,245860000.0,262269999.99999997,179100000.0,168270000.0,176860000.0,164120000.0,93500000.0,261070000.0,135560000.0,340830000.0,447660000.0,96760000.0,752540000.0,109410000.0,340190000.0,153060000.0,208690000.0,136410000.0,102710000.0,237490000.0,61460000.0,152430000.0,199910000.0,53910000.0,89290000.0,192250000.0,154880000.0,136260000.0,188550000.0,212010000.0,256220000.00000003,115170000.0,164820000.0,200430000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
