Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,12360000000.0,10490000000.0,9900000000.0,11250000000.0,10360000000.0,9200000000.0,10180000000.0,7920000000.0,6880000000.0,6490000000.0,5840000000.0,8060000000.000001,7490000000.0,4550000000.0,4139999999.9999995,5990000000.0,4210000000.0,3480000000.0,4210000000.0,6190000000.0,4880000000.0,4380000000.0,3360000000.0,3720000000.0,2740000000.0,2360000000.0,2440000000.0,2720000000.0,2420000000.0,2180000000.0,1750000000.0,2360000000.0,2000000000.0,1790000000.0,1730000000.0,1990000000.0,1860000000.0,1720000000.0,1680000000.0,2460000000.0,1670000000.0,1350000000.0,1330000000.0,1330000000.0,1200000000.0,1120000000.0,1070000000.0000001,1150000000.0,640280000.0,560790000.0,535770000.0,602260000.0,498520000.0,460680000.0,419070000.0,510830000.0,480070000.0,433840000.0,374140000.0
Custos,-8910000000.0,-7330000000.0,-6770000000.0,-7970000000.0,-7060000000.0,-6440000000.0,-7380000000.0,-5460000000.0,-4880000000.0,-4380000000.0,-3840000000.0,-5640000000.0,-5760000000.0,-3030000000.0,-2910000000.0,-3840000000.0,-2840000000.0,-2340000000.0,-2890000000.0,-3770000000.0,-3620000000.0,-3130000000.0,-2550000000.0,-2630000000.0,-2029999999.9999998,-1760000000.0,-1920000000.0,-1950000000.0,-1610000000.0,-1570000000.0,-1310000000.0,-1680000000.0,-1460000000.0,-1270000000.0,-1400000000.0,-1400000000.0,-1390000000.0,-1390000000.0,-1270000000.0,-1500000000.0,-1140000000.0,-1340000000.0,-1090000000.0,-1100000000.0,-741590000.0,-961690000.0,-871690000.0,-873030000.0,-457180000.0,-375770000.0,-350110000.0,-403770000.0,-327610000.0,-288490000.0,-256850000.00000003,-328160000.0,-294110000.0,-257000000.0,-226650000.0
Lucro bruto,3460000000.0,3150000000.0,3130000000.0,3280000000.0,3310000000.0,2760000000.0,2800000000.0,2460000000.0,2000000000.0,2109999999.9999998,2000000000.0,2410000000.0,1730000000.0,1520000000.0,1230000000.0,2150000000.0,1370000000.0,1140000000.0,1320000000.0,2420000000.0,1260000000.0,1240000000.0,814590000.0,1090000000.0,705580000.0,599390000.0,521950000.00000006,769970000.0,813980000.0,604790000.0,436300000.0,677310000.0,548170000.0,527409999.99999994,333040000.0,593740000.0,469640000.0,331230000.0,409310000.0,950750000.0,533580000.00000006,13690000.0,234550000.0,231470000.0,461330000.0,155170000.0,194170000.0,274620000.0,183110000.0,185030000.0,185660000.0,198480000.0,170910000.0,172190000.0,162220000.0,182660000.0,185960000.0,176840000.0,147490000.0
Despesas operacionais,-916800000.0,-1220000000.0,-1140000000.0,-1510000000.0,-1110000000.0,-961570000.0,-921900000.0,-857340000.0,-767470000.0,-935390000.0,-729360000.0,-487510000.0,-580450000.0,-438380000.0,-401650000.0,-118230000.0,-283710000.0,-452500000.0,-349890000.0,-268840000.0,-317210000.0,-481260000.0,-354120000.0,-45290000.0,-231580000.0,-279150000.0,-281570000.0,-250310000.0,-336100000.0,-314080000.0,-314210000.0,-333500000.0,-245150000.0,-220140000.0,-171050000.0,-339340000.0,-221640000.0,-218030000.0,-213130000.0,-270270000.0,-180600000.0,-167910000.0,-159930000.0,-180980000.0,-212490000.0,-156170000.0,-203930000.0,-189360000.0,-72970000.0,-84110000.0,-78930000.0,-123350000.0,-73950000.0,-73790000.0,-79480000.0,-76890000.0,-88620000.0,-61390000.0,-46510000.0
EBIT,2540000000.0,1940000000.0,1990000000.0,1770000000.0,2200000000.0,1800000000.0,1870000000.0,1600000000.0,1230000000.0,1180000000.0,1270000000.0,1930000000.0,1150000000.0,1090000000.0,825510000.0,2029999999.9999998,1090000000.0,691480000.0,968640000.0,2150000000.0,939370000.0,759860000.0,460470000.0,1040000000.0,474000000.0,320240000.0,240380000.0,519659999.99999994,477880000.0,290710000.0,122090000.0,343800000.0,303010000.0,307260000.0,161990000.0,254400000.0,248010000.0,113200000.0,196180000.0,680480000.0,352980000.0,-154220000.0,74620000.0,50490000.0,248830000.0,-1010000.0,-9750000.0,85260000.0,110140000.0,100920000.0,106730000.0,75130000.0,96970000.0,98390000.0,82740000.0,105770000.0,97340000.0,115450000.0,100990000.0
Resultado financeiro,-1190000000.0,-944150000.0,-1280000000.0,-1030000000.0,-988150000.0,-1100000000.0,-1500000000.0,-677680000.0,-445080000.0,-1100000000.0,-360480000.0,166790000.0,-445950000.0,-308230000.0,-230660000.0,-90070000.0,-116210000.0,-64550000.0,-153290000.0,-281140000.0,-115200000.0,-141520000.0,-89800000.0,-527990000.0,-84030000.0,-89340000.0,-81230000.0,-35380000.0,-20680000.0,-65209999.99999999,-47950000.0,-75150000.0,-20150000.0,-31530000.0,60770000.0,-157960000.0,-73840000.0,602530000.0,-61450000.0,-112370000.0,-48420000.0,-57830000.0,-23300000.0,-61830000.0,-72350000.0,-63870000.0,-21050000.0,-57140000.0,-11950000.0,-13350000.0,-8770000.0,-4980000.0,-15890000.0,-20500000.0,-7860000.0,-40110000.0,-10950000.0,-17800000.0,-6380000.0
Antes dos impostos,1350000000.0,994500000.0,711450000.0,744270000.0,1210000000.0,703950000.0,373340000.0,923810000.0,784880000.0,74980000.0,909060000.0,2089999999.9999998,703380000.0,778110000.0,594850000.0,1940000000.0,972010000.0,626930000.0,815340000.0,1870000000.0,824170000.0,618340000.0,370680000.0,515520000.0,389980000.0,230900000.0,159160000.0,484280000.0,457200000.0,225500000.0,74140000.0,268650000.0,282870000.0,275730000.0,222760000.0,96440000.0,174170000.0,715730000.0,134730000.0,568110000.0,304560000.0,-212060000.0,51320000.0,-11340000.0,176490000.0,-64879999.99999999,-30810000.0,28110000.0,98200000.0,87570000.0,97960000.0,70150000.0,81080000.0,77890000.0,74880000.0,65660000.0,86390000.0,97650000.0,94600000.0
Imposto,-361260000.0,-299410000.0,-132020000.00000001,245800000.0,-285540000.0,-33299999.999999996,-85460000.0,-152460000.0,-200360000.0,-187450000.0,-230470000.0,-466620000.0,888000000.0,-146100000.0,-142200000.0,-332470000.0,-124800000.0,-152720000.0,-300650000.0,-434190000.0,-208410000.0,-208890000.0,-112930000.0,32630000.000000004,-74140000.0,-49390000.0,-43590000.0,98760000.0,-71370000.0,-53360000.0,-10060000.0,-26040000.0,-43960000.0,-54930000.0,-51950000.0,88310000.0,-59410000.0,-166030000.0,-24090000.0,51970000.0,22340000.0,13620000.0,-19300000.0,-41270000.0,49950000.0,7650000.0,-7270000.0,-53400000.0,-8720000.0,-19980000.0,-22270000.0,-19560000.0,-6240000.0,-9710000.0,-22320000.0,-14460000.0,-16960000.0,-9270000.0,-17520000.0
Op continuadas,990470000.0,695100000.0,579430000.0,990070000.0,927680000.0,670650000.0,287880000.0,771350000.0,584520000.0,-112470000.0,678600000.0,1630000000.0,1590000000.0,632010000.0,452660000.0,1610000000.0,847210000.0,474200000.0,514690000.00000006,1430000000.0,615760000.0,409450000.0,257740000.0,548150000.0,315840000.0,181510000.0,115560000.0,583040000.0,385830000.0,172140000.0,64080000.0,242610000.0,238900000.0,220800000.0,170810000.0,184750000.0,114760000.0,549700000.0,110640000.0,620090000.0,326890000.0,-198440000.0,32030000.0,-52610000.0,226440000.0,-57230000.0,-38080000.0,-25290000.0,89480000.0,67590000.0,75690000.0,50590000.0,74840000.0,68180000.0,52560000.0,51200000.0,69430000.0,88380000.0,77080000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25270000.0,0,0,0,0,0,0,0,0,82920000.0,-31960000.0,0,0,0,0,0,0,80900000.0,-26060000.0,0,-24120000.0
