Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,17380000000.0,16620000000.000002,16210000000.0,14720000000.0,17059999999.999998,18270000000.0,18870000000.0,17960000000.0,21150000000.0,22970000000.0,20330000000.0,21550000000.0,21320000000.0,19130000000.0,16340000000.0,13620000000.0,12220000000.0,8740000000.0,9230000000.0,9530000000.0,9930000000.0,10150000000.0,10030000000.0,10900000000.0,12840000000.0,12040000000.0,10390000000.0,9820000000.0,9480000000.0,9170000000.0,8460000000.000001,8620000000.0,8700000000.0,10250000000.0,10080000000.0,10450000000.0,11930000000.0,10760000000.0,10450000000.0,10840000000.0,10710000000.0,10440000000.0,10550000000.0,10320000000.0,10490000000.0,9880000000.0,9170000000.0,8990000000.0,9820000000.0,9980000000.0,9200000000.0,9070000000.0,8970000000.0,9010000000.0,8359999999.999999,7800000000.0,8189999999.999999,8300000000.000001,7110000000.0
Custos,-14800000000.0,-14430000000.0,-13790000000.0,-13080000000.0,-14270000000.0,-14990000000.0,-15240000000.0,-15040000000.0,-16410000000.0,-17059999999.999998,-15150000000.0,-16370000000.000002,-14900000000.0,-13720000000.0,-12550000000.0,-10960000000.0,-10530000000.0,-8029999999.999999,-8369999999.999999,-8860000000.0,-8950000000.0,-8880000000.0,-8760000000.0,-9600000000.0,-10970000000.0,-10390000000.0,-9050000000.0,-8780000000.0,-8500000000.0,-8230000000.0,-7800000000.0,-8100000000.0,-7650000000.0,-9170000000.0,-9270000000.0,-9660000000.0,-10710000000.0,-9580000000.0,-9340000000.0,-9560000000.0,-9430000000.0,-9180000000.0,-9240000000.0,-8970000000.0,-8960000000.0,-8539999999.999999,-8260000000.0,-7970000000.0,-8620000000.0,-8550000000.000001,-8090000000.0,-7860000000.0,-7630000000.0,-7610000000.0,-7200000000.0,-6850000000.0,-6840000000.0,-6480000000.0,-5700000000.0
Lucro bruto,2580000000.0,2190000000.0,2420000000.0,1630000000.0,2790000000.0,3280000000.0,3630000000.0,2930000000.0,4740000000.0,5900000000.0,5180000000.0,5190000000.0,6420000000.0,5410000000.0,3800000000.0,2660000000.0,1700000000.0,718070000.0,855460000.0,676540000.0,985170000.0,1270000000.0,1270000000.0,1300000000.0,1860000000.0,1640000000.0,1340000000.0,1040000000.0,974480000.0,936710000.0,653890000.0,521289999.99999994,1050000000.0,1080000000.0,812680000.0,786540000.0,1210000000.0,1180000000.0,1110000000.0,1280000000.0,1280000000.0,1260000000.0,1320000000.0,1350000000.0,1530000000.0,1340000000.0,908220000.0,1020000000.0,1200000000.0,1420000000.0,1110000000.0,1200000000.0,1340000000.0,1400000000.0,1160000000.0,948760000.0,1350000000.0,1810000000.0,1410000000.0
Despesas operacionais,-455150000.0,-566830000.0,332590000.0,-741520000.0,-408530000.0,-393440000.0,663760000.0,-443490000.0,-275340000.0,-113300000.0,-167470000.0,-673440000.0,969620000.0,148510000.0,-239020000.0,-94750000.0,-317090000.0,57720000.0,-382050000.0,-109210000.0,-283710000.0,-347420000.0,-279010000.0,-671480000.0,-590570000.0,-464530000.0,-375580000.0,-2210000000.0,-394080000.0,-456620000.0,552920000.0,-3380000000.0,-453090000.0,-654420000.0,-611650000.0,-3770000000.0,-2480000000.0,-623460000.0,-626610000.0,-338300000.0,-607050000.0,-634100000.0,-661570000.0,-541380000.0,-648740000.0,-622850000.0,-567180000.0,-593000000.0,-629950000.0,-640120000.0,-536299999.99999994,-632110000.0,-561670000.0,-525600000.0,-510160000.0,-274060000.0,-569000000.0,-566300000.0,-465830000.0
EBIT,2120000000.0,1620000000.0,2750000000.0,891250000.0,2380000000.0,2880000000.0,4290000000.0,2480000000.0,4460000000.0,5790000000.0,5010000000.0,4510000000.0,7390000000.0,5560000000.0,3560000000.0,2570000000.0,1380000000.0,775790000.0,473410000.0,567330000.0,701460000.0,925140000.0,990000000.0,632080000.0,1270000000.0,1180000000.0,963520000.0,-1170000000.0,580400000.0,480090000.0,1210000000.0,-2860000000.0,593370000.0,428890000.0,201030000.0,-2980000000.0,-1270000000.0,557950000.0,485240000.0,946430000.0,668810000.0,629570000.0,654180000.0,808270000.0,885640000.0,719470000.0,341040000.0,425450000.0,567750000.0,784750000.0,570250000.0,569120000.0,777360000.0,877960000.0,654570000.0,674700000.0,780680000.0,1250000000.0,941480000.0
Resultado financeiro,-322790000.0,-597280000.0,-475750000.0,-155540000.0,-477750000.0,-422740000.0,-50090000.0,-497770000.0,-530179999.99999994,-361080000.0,-503390000.0,-615200000.0,77580000.0,57880000.0,-270720000.0,-834170000.0,-303340000.0,-329930000.0,-231270000.0,-271820000.0,-562400000.0,-300270000.0,-374730000.0,-392050000.0,-441510000.0,-713660000.0,-342560000.0,-438030000.0,-254080000.0,-504960000.0,53720000.0,-464080000.0,-497080000.0,-22690000.0,38600000.0,-392110000.0,-1380000000.0,-206880000.0,-898570000.0,-673790000.0,-574900000.0,-210840000.0,-101470000.0,-355360000.0,-206160000.0,-548060000.0,-192200000.0,-222380000.0,-133940000.0,-335090000.0,-97340000.0,-81980000.0,-58310000.0,-216690000.0,-171340000.0,-183690000.0,391000.0,-255220000.0,-246800000.0
Antes dos impostos,1800000000.0,1020000000.0,2280000000.0,735710000.0,1910000000.0,2460000000.0,4240000000.0,1990000000.0,3930000000.0,5430000000.0,4510000000.0,3900000000.0,7470000000.0,5620000000.0,3290000000.0,1730000000.0,1080000000.0,445860000.0,242140000.0,295510000.0,139070000.0,624870000.0,615270000.0,240030000.0,829940000.0,466510000.0,620960000.0,-1610000000.0,326320000.0,-24870000.0,1260000000.0,-3320000000.0,96290000.0,406190000.0,239620000.0,-3380000000.0,-2660000000.0,351070000.0,-413320000.0,272640000.0,93910000.0,418720000.0,552710000.0,452910000.0,679490000.0,171410000.0,148840000.0,203070000.0,433820000.0,449660000.0,472910000.0,487140000.0,719040000.0,661260000.0,483230000.0,491020000.0,781080000.0,992460000.0,694680000.0
Imposto,-442430000.0,-155810000.0,-223690000.0,-148910000.0,-314320000.0,-319450000.0,-1030000000.0,-768580000.0,-910090000.0,-1130000000.0,-1570000000.0,-338500000.0,-1870000000.0,-1690000000.0,-816630000.0,-674480000.0,-281820000.0,-130530000.0,-20790000.0,-193310000.0,150240000.0,-252120000.0,-162640000.0,149140000.0,-39420000.0,231780000.0,-172550000.0,221670000.0,-181470000.0,101380000.0,-436980000.0,249250000.0,-1140000.0,-326990000.0,-225440000.0,207520000.0,696810000.0,-86590000.0,680690000.0,120360000.0,168040000.0,-25390000.0,-112620000.0,38700000.0,-37880000.0,229540000.0,10700000.0,-60410000.0,-25400000.0,98880000.0,-76290000.0,-15550000.0,-5700000.0,-158060000.0,-73790000.0,-71360000.0,-172070000.0,-136490000.0,-121940000.0
Op continuadas,1360000000.0,866980000.0,2049999999.9999998,586800000.0,1590000000.0,2140000000.0000002,3220000000.0,1220000000.0,3020000000.0,4300000000.0,2940000000.0,3560000000.0,5590000000.0,3930000000.0,2470000000.0,1060000000.0,794590000.0,315320000.0,221350000.0,102200000.0,289310000.0,372750000.0,452630000.0,389170000.0,790520000.0,698290000.0,448410000.0,-1380000000.0,144850000.0,76520000.0,823540000.0,-3070000000.0,95150000.0,79210000.0,14190000.0,-3170000000.0,-1960000000.0,264470000.00000003,267360000.0,392990000.0,261950000.0,393340000.0,440090000.0,491610000.0,641610000.0,400950000.0,159530000.0,142660000.0,408420000.0,548550000.0,396620000.0,471590000.0,713350000.0,503200000.0,409440000.0,419660000.0,609010000.0,855970000.0,572740000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
