Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,17380000000.0,16620000000.000002,16210000000.0,14720000000.0,17059999999.999998,18270000000.0,18870000000.0,17960000000.0,21150000000.0,22970000000.0,20330000000.0,21550000000.0,21320000000.0,19130000000.0,16340000000.0,13620000000.0,12220000000.0,8740000000.0,9230000000.0,9530000000.0,9930000000.0,10150000000.0,10030000000.0,10900000000.0,12840000000.0,12040000000.0,10390000000.0,9820000000.0,9480000000.0,9170000000.0,8460000000.000001,8620000000.0,8700000000.0,10250000000.0,10080000000.0,10450000000.0,11930000000.0,10760000000.0,10450000000.0,10840000000.0,10710000000.0,10440000000.0,10550000000.0,10320000000.0,10490000000.0,9880000000.0,9170000000.0,8990000000.0,9820000000.0,9980000000.0,9200000000.0,9070000000.0,8970000000.0,9010000000.0,8359999999.999999,7800000000.0,8189999999.999999,8300000000.000001,7110000000.0
Custos,-14800000000.0,-14430000000.0,-13790000000.0,-13080000000.0,-14270000000.0,-14990000000.0,-15240000000.0,-15040000000.0,-16410000000.0,-17059999999.999998,-15150000000.0,-16370000000.000002,-14900000000.0,-13720000000.0,-12550000000.0,-10960000000.0,-10530000000.0,-8029999999.999999,-8369999999.999999,-8860000000.0,-8950000000.0,-8880000000.0,-8760000000.0,-9600000000.0,-10970000000.0,-10390000000.0,-9050000000.0,-8780000000.0,-8500000000.0,-8230000000.0,-7800000000.0,-8100000000.0,-7650000000.0,-9170000000.0,-9270000000.0,-9660000000.0,-10710000000.0,-9580000000.0,-9340000000.0,-9560000000.0,-9430000000.0,-9180000000.0,-9240000000.0,-8970000000.0,-8960000000.0,-8539999999.999999,-8260000000.0,-7970000000.0,-8620000000.0,-8550000000.000001,-8090000000.0,-7860000000.0,-7630000000.0,-7610000000.0,-7200000000.0,-6850000000.0,-6840000000.0,-6480000000.0,-5700000000.0
Lucro bruto,2580000000.0,2190000000.0,2420000000.0,1630000000.0,2790000000.0,3280000000.0,3630000000.0,2930000000.0,4740000000.0,5900000000.0,5180000000.0,5190000000.0,6420000000.0,5410000000.0,3800000000.0,2660000000.0,1700000000.0,718070000.0,855460000.0,676540000.0,985170000.0,1270000000.0,1270000000.0,1300000000.0,1860000000.0,1640000000.0,1340000000.0,1040000000.0,974480000.0,936710000.0,653890000.0,521289999.99999994,1050000000.0,1080000000.0,812680000.0,786540000.0,1210000000.0,1180000000.0,1110000000.0,1280000000.0,1280000000.0,1260000000.0,1320000000.0,1350000000.0,1530000000.0,1340000000.0,908220000.0,1020000000.0,1200000000.0,1420000000.0,1110000000.0,1200000000.0,1340000000.0,1400000000.0,1160000000.0,948760000.0,1350000000.0,1810000000.0,1410000000.0
Despesas operacionais,-459270000.0,-570130000.0,329130000.0,-745140000.0,-411800000.0,-425550000.0,659850000.0,-468780000.0,-276690000.0,-145260000.0,-171170000.0,-687140000.0,958860000.0,145070000.0,-249580000.0,-108020000.0,-305350000.0,55270000.0,-386150000.0,-110450000.0,-285030000.0,-349060000.0,-284040000.0,-674300000.0,-600790000.0,-470880000.0,-380700000.0,-2210000000.0,-395320000.0,-456960000.0,549230000.0,-3380000000.0,-453580000.0,-656940000.0,-614290000.0,-3770000000.0,-2590000000.0,-632230000.0,-631010000.0,-348390000.0,-612330000.0,-642720000.0,-666580000.0,-554760000.0,-659950000.0,-621650000.0,-580710000.0,-601720000.0,-636160000.0,-646860000.0,-542370000.0,-628120000.0,-565900000.0,-532669999.99999994,-513380000.0,-283400000.0,-577350000.0,-568960000.0,-484900000.0
EBIT,2120000000.0,1620000000.0,2750000000.0,887630000.0,2380000000.0,2850000000.0,4290000000.0,2460000000.0,4460000000.0,5760000000.0,5010000000.0,4500000000.0,7380000000.0,5560000000.0,3550000000.0,2550000000.0,1390000000.0,773340000.0,469310000.0,566090000.0,700140000.0,923500000.0,984980000.0,629260000.0,1260000000.0,1170000000.0,958400000.0,-1170000000.0,579160000.0,479750000.0,1200000000.0,-2860000000.0,592880000.0,426370000.0,198390000.0,-2990000000.0,-1380000000.0,549180000.0,480850000.0,936340000.0,663530000.0,620950000.0,649170000.0,794900000.0,874440000.0,720670000.0,327510000.0,416720000.0,561550000.0,778010000.0,564180000.0,573120000.0,773130000.0,870880000.0,651350000.0,665360000.0,772330000.0,1250000000.0,922410000.0
Resultado financeiro,-313620000.0,-588900000.0,-468990000.0,-130639999.99999999,-447270000.0,-391530000.0,-18730000.0,-483570000.0,-511500000.0,-338520000.0,-484180000.0,-596250000.0,95690000.0,69860000.0,-262610000.0,-831960000.0,-303120000.0,-329640000.0,-230370000.0,-271220000.0,-562690000.0,-302880000.0,-383350000.0,-401360000.0,-449240000.0,-722890000.0,-359810000.0,-446630000.0,-266570000.0,-509340000.0,21020000.0,-533679999.99999994,-568430000.0,-82030000.0,-23300000.0,-453530000.0,-1470000000.0,-266880000.0,-970680000.0,-738130000.0,-638990000.0,-264779999.99999997,-118410000.0,-413590000.0,-278760000.0,-564450000.0,-214010000.0,-247940000.0,-182630000.0,-367900000.0,-171240000.0,-123940000.0,-98520000.0,-256130000.0,-209800000.0,-188880000.0,-50460000.0,-304760000.0,-294100000.0
Antes dos impostos,1800000000.0,1030000000.0,2280000000.0,756980000.0,1930000000.0,2460000000.0,4269999999.9999995,1980000000.0,3950000000.0,5420000000.0,4530000000.0,3900000000.0,7470000000.0,5630000000.0,3280000000.0,1720000000.0,1090000000.0,443700000.0,238940000.0,294870000.0,137450000.0,620610000.0,601620000.0,227890000.0,811990000.0,450920000.0,598590000.0,-1620000000.0,312590000.0,-29590000.0,1220000000.0,-3400000000.0,24450000.0,344340000.0,175080000.0,-3440000000.0,-2850000000.0,282300000.0,-489830000.0,198210000.0,24540000.0,356170000.0,530760000.0,381300000.0,595670000.0,156210000.0,113500000.0,168790000.0,378920000.0,410110000.0,392940000.0,449170000.0,674610000.0,614750000.0,441540000.0,476480000.0,721870000.0,940270000.0,628310000.0
Imposto,-443480000.0,-156980000.0,-224430000.0,-153990000.0,-320560000.0,-328740000.0,-1030000000.0,-768580000.0,-914090000.0,-1150000000.0,-1570000000.0,-338500000.0,-1890000000.0,-1690000000.0,-816630000.0,-674480000.0,-281820000.0,-130530000.0,-20790000.0,-193310000.0,150240000.0,-252120000.0,-162640000.0,132570000.0,-40290000.0,231560000.0,-172550000.0,222300000.0,-181510000.0,101380000.0,-436980000.0,249250000.0,-1980000.0,-330910000.0,-229400000.0,201160000.0,689690000.0,-92870000.0,673560000.0,-76000000.0,199190000.0,-13740000.0,-113820000.0,48660000.0,-19030000.0,229940000.0,14220000.0,-59070000.0,-11240000.0,103180000.0,-50940000.0,-15880000.0,8470000.0,-128360000.00000001,-64660000.0,-60890000.0,-166960000.0,-135200000.0,-114700000.0
Op continuadas,1360000000.0,870890000.0,2060000000.0,602990000.0,1610000000.0,2130000000.0,3240000000.0,1210000000.0,3040000000.0,4269999999.9999995,2950000000.0,3570000000.0,5580000000.0,3940000000.0,2470000000.0,1050000000.0,806540000.0,313160000.0,218140000.0,101560000.0,287690000.0,368490000.0,438980000.0,360460000.0,771700000.0,682480000.0,426050000.0,-1390000000.0,131080000.00000001,71790000.0,787150000.0,-3150000000.0,22470000.0,13430000.0,-54310000.0,-3240000000.0,-2160000000.0,189430000.0,183730000.0,122210000.0,223730000.0,342420000.0,416940000.0,429960000.0,576640000.0,386150000.0,127720000.0,109710000.0,367680000.0,513289999.99999994,342000000.0,433300000.0,683080000.0,486390000.0,376880000.0,415590000.0,554910000.0,805070000.0,513600000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
